M3 Wavelengths (µm)	M3t augite spliced	M3t Augite WS592 BECKb	M3t Augite WS592 NIC4cc	M3t Orthoclase spliced	M3t Orthoclase NMNH142137 BECKb	M3t Orthoclase NMNH142137 NIC4bb	M3t Pigeonite HS199.1B ASDFRb	M3t Pigeonite HS199.2B ASDFRc	M3t Pigeonite HS199.3B ASDFRc	M3t Pigeonite HS199.4B ASDFRd	M3t Pigeonite HS199.3B BECKc	M3t Pigeonite HS199.3B NIC4cc
0.44602		0.20732			0.69172		0.27139	0.24948	0.15724	0.11529	0.14975	
0.456		0.21457			0.70232		0.27588	0.25499	0.16016	0.11695	0.15281	
0.46598		0.22207			0.70981		0.28015	0.26008	0.16276	0.11838	0.15594	
0.47596		0.23059			0.71523		0.28387	0.26458	0.165	0.11968	0.15711	
0.48595		0.24085			0.71976		0.28725	0.26873	0.16707	0.12079	0.15965	
0.49593		0.25266			0.72409		0.29055	0.27278	0.16912	0.12186	0.16171	
0.50591		0.26508			0.72851		0.29319	0.27653	0.17102	0.12289	0.16277	
0.51589		0.27942			0.73275		0.29638	0.28114	0.17358	0.12424	0.16514	
0.52587		0.29267			0.73701		0.29956	0.28575	0.17616	0.12553	0.16758	
0.53585		0.30217			0.74111		0.30178	0.28906	0.17794	0.12632	0.16962	
0.54583		0.30952			0.74417		0.3034	0.29141	0.17919	0.12683	0.17081	
0.55581		0.31532			0.74628		0.30515	0.29379	0.18042	0.12728	0.1716	
0.56579		0.31828			0.74897		0.30695	0.29616	0.18164	0.12768	0.17319	
0.57577		0.31822			0.75155		0.30838	0.29789	0.18244	0.12781	0.17456	
0.58576		0.31708			0.75372		0.30958	0.29919	0.18299	0.1278	0.17544	
0.59574		0.31429			0.75527		0.31063	0.30038	0.18348	0.12779	0.17592	
0.60572		0.31159			0.75689		0.31157	0.30128	0.18391	0.12765	0.17627	
0.6157		0.30837			0.75874		0.31254	0.30198	0.18435	0.1276	0.17694	
0.62568		0.30562			0.76066		0.31337	0.30299	0.18462	0.12748	0.17752	
0.63566		0.30478			0.76227		0.31421	0.30392	0.18491	0.12732	0.17802	
0.64564		0.3056			0.76371		0.31498	0.30475	0.18526	0.12725	0.17793	
0.65562		0.30607			0.76533		0.31581	0.30561	0.18564	0.12717	0.17831	
0.6656		0.30886			0.76724		0.31666	0.30649	0.18606	0.12716	0.17879	
0.67558		0.313			0.76819		0.3175	0.30739	0.18652	0.12717	0.17957	
0.68556		0.3169			0.76985		0.31829	0.30833	0.18698	0.1272	0.18027	
0.69555		0.32016			0.77169		0.31916	0.30935	0.18747	0.12728	0.18135	
0.70553		0.32567			0.77281		0.31999	0.31035	0.18795	0.12736	0.18228	
0.71551		0.33199			0.77385		0.32086	0.31138	0.18843	0.12746	0.18287	
0.72549		0.33821			0.77484		0.32173	0.31245	0.18884	0.12752	0.18378	
0.73547		0.34384			0.7761		0.32252	0.31347	0.18917	0.12756	0.18441	
0.74545		0.34924			0.77727		0.32316	0.31441	0.18938	0.12756	0.18517	
0.75543		0.3542			0.77845		0.32381	0.31523	0.18944	0.12748	0.18523	
0.76541		0.35798			0.77904		0.32439	0.31585	0.18931	0.12731	0.18524	
0.77539		0.36181			0.78041		0.32466	0.31613	0.18886	0.12699	0.18537	
0.78537		0.36632			0.78159		0.32466	0.316	0.18812	0.12652	0.18523	
0.79536		0.37			0.78242		0.32424	0.31525	0.18703	0.12586	0.18463	
0.80534		0.37334			0.78381		0.32338	0.31378	0.18559	0.12505	0.18393	
0.81532		0.37627			0.78431		0.32188	0.31155	0.18388	0.12407	0.18266	
0.8253		0.37921			0.78465		0.31975	0.30867	0.18195	0.12298	0.18021	
0.83528		0.37976			0.78451		0.31701	0.30522	0.17988	0.12185	0.17612	
0.84526		0.37947			0.78598		0.31374	0.30142	0.17782	0.12067	0.17247	
0.85524		0.37356			0.78732		0.31	0.29739	0.1758	0.11947	0.17305	
0.86522		0.36852			0.78749		0.30595	0.29325	0.17388	0.11834	0.17456	
0.8752		0.36275			0.78669		0.3017	0.28923	0.1721	0.11729	0.17147	
0.88518		0.35128			0.78884		0.29753	0.28541	0.17045	0.11629	0.16747	
0.89517		0.34031			0.78984		0.29362	0.28199	0.16899	0.11539	0.16561	
0.90515		0.32817			0.78729		0.29004	0.27907	0.16771	0.11457	0.16269	
0.91513		0.32129			0.78755		0.28717	0.2767	0.16668	0.11389	0.16136	
0.92511		0.30898			0.78636		0.28501	0.27492	0.16584	0.11327	0.1608	
0.93509		0.29885			0.78624		0.28357	0.27376	0.16519	0.11272	0.15725	
0.94507		0.28407			0.78512		0.28291	0.27322	0.16471	0.1123	0.15709	
0.95505		0.27366			0.78414		0.28307	0.27318	0.16435	0.11192	0.15521	
0.96503		0.26452			0.78749		0.2839	0.27372	0.16417	0.11156	0.15658	
0.97501		0.25708			0.78674		0.28533	0.2748	0.16412	0.11128	0.15456	
0.98499		0.25124			0.78541		0.28711	0.27633	0.16419	0.11105	0.15486	
0.99497		0.2465			0.78276		0.28898	0.27808	0.16432	0.11086	0.15403	
1.005		0.2419			0.78241		0.29101	0.28011	0.16449	0.11057	0.15363	
1.0149		0.23985			0.78252		0.29266	0.2824	0.16334	0.10985	0.15332	
1.0249		0.23917			0.78239		0.29509	0.28499	0.1643	0.11	0.1554	
1.0349		0.24124			0.783		0.29685	0.28763	0.1643	0.10951	0.15565	
1.0449		0.24526			0.78158		0.30013	0.29134	0.16642	0.1106	0.15661	
1.0549		0.25063			0.78186		0.3026	0.29505	0.16763	0.1107	0.15732	
1.0648		0.25771			0.78084		0.30536	0.29893	0.16866	0.11061	0.15857	
1.0748		0.26506			0.77924		0.30865	0.30318	0.17033	0.11122	0.15887	
1.0848		0.27497			0.7781		0.31161	0.30757	0.1718	0.11142	0.15944	
1.0948		0.28448			0.77814		0.31467	0.31211	0.17375	0.11225	0.16249	
1.1048		0.29499			0.77661		0.3175	0.31646	0.17591	0.11315	0.16432	
1.1148		0.30794			0.7765		0.31984	0.32057	0.17779	0.11363	0.16574	
1.1247		0.32073			0.77531		0.32199	0.32441	0.17977	0.11448	0.16717	
1.1347		0.33167			0.77361		0.32329	0.32717	0.181	0.11471	0.16858	
1.1447		0.34069			0.77308		0.32493	0.33013	0.18276	0.11543	0.16928	
