Wavelength (µm) raw,Pigeonite hs199.17843 raw,Wavelength (µm) bin avg,Pigeonite hs199.17843 bin avg,Wavelength (µm) cubic spline of bin avg,Pigeonite hs199.17843 cubic spline of bin avg
0.2211,0.041317,0.44602,0.14990233333333333,0.44602,0.14990233333333333
0.2291,0.046274,0.456,0.1522364,0.4579312735849057,0.15315922002103552
0.2361,0.044557,0.46598,0.1562572,0.46984254716981133,0.15657525782324871
0.2421,0.043805,0.47596,0.15669080000000002,0.481753820754717,0.1580692591243181
0.2481,0.045288,0.48595,0.159505,0.4936650943396227,0.16156245820990575
0.2536,0.045556,0.49593,0.16185139999999998,0.5055763679245283,0.16219647205112814
0.2586,0.046391,0.50591,0.16224120000000003,0.517487641509434,0.16561246985580172
0.2636,0.046498,0.51589,0.165111,0.5293989150943397,0.16839837201376462
0.2686,0.047785,0.52587,0.16772460000000003,0.5413101886792453,0.17027186356978347
0.2731,0.04864,0.53585,0.16945359999999998,0.553221462264151,0.17139687871440829
0.2771,0.052394,0.54583,0.1708204,0.5651327358490567,0.17279064893186916
0.2811,0.052813,0.55581,0.17160060000000002,0.5770440094339623,0.1747724776402803
0.2851,0.054641,0.56579,0.1729056,0.588955283018868,0.175610244963341
0.2891,0.055748,0.57577,0.1746436,0.6008665566037736,0.17617666910396082
0.2931,0.059602,0.58576,0.1752934,0.6127778301886793,0.17696331307294938
0.2971,0.061993,0.59574,0.17621060000000002,0.624689103773585,0.1770862802424286
0.3011,0.066997,0.60572,0.1762021428571429,0.6366003773584906,0.17844376959098698
0.3051,0.071523,0.6157,0.17718933333333334,0.6485116509433962,0.17774042329453993
0.3091,0.077046,0.62568,0.17714266666666667,0.660422924528302,0.17852149361747707
0.3131,0.079934,0.63566,0.1784338,0.6723341981132076,0.17934867354463452
0.3171,0.087208,0.64564,0.17771280000000003,0.6842454716981132,0.18014113837583196
0.3211,0.089264,0.65562,0.1783078,0.6961567452830189,0.18155241725471288
0.3251,0.094608,0.6656,0.17873300000000003,0.7080680188679246,0.18250200818594006
0.3291,0.097637,0.67558,0.179639,0.7199792924528303,0.18333222258062334
0.3331,0.101027,0.68556,0.18025066666666667,0.731890566037736,0.18412612539866668
0.3371,0.103581,0.69555,0.18148775,0.7438018396226416,0.1851831588057788
0.3411,0.107473,0.70553,0.18228740000000002,0.7557131132075472,0.18526233779263465
0.3451,0.107436,0.71551,0.1831142,0.7676243867924529,0.18550888877279842
0.3491,0.109603,0.72549,0.1835912,0.7795356603773586,0.1850998056854003
0.3531,0.113135,0.73547,0.1844878,0.7914469339622643,0.18509571510102224
0.3571,0.115178,0.74545,0.18525025,0.8033582075471699,0.18403951322862708
0.3606,0.117811,0.75543,0.18525925,0.8152694811320755,0.18309436125072887
0.3636,0.118292,0.76541,0.18550966666666666,0.8271807547169812,0.17964329829395584
0.3666,0.120078,0.77539,0.185273,0.8390920283018869,0.1748537354764086
0.3696,0.120881,0.78537,0.18499033333333334,0.8510033018867925,0.17287500695368815
0.3726,0.12359,0.79536,0.18499549999999998,0.8629145754716983,0.1741232119617983
0.3756,0.125011,0.80534,0.18382199999999999,0.8748258490566039,0.17345705972962291
0.3786,0.124909,0.81532,0.18308750000000001,0.8867371226415095,0.16742339422658678
0.3811,0.127752,0.8253,0.180406,0.8986483962264151,0.16515548579012093
