Wavelength (µm) raw,BKR1KW003E anorthite Kierra <45µm heated 650 °C under vacuum raw,Wavelength (µm) bin avg,BKR1KW003E anorthite Kierra <45µm heated 650 °C under vacuum bin avg,Wavelength (µm) cubic spline of bin avg,BKR1KW003E anorthite Kierra <45µm heated 650 °C under vacuum cubic spline of bin avg
0.3,0.334436,0.44602,0.729873,0.44602,0.729873
0.305,0.393323,0.456,0.736358,0.45600098039215686,0.736358670508283
0.31,0.454611,0.46598,0.7431425,0.46598196078431375,0.7431437874148641
0.315,0.507841,0.47596,0.7491735,0.47596294117647064,0.7491750942849257
0.32,0.553444,0.48595,0.7543815,0.4859439215686275,0.7543781446471807
0.325,0.582792,0.49593,0.7601825,0.4959249019607843,0.7601796575567167
0.33,0.609282,0.50591,0.7651680000000001,0.5059058823529412,0.765166104582874
0.335,0.625392,0.51589,0.7698849999999999,0.5158868627450981,0.7698833754881983
0.34,0.638229,0.52587,0.7755160000000001,0.525867843137255,0.7755147512474166
0.345,0.64687,0.53585,0.781207,0.5358488235294118,0.781206329747723
0.35,0.654768,0.54583,0.786968,0.5458298039215687,0.7869678853607811
0.355,0.659558,0.55581,0.793085,0.5558107843137255,0.7930855193651972
0.36,0.667504,0.56579,0.7998845,0.5657917647058823,0.7998856458237978
0.365,0.670507,0.57577,0.805891,0.5757727450980392,0.8058926197754498
0.37,0.676361,0.58576,0.8116639999999999,0.5857537254901961,0.8116606764489541
0.375,0.676826,0.59574,0.8164125,0.595734705882353,0.8164101052384903
0.38,0.676857,0.60572,0.8206205,0.6057156862745099,0.8206189757346444
0.385,0.677041,0.6157,0.823655,0.6156966666666667,0.823653961637465
0.39,0.684624,0.62568,0.8270065,0.6256776470588236,0.8270057465295085
0.395,0.692138,0.63566,0.8299145,0.6356586274509805,0.8299141030146768
0.4,0.699912,0.64564,0.8330124999999999,0.6456396078431372,0.8330123712720674
0.405,0.702106,0.65562,0.836412,0.6556205882352941,0.8364122064082747
0.41,0.707863,0.6656,0.839925,0.665601568627451,0.8399255428590273
0.415,0.708749,0.67558,0.843259,0.6755825490196079,0.8432598233883856
0.42,0.712357,0.68556,0.8462805,0.6855635294117648,0.8462814610066229
0.425,0.71444,0.69555,0.8487180000000001,0.6955445098039216,0.8487167478581498
0.43,0.719872,0.70553,0.8510880000000001,0.7055254901960785,0.8510868282592204
0.435,0.722026,0.71551,0.8537535,0.7155064705882352,0.8537526307731139
0.44,0.725804,0.72549,0.8560559999999999,0.7254874509803921,0.8560553666136923
0.445,0.727883,0.73547,0.8589085000000001,0.735468431372549,0.8589080147411746
0.45,0.731863,0.74545,0.8618545,0.7454494117647059,0.8618543487481055
0.455,0.733995,0.75543,0.8639479999999999,0.7554303921568628,0.863948069422252
0.46,0.738721,0.76541,0.8656079999999999,0.7654113725490197,0.86560822382541
0.465,0.741468,0.77539,0.867182,0.7753923529411766,0.8671823360521825
0.47,0.744817,0.78537,0.868471,0.7853733333333334,0.8684714207996566
0.475,0.747496,0.79536,0.8698735,0.7953543137254901,0.8698725853856578
0.48,0.750851,0.80534,0.8714295000000001,0.805335294117647,0.8714289386656836
0.485,0.752767,0.81532,0.8725045,0.8153162745098039,0.8725039300849842
0.49,0.755996,0.8253,0.8740095,0.8252972549019608,0.8740093784015767
0.495,0.75811,0.83528,0.8739775000000001,0.8352782352941177,0.8739773010001234
0.5,0.762255,0.84526,0.8763885,0.8452592156862746,0.8763883277323778
0.505,0.763359,0.85524,0.877401,0.8552401960784315,0.8774010074081234
0.51,0.766977,0.86522,0.8778969999999999,0.8652211764705883,0.8778970973049429
0.515,0.768331,0.8752,0.878575,0.875202156862745,0.878574966094004
0.52,0.771439,0.88518,0.8778265000000001,0.8851831372549019,0.8778263710372607
