Wavelength (µm) raw,Icelandic tephra JB501C  45-125 µm raw,Wavelength (µm) bin avg,Icelandic tephra JB501C  45-125 µm bin avg,Wavelength (µm) cubic spline of bin avg,Icelandic tephra JB501C  45-125 µm cubic spline of bin avg
0.32,0.01734,0.44602,0.05725,0.44602,0.05725
0.325,0.01939,0.456,0.059955,0.45600098039215686,0.05995523581703612
0.33,0.01889,0.46598,0.062505,0.46598196078431375,0.06250557498470058
0.335,0.0195,0.47596,0.06605,0.47596294117647064,0.0660512315531618
0.34,0.02039,0.48595,0.070635,0.4859439215686275,0.07063211649714449
0.345,0.02161,0.49593,0.075455,0.4959249019607843,0.07545240241886322
0.35,0.02287,0.50591,0.08072499999999999,0.5059058823529412,0.08072285672432174
0.355,0.02397,0.51589,0.085605,0.5158868627450981,0.08560355818434587
0.36,0.02492,0.52587,0.08991,0.525867843137255,0.0899091323977284
0.365,0.02612,0.53585,0.09382,0.5358488235294118,0.09381952837241378
0.37,0.02773,0.54583,0.09809000000000001,0.5458298039215687,0.09808991115204127
0.375,0.02939,0.55581,0.10256,0.5558107843137255,0.10256032459806537
0.38,0.03158,0.56579,0.10616,0.5657917647058823,0.10616055985434276
0.385,0.03336,0.57577,0.10910500000000001,0.5757727450980392,0.10910578109190068
0.39,0.03464,0.58576,0.111815,0.5857537254901961,0.11181347095503157
0.395,0.03691,0.59574,0.114005,0.595734705882353,0.1140038729807065
0.4,0.03829,0.60572,0.11614,0.6057156862745099,0.11613911614357139
0.405,0.04015,0.6157,0.11788000000000001,0.6156966666666667,0.11787955860913225
0.41,0.04161,0.62568,0.118825,0.6256776470588236,0.11882482910056698
0.415,0.04353,0.63566,0.1196,0.6356586274509805,0.1195998708324261
0.42,0.04553,0.64564,0.12081,0.6456396078431372,0.12080994211173478
0.425,0.04784,0.65562,0.122335,0.6556205882352941,0.12233508092130346
0.43,0.05037,0.6656,0.123365,0.665601568627451,0.1233651100262371
0.435,0.05289,0.67558,0.123885,0.6755825490196079,0.12388512178979445
0.44,0.05474,0.68556,0.124335,0.6855635294117648,0.12433510701265836
0.445,0.05657,0.69555,0.12432499999999999,0.6955445098039216,0.12432520192444439
0.45,0.05793,0.70553,0.123785,0.7055254901960785,0.12378521875118545
0.455,0.05938,0.71551,0.12353,0.7155064705882352,0.12353002897527336
0.46,0.06053,0.72549,0.123395,0.7254874509803921,0.12339509153418379
0.465,0.06203,0.73547,0.12282,0.735468431372549,0.122820096541102
0.47,0.06298,0.74545,0.12234500000000001,0.7454494117647059,0.12234501973020248
0.475,0.06475,0.75543,0.12201999999999999,0.7554303921568628,0.1220199824403355
0.48,0.06735,0.76541,0.121265,0.7654113725490197,0.12126484626084466
0.485,0.06965,0.77539,0.11984,0.7753923529411766,0.11983961760068931
0.49,0.07162,0.78537,0.118445,0.7853733333333334,0.11844471469346066
0.495,0.07422,0.79536,0.11801500000000001,0.7953543137254901,0.11801524751744862
0.5,0.07669,0.80534,0.117255,0.805335294117647,0.11725546018433806
0.505,0.07955,0.81532,0.116215,0.8153162745098039,0.11621539621472769
0.51,0.0819,0.8253,0.115125,0.8252972549019608,0.1151253213864442
0.515,0.08465,0.83528,0.11386,0.8352782352941177,0.11386023513569597
0.52,0.08656,0.84526,0.11252999999999999,0.8452592156862746,0.11253010196394067
0.525,0.08905,0.85524,0.11123,0.8552401960784315,0.11122997307387258
0.53,0.09077,0.86522,0.10983,0.8652211764705883,0.10982984432281831
0.535,0.09301,0.8752,0.108575,0.875202156862745,0.10857471644632997
0.54,0.09463,0.88518,0.10722,0.8851831372549019,0.10721960349350211
0.545,0.09674,0.89517,0.1061,0.8951641176470588,0.10610062726723822
0.55,0.09944,0.90515,0.10502500000000001,0.9051450980392157,0.10502552227642854
0.555,0.10135,0.91513,0.104015,0.9151260784313726,0.10401536842698185
0.56,0.10377,0.92511,0.103115,0.9251070588235295,0.10311527006589619
0.565,0.10561,0.93509,0.102145,0.9350880392156864,0.10214519780519131
0.57,0.10671,0.94507,0.101165,0.9450690196078432,0.10116508904400154
0.575,0.10844,0.95505,0.10037,0.95505,0.10037
0.58,0.10977,0.96503,0.09972,0.9650309803921568,0.09971993531333022
0.585,0.11123,0.97501,0.099105,0.9750119607843137,0.099104907950912
0.59,0.1124,0.98499,0.09875,0.9849929411764706,0.09874988879929283
0.595,0.11376,0.99497,0.098285,0.9949739215686275,0.09828481048366818
0.6,0.11425,1.00496,0.09786,1.0049549019607844,0.09786018504531639
0.605,0.11559,1.01494,0.09754499999999999,1.0149358823529413,0.09754511861357598
0.61,0.11669,1.02492,0.097275,1.0249168627450982,0.09727507634702681
0.615,0.11768,1.0349,0.09709999999999999,1.0348978431372549,0.09710001644973701
