Wavelength (µm) raw,Mauna Iki HI basaltic glass JB388A <125 ¬µm raw,Wavelength (µm) bin avg,Mauna Iki HI basaltic glass JB388A <125 ¬µm bin avg,Wavelength (µm) cubic spline of bin avg,Mauna Iki HI basaltic glass JB388A <125 ¬µm cubic spline of bin avg
0.31,0.041271,0.44602,0.07078799999999999,0.44602,0.07078799999999999
0.315,0.041913,0.456,0.0733405,0.45600098039215686,0.07334078242198977
0.32,0.042772,0.46598,0.07646,0.46598196078431375,0.07646065330714158
0.325,0.043753,0.47596,0.0800025,0.47596294117647064,0.08000362298099534
0.33,0.044781,0.48595,0.084031,0.4859439215686275,0.08402848226897569
0.335,0.045862,0.49593,0.088092,0.4959249019607843,0.08809000218737456
0.34,0.04705,0.50591,0.091801,0.5059058823529412,0.09179954234481624
0.345,0.048394,0.51589,0.09519,0.5158868627450981,0.09518897781505424
0.35,0.049618,0.52587,0.09843450000000001,0.525867843137255,0.09843377363808437
0.355,0.050921,0.53585,0.101935,0.5358488235294118,0.10193458276879971
0.36,0.052199,0.54583,0.10526,0.5458298039215687,0.10525994188267256
0.365,0.053384,0.55581,0.10802,0.5558107843137255,0.10802022660913024
0.37,0.054326,0.56579,0.11125499999999999,0.5657917647058823,0.1112556176774652
0.375,0.055337,0.57577,0.11469,0.5757727450980392,0.11469086749420618
0.38,0.056322,0.58576,0.11743,0.5857537254901961,0.11742848582971684
0.385,0.057289,0.59574,0.11962,0.595734705882353,0.1196189418541353
0.39,0.058153,0.60572,0.12148,0.6057156862745099,0.12147923784918352
0.395,0.059223,0.6157,0.12315999999999999,0.6156966666666667,0.12315947480538879
0.4,0.060036,0.62568,0.124545,0.6256776470588236,0.12454473069177119
0.405,0.060829,0.63566,0.12547999999999998,0.6356586274509805,0.12547988738872254
0.41,0.061796,0.64564,0.126395,0.6456396078431372,0.12639495549729846
0.415,0.062861,0.65562,0.127665,0.6556205882352941,0.12766507107891362
0.42,0.06402,0.6656,0.12853,0.665601568627451,0.128530070509355
0.425,0.065476,0.67558,0.128645,0.6755825490196079,0.1286449845100564
0.43,0.066819,0.68556,0.12850499999999998,0.6855635294117648,0.12850490056170388
0.435,0.068055,0.69555,0.128025,0.6955445098039216,0.12802537033116018
0.44,0.069162,0.70553,0.12724000000000002,0.7055254901960785,0.127240370325408
0.445,0.070237,0.71551,0.126325,0.7155064705882352,0.12632540620166166
0.45,0.071339,0.72549,0.12489,0.7254874509803921,0.12489041773737297
0.455,0.072653,0.73547,0.12315,0.735468431372549,0.12315028826000189
0.46,0.074028,0.74545,0.121305,0.7454494117647059,0.12130510511959328
0.465,0.075634,0.75543,0.119365,0.7554303921568628,0.1193649061955598
0.47,0.077286,0.76541,0.11668500000000001,0.7654113725490197,0.11668465237020284
0.475,0.079021,0.77539,0.11455499999999999,0.7753923529411766,0.1145545445460639
0.48,0.080984,0.78537,0.11272499999999999,0.7853733333333334,0.11272445727493768
0.485,0.083038,0.79536,0.11109,0.7953543137254901,0.11109111568302314
0.49,0.085024,0.80534,0.108735,0.805335294117647,0.10873618200502831
0.495,0.087092,0.81532,0.10635,0.8153162745098039,0.10635083423696136
0.5,0.089092,0.8253,0.10426,0.8252972549019608,0.10426054446417016
0.505,0.090986,0.83528,0.10234,0.8352782352941177,0.10234033200744043
0.51,0.092616,0.84526,0.100443,0.8452592156862746,0.10044315412323108
0.515,0.094417,0.85524,0.0985045,0.8552401960784315,0.09850446494385483
0.52,0.095963,0.86522,0.096803,0.8652211764705883,0.09680278525105325
0.525,0.097617,0.8752,0.0949335,0.875202156862745,0.09493314515736437
0.53,0.099252,0.88518,0.09388085714285714,0.8851831372549019,0.09388073878205237
0.535,0.10113,0.89517,0.09358437500000001,0.8951641176470588,0.0935849039721523
0.54,0.10274,0.90515,0.09198353124999999,0.9051450980392157,0.09198437754897021
0.545,0.10458,0.91513,0.09099936666666665,0.9151260784313726,0.09099935339996632
0.55,0.10594,0.92511,0.09104172222222223,0.9251070588235295,0.09104208736056806
0.555,0.10725,0.93509,0.0886531724137931,0.9350880392156864,0.0886535877950056
0.56,0.10879,0.94507,0.08752541379310347,0.9450690196078432,0.08752549765121491
0.565,0.11053,0.95505,0.08655882758620687,0.95505,0.08655882758620687
0.57,0.11198,0.96503,0.08592759259259258,0.9650309803921568,0.08592750200303247
0.575,0.11383,0.97501,0.0848155,0.9750119607843137,0.08481534537462762
0.58,0.11555,0.98499,0.08442773076923077,0.9849929411764706,0.08442760436281165
0.585,0.11693,0.99497,0.08379711538461539,0.9949739215686275,0.08379689819940919
0.59,0.11793,1.00496,0.08340823076923075,1.0049549019607844,0.08340844397573921
0.595,0.11915,1.01494,0.08291924,1.0149358823529413,0.08291940914601571
0.6,0.12009,1.02492,0.08272539999999999,1.0249168627450982,0.08272539735767676
0.605,0.12109,1.0349,0.08282854166666669,1.0348978431372549,0.08282851920490841
0.61,0.12187,1.04488,0.08284433333333334,1.0448788235294117,0.0828443412674996
0.615,0.12281,1.05486,0.08282404347826086,1.0548598039215686,0.08282404049492019
0.62,0.12351,1.06484,0.08317886956521739,1.0648407843137255,0.08317890599233917
0.625,0.12432,1.07482,0.08356972727272728,1.0748217647058824,0.08356976813552132
0.63,0.12477,1.0848,0.08376404545454545,1.0848027450980393,0.08376414655882924
0.635,0.12527,1.09478,0.08432836363636365,1.0947837254901962,0.08432857822207959
0.64,0.12569,1.10477,0.08480542857142857,1.104764705882353,0.08480518679844054
0.645,0.12609,1.11475,0.08529185714285714,1.1147456862745098,0.08529164490964856
