Wavelength (µm) raw,Vogelsberg basalt JB460 125-250 µm raw,Wavelength (µm) bin avg,Vogelsberg basalt JB460 125-250 µm bin avg,Wavelength (µm) cubic spline of bin avg,Vogelsberg basalt JB460 125-250 µm cubic spline of bin avg
0.3,0.03323,0.44602,0.05094,0.44602,0.05094
0.305,0.03333,0.456,0.051745,0.45600098039215686,0.05174508267998798
0.31,0.03362,0.46598,0.05254,0.46598196078431375,0.0525401388414235
0.315,0.0347,0.47596,0.0532,0.47596294117647064,0.0532002052879837
0.32,0.03574,0.48595,0.05402,0.4859439215686275,0.05401942477364451
0.325,0.03724,0.49593,0.055095,0.4959249019607843,0.055094382949722645
0.33,0.03638,0.50591,0.05652,0.5059058823529412,0.05651928900345661
0.335,0.03806,0.51589,0.058475,0.5158868627450981,0.058474359230681526
0.34,0.03842,0.52587,0.06041,0.525867843137255,0.06040961244718175
0.345,0.03889,0.53585,0.06205,0.5358488235294118,0.06204982154283923
0.35,0.03899,0.54583,0.06345,0.5458298039215687,0.06344997501988281
0.355,0.03965,0.55581,0.064635,0.5558107843137255,0.06463509080285863
0.36,0.04045,0.56579,0.06575,0.5657917647058823,0.0657501780369678
0.365,0.04021,0.57577,0.06662,0.5757727450980392,0.06662021234818369
0.37,0.04113,0.58576,0.067345,0.5857537254901961,0.06734456750188103
0.375,0.04195,0.59574,0.06801,0.595734705882353,0.0680096582768124
0.38,0.04252,0.60572,0.06864,0.6057156862745099,0.06863973184115998
0.385,0.04349,0.6157,0.069275,0.6156966666666667,0.06927477647835086
0.39,0.04435,0.62568,0.069985,0.6256776470588236,0.06998482609127826
0.395,0.04536,0.63566,0.07074,0.6356586274509805,0.07073989338595493
0.4,0.04638,0.64564,0.07147999999999999,0.6456396078431372,0.07147997459498588
0.405,0.04662,0.65562,0.07211000000000001,0.6556205882352941,0.07211004412948695
0.41,0.04685,0.6656,0.072985,0.665601568627451,0.07298513732718188
0.415,0.04736,0.67558,0.07377,0.6755825490196079,0.07377018808379625
0.42,0.04771,0.68556,0.074545,0.6855635294117648,0.07454530440020429
0.425,0.04828,0.69555,0.07542499999999999,0.6955445098039216,0.07542456916544636
0.43,0.04875,0.70553,0.07613500000000001,0.7055254901960785,0.07613465016786014
0.435,0.04945,0.71551,0.07702,0.7155064705882352,0.07701967996285405
0.44,0.05003,0.72549,0.077775,0.7254874509803921,0.07777486562962029
0.445,0.05074,0.73547,0.07813,0.735468431372549,0.07812994954599362
0.45,0.05114,0.74545,0.07849500000000001,0.7454494117647059,0.07849497937503147
0.455,0.05154,0.75543,0.078725,0.7554303921568628,0.07872500252658694
0.46,0.05195,0.76541,0.07869499999999999,0.7654113725490197,0.07869499901951137
0.465,0.05239,0.77539,0.07872,0.7753923529411766,0.0787199880333399
0.47,0.05269,0.78537,0.078595,0.7853733333333334,0.07859496995656762
0.475,0.05297,0.79536,0.078535,0.7953543137254901,0.07853508212915197
0.48,0.05343,0.80534,0.07826,0.805335294117647,0.07826015937279747
0.485,0.05382,0.81532,0.077865,0.8153162745098039,0.07786519177086745
0.49,0.05422,0.8253,0.0772,0.8252972549019608,0.07720021642315641
0.495,0.05483,0.83528,0.076335,0.8352782352941177,0.07633516423626717
0.5,0.05536,0.84526,0.075235,0.8452592156862746,0.07523510946141587
0.505,0.05608,0.85524,0.073605,0.8552401960784315,0.07360496680261235
0.51,0.05696,0.86522,0.07185,0.8652211764705883,0.07184976382828037
0.515,0.05796,0.8752,0.06961500000000001,0.875202156862745,0.06961451012300941
0.52,0.05899,0.88518,0.06745,0.8851831372549019,0.0674493305358618
0.525,0.05991,0.89517,0.06531500000000001,0.8951641176470588,0.06531624265545033
0.53,0.06091,0.90515,0.063305,0.9051450980392157,0.06330591651763005
0.535,0.06165,0.91513,0.061555,0.9151260784313726,0.06155567125461845
0.54,0.06245,0.92511,0.059954999999999994,0.9251070588235295,0.05995539817786703
0.545,0.06317,0.93509,0.058835,0.9350880392156864,0.058835205855874394
0.55,0.06373,0.94507,0.057775,0.9450690196078432,0.057775098029608556
0.555,0.06442,0.95505,0.056875,0.95505,0.056875
0.56,0.06485,0.96503,0.056065000000000004,0.9650309803921568,0.056064924411964284
0.565,0.06547,0.97501,0.05537,0.9750119607843137,0.055369882810784685
0.57,0.06603,0.98499,0.05488,0.9849929411764706,0.054879882252096994
0.575,0.06648,0.99497,0.054474999999999996,0.9949739215686275,0.05447480733439041
0.58,0.06676,1.00496,0.053925,1.0049549019607844,0.05392525679067359
0.585,0.06723,1.01494,0.05353,1.0149358823529413,0.053530137175862594
0.59,0.06746,1.02492,0.05326500000000001,1.0249168627450982,0.0532650463866365
0.595,0.06779,1.0349,0.053245,1.0348978431372549,0.05324498541334774
0.6,0.06823,1.04488,0.05341,1.0448788235294117,0.05340996316519843
0.605,0.06845,1.05486,0.05387,1.0548598039215686,0.05386998904626065
0.61,0.06883,1.06484,0.05448,1.0648407843137255,0.05448005245114215
0.615,0.06899,1.07482,0.055255,1.0748217647058824,0.05525516407026358
0.62,0.06956,1.0848,0.056334999999999996,1.0848027450980393,0.05633532629228433
0.625,0.06975,1.09478,0.057545,1.0947837254901962,0.057545446900286464
0.63,0.07022,1.10477,0.05875,1.104764705882353,0.058749328235473616
0.635,0.07056,1.11475,0.060085,1.1147456862745098,0.06008441489569323
0.64,0.07092,1.12473,0.061415,1.1247266666666667,0.06141456112839501
0.645,0.07132,1.13471,0.06268,1.1347076470588235,0.06267972286604771
0.65,0.07164,1.14469,0.06379,1.1446886274509804,0.06378984744069278
0.655,0.07195,1.15467,0.06493,1.1546696078431373,0.06492995530625335
0.66,0.07227,1.16465,0.065995,1.1646505882352942,0.06599505635171021
0.665,0.07281,1.17463,0.066835,1.174631568627451,0.06683511840064307
0.67,0.07316,1.18461,0.06757,1.184612549019608,0.06757019302299372
0.675,0.07359,1.19459,0.06832,1.1945935294117647,0.0683202400533821
0.68,0.07395,1.20458,0.06891,1.2045745098039216,0.06890969892438759
0.685,0.07431,1.21456,0.069435,1.2145554901960784,0.06943478524027617
0.69,0.07478,1.22454,0.069895,1.2245364705882353,0.06989482077391379
0.695,0.07531,1.23452,0.07041,1.2345174509803922,0.07040989208558888
0.7,0.07554,1.2445,0.070745,1.2444984313725491,0.07074494446799758
0.705,0.07598,1.25448,0.07117000000000001,1.254479411764706,0.07116997381648392
0.71,0.07629,1.26446,0.071565,1.264460392156863,0.0715650129576217
0.715,0.07682,1.27444,0.071885,1.2744413725490196,0.07188505250122615
0.72,0.07722,1.28442,0.072355,1.2844223529411765,0.07235512102688564
0.725,0.07762,1.2944,0.07291,1.2944033333333334,0.07291021375202561
0.73,0.07793,1.30438,0.07354749999999999,1.3043843137254902,0.07354771798884147
0.735,0.07802,1.31437,0.07391766666666665,1.3143652941176471,0.07391749484099326
0.74,0.07824,1.32435,0.07434000000000002,1.324346274509804,0.07433984535541877
0.745,0.07853,1.33433,0.07473206896551723,1.334327254901961,0.07473195295523255
0.75,0.07846,1.34431,0.07520275862068966,1.3443082352941178,0.07520267252611389
0.755,0.07868,1.35429,0.0756592857142857,1.3542892156862745,0.07565925331173451
0.76,0.07877,1.36427,0.07604642857142858,1.3642701960784314,0.07604643633034354
