Wavelength (µm) raw,<125 µm (357) raw,Wavelength (µm) bin avg,<125 µm (357) bin avg,Wavelength (µm) cubic spline of bin avg,<125 µm (357) cubic spline of bin avg
0.3,0.096061,0.44602,0.36363999999999996,0.44602,0.36363999999999996
0.305,0.10021,0.456,0.37288,0.45600098039215686,0.37288092542442575
0.31,0.10565,0.46598,0.38282499999999997,0.46598196078431375,0.38282709081672245
0.315,0.11025,0.47596,0.393785,0.47596294117647064,0.3937881615231775
0.32,0.118,0.48595,0.40457,0.4859439215686275,0.40456290501671427
0.325,0.12774,0.49593,0.41861,0.4959249019607843,0.4186012576548837
0.33,0.13884,0.50591,0.43737000000000004,0.5059058823529412,0.4373624550921059
0.335,0.14971,0.51589,0.45369,0.5158868627450981,0.4536852904629707
0.34,0.16258,0.52587,0.46817,0.525867843137255,0.4681669335426603
0.345,0.17701,0.53585,0.48167499999999996,0.5358488235294118,0.48167355961534153
0.35,0.19203,0.54583,0.492375,0.5458298039215687,0.4923748123302597
0.355,0.20538,0.55581,0.50079,0.5558107843137255,0.5007905436989339
0.36,0.21823,0.56579,0.50614,0.5657917647058823,0.5061407195072624
0.365,0.22941,0.57577,0.5088550000000001,0.5757727450980392,0.5088552748040818
0.37,0.23967,0.58576,0.50854,0.5857537254901961,0.5085405437702124
0.375,0.24929,0.59574,0.507485,0.595734705882353,0.5074858746889377
0.38,0.25846,0.60572,0.5051749999999999,0.6057156862745099,0.5051761378978986
0.385,0.2668,0.6157,0.50235,0.6156966666666667,0.5023510771856525
0.39,0.27746,0.62568,0.49907500000000005,0.6256776470588236,0.49907565224375516
0.395,0.28638,0.63566,0.49773500000000004,0.6356586274509805,0.49773493880421843
0.4,0.2953,0.64564,0.49952,0.6456396078431372,0.49951990882870745
0.405,0.30476,0.65562,0.501695,0.6556205882352941,0.5016951269549298
0.41,0.3149,0.6656,0.5043850000000001,0.665601568627451,0.5043855751687931
0.415,0.32352,0.67558,0.5078050000000001,0.6755825490196079,0.5078053929781376
0.42,0.32868,0.68556,0.507115,0.6855635294117648,0.5071144246069249
0.425,0.33588,0.69555,0.505945,0.6955445098039216,0.5059453345415922
0.43,0.34106,0.70553,0.505695,0.7055254901960785,0.505695089256928
0.435,0.34939,0.71551,0.50476,0.7155064705882352,0.5047607624988794
0.44,0.35592,0.72549,0.501225,0.7254874509803921,0.501226171168672
0.445,0.3624,0.73547,0.495815,0.735468431372549,0.49581599584604247
0.45,0.36488,0.74545,0.488445,0.7454494117647059,0.48844549572239004
0.455,0.37019,0.75543,0.47924999999999995,0.7554303921568628,0.4792496181745413
0.46,0.37557,0.76541,0.469165,0.7654113725490197,0.4691635475008208
0.465,0.3814,0.77539,0.45823,0.7753923529411766,0.45822738348974473
0.47,0.38425,0.78537,0.447335,0.7853733333333334,0.44733148068742407
0.475,0.39066,0.79536,0.437025,0.7953543137254901,0.4370308905140388
0.48,0.39691,0.80534,0.42661000000000004,0.805335294117647,0.42661483460424265
0.485,0.40184,0.81532,0.41689,0.8153162745098039,0.4168933803651489
0.49,0.4073,0.8253,0.40852,0.8252972549019608,0.40852214454893104
0.495,0.41394,0.83528,0.40097499999999997,0.8352782352941177,0.4009763268303481
0.5,0.42328,0.84526,0.39338,0.8452592156862746,0.3933805979551406
0.505,0.43292,0.85524,0.38608,0.8552401960784315,0.3860798674488994
0.51,0.44182,0.86522,0.38012500000000005,0.8652211764705883,0.380124390566228
0.515,0.45024,0.8752,0.374975,0.875202156862745,0.37497372726768236
0.52,0.45714,0.88518,0.36865000000000003,0.8851831372549019,0.36864820829003503
0.525,0.46441,0.89517,0.36361,0.8951641176470588,0.3636131776993416
0.53,0.47193,0.90515,0.35719999999999996,0.9051450980392157,0.3572034714182202
0.535,0.47908,0.91513,0.350005,0.9151260784313726,0.3500078104377862
0.54,0.48427,0.92511,0.34269499999999997,0.9251070588235295,0.34269730999089976
0.545,0.48999,0.93509,0.334365,0.9350880392156864,0.3343666530629406
0.55,0.49476,0.94507,0.32586499999999996,0.9450690196078432,0.32586588378722114
0.555,0.49923,0.95505,0.31667,0.95505,0.31667
0.56,0.50235,0.96503,0.3084,0.9650309803921568,0.30839914925495443
0.565,0.50574,0.97501,0.299785,0.9750119607843137,0.299783559972803
0.57,0.50654,0.98499,0.29398,0.9849929411764706,0.29397844387975003
0.575,0.50842,0.99497,0.288015,0.9949739215686275,0.2880123043582707
0.58,0.50929,1.00496,0.280835,1.0049549019607844,0.28083841950437355
0.585,0.50865,1.01494,0.275235,1.0149358823529413,0.27523693259719145
0.59,0.50843,1.02492,0.271285,1.0249168627450982,0.27128601277628456
0.595,0.50798,1.0349,0.268575,1.0348978431372549,0.26857552086681685
0.6,0.50699,1.04488,0.26688999999999996,1.0448788235294117,0.26689003812081663
0.605,0.50591,1.05486,0.26778,1.0548598039215686,0.2677799741117683
0.61,0.50444,1.06484,0.26921,1.0648407843137255,0.26921015816867233
0.615,0.50325,1.07482,0.27212000000000003,1.0748217647058824,0.27212064581753853
0.62,0.50145,1.0848,0.27675,1.0848027450980393,0.27675165011494246
0.625,0.49963,1.09478,0.283615,1.0947837254901962,0.2836175525728848
0.63,0.49852,1.10477,0.29045,1.104764705882353,0.2904459006777357
0.635,0.49735,1.11475,0.29878,1.1147456862745098,0.2987766612980938
0.64,0.49812,1.12473,0.305755,1.1247266666666667,0.30575256443478005
0.645,0.4988,1.13471,0.31352,1.1347076470588235,0.31351827261898446
0.65,0.50024,1.14469,0.32019,1.1446886274509804,0.32018907760281906
0.655,0.50099,1.15467,0.326845,1.1546696078431373,0.32684477127719364
0.66,0.5024,1.16465,0.33196000000000003,1.1646505882352942,0.3319603135842849
