Wavelength (µm) raw,SynOl_Fo10 raw,Wavelength (µm) bin avg,SynOl_Fo10 bin avg,Wavelength (µm) cubic spline of bin avg,SynOl_Fo10 cubic spline of bin avg
0.3,0.04097,0.44602,0.11038999999999999,0.44602,0.11038999999999999
0.305,0.04116,0.456,0.11601,0.45600098039215686,0.11601068992178236
0.31,0.03993,0.46598,0.124,0.46598196078431375,0.12400171697936571
0.315,0.04135,0.47596,0.13309500000000002,0.47596294117647064,0.13309773372666572
0.32,0.04008,0.48595,0.14161,0.4859439215686275,0.14160575938681028
0.325,0.04047,0.49593,0.14804499999999998,0.4959249019607843,0.1480410666668839
0.33,0.0416,0.50591,0.15718500000000002,0.5059058823529412,0.15718130379152923
0.335,0.04249,0.51589,0.16484,0.5158868627450981,0.164837845937921
0.34,0.04308,0.52587,0.17152,0.525867843137255,0.17151856536446747
0.345,0.04449,0.53585,0.17844500000000002,0.5358488235294118,0.1784441265069892
0.35,0.0462,0.54583,0.186005,0.5458298039215687,0.18600485899008024
0.355,0.04835,0.55581,0.192515,0.5558107843137255,0.19251547873357186
0.36,0.05099,0.56579,0.198345,0.5657917647058823,0.19834596832163456
0.365,0.05393,0.57577,0.20340999999999998,0.5757727450980392,0.20341128953743082
0.37,0.05708,0.58576,0.20781,0.5857537254901961,0.2078073891046
0.375,0.06073,0.59574,0.21169,0.595734705882353,0.21168812857759742
0.38,0.06464,0.60572,0.214935,0.6057156862745099,0.21493365492934502
0.385,0.06844,0.6157,0.218125,0.6156966666666667,0.2181238878536741
0.39,0.07212,0.62568,0.22166000000000002,0.6256776470588236,0.2216591173577462
0.395,0.07604,0.63566,0.22551,0.6356586274509805,0.22550947049968886
0.4,0.07892,0.64564,0.229225,0.6456396078431372,0.22922486046606422
0.405,0.08116,0.65562,0.23242000000000002,0.6556205882352941,0.23242015772343444
0.41,0.08497,0.6656,0.234655,0.665601568627451,0.23465531987283844
0.415,0.0887,0.67558,0.23664000000000002,0.6755825490196079,0.23664047086537496
0.42,0.09232,0.68556,0.23832,0.6855635294117648,0.23832056069634883
0.425,0.09615,0.69555,0.239815,0.6955445098039216,0.2398142654975563
0.43,0.09971,0.70553,0.24090499999999998,0.7055254901960785,0.24090462730163953
0.435,0.10345,0.71551,0.24161,0.7155064705882352,0.24160973429126306
0.44,0.10703,0.72549,0.24236999999999997,0.7254874509803921,0.24236985573715075
0.445,0.10937,0.73547,0.242695,0.735468431372549,0.24269496153953948
0.45,0.11141,0.74545,0.243,0.7454494117647059,0.24299997957985037
0.455,0.11412,0.75543,0.24318,0.7554303921568628,0.24317999310278354
0.46,0.1179,0.76541,0.24259999999999998,0.7654113725490197,0.242599883863753
0.465,0.12215,0.77539,0.24151,0.7753923529411766,0.24150965651193312
0.47,0.12585,0.78537,0.23967,0.7853733333333334,0.23966929242701182
0.475,0.13042,0.79536,0.23719,0.7953543137254901,0.23719172155757684
0.48,0.13577,0.80534,0.23395,0.805335294117647,0.23395138985671932
0.485,0.1399,0.81532,0.23145,0.8153162745098039,0.23145089939410066
0.49,0.14332,0.8253,0.228815,0.8252972549019608,0.2288157756866664
0.495,0.14625,0.83528,0.225935,0.8352782352941177,0.2259355048630884
0.5,0.14984,0.84526,0.223195,0.8452592156862746,0.22319520584754984
0.505,0.15501,0.85524,0.22069,0.8552401960784315,0.22068995279461578
0.51,0.15936,0.86522,0.218265,0.8652211764705883,0.21826469820979566
0.515,0.16321,0.8752,0.21559499999999998,0.875202156862745,0.21559442899881776
0.52,0.16647,0.88518,0.213115,0.8851831372549019,0.21311427024136936
0.525,0.16975,0.89517,0.211055,0.8951641176470588,0.2110559938307665
0.53,0.17329,0.90515,0.20948,0.9051450980392157,0.2094809003895473
0.535,0.17665,0.91513,0.207185,0.9151260784313726,0.2071860178716601
0.54,0.18024,0.92511,0.20453,0.9251070588235295,0.20453078240602582
0.545,0.18425,0.93509,0.20192,0.9350880392156864,0.2019205079186754
0.55,0.18776,0.94507,0.19926,0.9450690196078432,0.19926027646684083
0.555,0.19081,0.95505,0.19607000000000002,0.95505,0.19607000000000002
0.56,0.19422,0.96503,0.19219999999999998,0.9650309803921568,0.19219965264794245
0.565,0.19697,0.97501,0.189385,0.9750119607843137,0.18938456706788234
0.57,0.19972,0.98499,0.18741,0.9849929411764706,0.1874094048210646
0.575,0.20232,0.99497,0.18495499999999998,0.9949739215686275,0.18495381773073094
0.58,0.2045,1.00496,0.181725,1.0049549019607844,0.18172652815436188
0.585,0.20682,1.01494,0.17910500000000001,1.0149358823529413,0.17910605881330377
0.59,0.2088,1.02492,0.176315,1.0249168627450982,0.17631593466593531
0.595,0.21095,1.0349,0.17357499999999998,1.0348978431372549,0.17357546044194846
0.6,0.21243,1.04488,0.172035,1.0448788235294117,0.17203515860750787
0.605,0.21411,1.05486,0.170595,1.0548598039215686,0.17059502805107926
0.61,0.21576,1.06484,0.16942000000000002,1.0648407843137255,0.16941993803277686
0.615,0.21721,1.07482,0.16895500000000002,1.0748217647058824,0.16895494021579838
0.62,0.21904,1.0848,0.16871999999999998,1.0848027450980393,0.16872001128166506
