Wavelength (µm) raw,Orthoclase nmn h142137.17349 spliced raw,Wavelength (µm) bin avg,Orthoclase nmn h142137.17349 spliced bin avg,Wavelength (µm) cubic spline of bin avg,Orthoclase nmn h142137.17349 spliced cubic spline of bin avg
0.2971,0.29242,0.44602,0.69124,0.44602,0.69124
0.3011,0.32803,0.456,0.701796,0.4560402755905512,0.701832320967364
0.3051,0.3614,0.46598,0.709464,0.4660605511811024,0.7095158750471221
0.3091,0.39275,0.47596,0.7149880000000001,0.4760808267716536,0.7150463484009382
0.3131,0.41984,0.48595,0.7194740000000001,0.4861011023622048,0.7195387827053265
0.3171,0.44468,0.49593,0.7237920000000001,0.4961213779527559,0.723877506797016
0.3211,0.46604,0.50591,0.728296,0.5061416535433071,0.7283972179591943
0.3251,0.48475,0.51589,0.7324780000000001,0.5161619291338583,0.7325906320715895
0.3291,0.50053,0.52587,0.736722,0.5261822047244095,0.7368593193286097
0.3331,0.51396,0.53585,0.740996,0.5362024803149606,0.7411323517882478
0.3371,0.52526,0.54583,0.7441340000000001,0.5462227559055118,0.7442237082155144
0.3411,0.53459,0.55581,0.7461180000000001,0.556243031496063,0.7462160571174643
0.3451,0.55108,0.56579,0.748812,0.5662633070866142,0.7489451919265653
0.3491,0.56609,0.57577,0.7514540000000001,0.5762835826771654,0.7515827838452269
0.3531,0.58115,0.58576,0.753694,0.5863038582677166,0.7537897207052889
0.3571,0.59493,0.59574,0.75517,0.5963241338582678,0.7552573369831219
0.3606,0.60866,0.60572,0.7568957142857142,0.606344409448819,0.7570162629537911
0.3636,0.61262,0.6157,0.7588783333333334,0.6163646850393701,0.7590096082921812
0.3666,0.61506,0.62568,0.7607366666666667,0.6263849606299213,0.7608556924126147
0.3696,0.61453,0.63566,0.7622920000000001,0.6364052362204724,0.7624015247803202
0.3726,0.613,0.64564,0.76372,0.6464255118110236,0.7638279713204381
0.3756,0.61219,0.65562,0.7653,0.6564457874015748,0.7654746720389695
0.3786,0.6123,0.6656,0.767402,0.666466062992126,0.7675185300241348
0.3811,0.61449,0.67558,0.7682466666666666,0.6764863385826771,0.7683416690546204
0.3831,0.62043,0.68556,0.7698200000000001,0.6865066141732283,0.7700027288175556
0.3851,0.62749,0.69555,0.7716475,0.6965268897637795,0.7717947713613019
0.3871,0.63464,0.70553,0.77288,0.7065471653543307,0.772987883625473
0.3891,0.6414,0.71551,0.773884,0.7165674409448819,0.7739798402480516
0.3911,0.64722,0.72549,0.774858,0.7265877165354331,0.7749958861213004
0.3931,0.65138,0.73547,0.776178,0.7366079921259843,0.776299723560451
0.3951,0.65529,0.74545,0.7771549999999999,0.7466282677165355,0.7773036533707978
0.3971,0.65816,0.75543,0.778445,0.7566485433070866,0.7785417506261343
0.3991,0.66032,0.76541,0.7790266666666666,0.7666688188976378,0.7791464196180705
0.4011,0.66214,0.77539,0.7803366666666666,0.776689094488189,0.7805122006802447
0.4031,0.66382,0.78537,0.7815,0.7867093700787402,0.7816363387408045
0.4051,0.66499,0.79536,0.782505,0.7967296456692914,0.782646363256839
0.4071,0.66615,0.80534,0.783515,0.8067499212598426,0.7836424841406503
0.4091,0.667,0.81532,0.78424,0.8167701968503938,0.7843041509667033
0.4111,0.66758,0.8253,0.78458,0.826790472440945,0.7846356443216813
0.4128,0.66834,0.83528,0.78512,0.8368107480314961,0.78524302184245
0.4158,0.66923,0.84526,0.78597,0.8468310236220473,0.7860830051082263
0.4188,0.67058,0.85524,0.786605,0.8568512992125985,0.786716061462533
