Wavelength (µm) raw,ALH-271 spot f raw,Wavelength (µm) bin avg,ALH-271 spot f bin avg,Wavelength (µm) cubic spline of bin avg,ALH-271 spot f cubic spline of bin avg
0.3,0.057685,0.44602,0.15241,0.44602,0.15241
0.305,0.060534,0.456,0.155415,0.45600098039215686,0.15541530754562333
0.31,0.062072,0.46598,0.15853499999999998,0.46598196078431375,0.1585355974890071
0.315,0.064111,0.47596,0.16142,0.47596294117647064,0.16142080152927515
0.32,0.06848,0.48595,0.16443000000000002,0.4859439215686275,0.1644277129329509
0.325,0.071183,0.49593,0.167925,0.4959249019607843,0.167924097991556
0.33,0.074777,0.50591,0.169385,0.5059058823529412,0.1693833288761451
0.335,0.078965,0.51589,0.17598999999999998,0.5158868627450981,0.17598804423639966
0.34,0.082435,0.52587,0.17989,0.525867843137255,0.17988944229772516
0.345,0.086173,0.53585,0.181745,0.5358488235294118,0.18174491479242438
0.35,0.090999,0.54583,0.182115,0.5458298039215687,0.18211497634578172
0.355,0.094995,0.55581,0.184595,0.5558107843137255,0.1845952366600196
0.36,0.099534,0.56579,0.187135,0.5657917647058823,0.18713532009510997
0.365,0.10473,0.57577,0.18843500000000002,0.5757727450980392,0.18843534851418986
0.37,0.10834,0.58576,0.18976500000000002,0.5857537254901961,0.189764366337655
0.375,0.11285,0.59574,0.190345,0.595734705882353,0.19034477266098748
0.38,0.11743,0.60572,0.19095499999999999,0.6057156862745099,0.19095463349164715
0.385,0.1209,0.6157,0.19178499999999998,0.6156966666666667,0.19178483321807138
0.39,0.12473,0.62568,0.191965,0.6256776470588236,0.19196495630306712
0.395,0.12808,0.63566,0.19227,0.6356586274509805,0.1922699705358549
0.4,0.13209,0.64564,0.19221,0.6456396078431372,0.192210012071045
0.405,0.1359,0.65562,0.19174,0.6556205882352941,0.19173996608624838
0.41,0.13773,0.6656,0.19135999999999997,0.665601568627451,0.19136000924569194
0.415,0.14179,0.67558,0.19161499999999998,0.6755825490196079,0.19161499114101638
0.42,0.14447,0.68556,0.19097,0.6855635294117648,0.19096961421630274
0.425,0.14588,0.69555,0.189865,0.6955445098039216,0.18986546712172422
0.43,0.14743,0.70553,0.18925,0.7055254901960785,0.1892503027060506
0.435,0.1492,0.71551,0.18825,0.7155064705882352,0.1882504653768977
0.44,0.15044,0.72549,0.18642999999999998,0.7254874509803921,0.1864306450672587
0.445,0.15162,0.73547,0.18351,0.735468431372549,0.18351044021939947
0.45,0.1532,0.74545,0.1805,0.7454494117647059,0.18050023938015433
0.455,0.15445,0.75543,0.17496,0.7554303921568628,0.17495974051641158
0.46,0.15638,0.76541,0.168015,0.7654113725490197,0.16801404014569876
0.465,0.15772,0.77539,0.160935,0.7753923529411766,0.16093321890216264
0.47,0.15935,0.78537,0.15266000000000002,0.7853733333333334,0.15265703788438895
0.475,0.1607,0.79536,0.143365,0.7953543137254901,0.1433705002104285
0.48,0.16214,0.80534,0.13374999999999998,0.805335294117647,0.13375434745428513
0.485,0.16366,0.81532,0.12498999999999999,0.8153162745098039,0.12499320784017515
0.49,0.1652,0.8253,0.116525,0.8252972549019608,0.11652722311372311
0.495,0.1672,0.83528,0.10899,0.8352782352941177,0.10899125160910997
0.5,0.16865,0.84526,0.10228999999999999,0.8452592156862746,0.1022904959024311
0.505,0.16756,0.85524,0.0965045,0.8552401960784315,0.09650439905365106
0.51,0.17121,0.86522,0.0918205,0.8652211764705883,0.09181996404425759
0.515,0.17481,0.8752,0.08738950000000001,0.875202156862745,0.08738863100918629
0.52,0.17717,0.88518,0.08383550000000001,0.8851831372549019,0.08383445499106852
0.525,0.17934,0.89517,0.08077200000000001,0.8951641176470588,0.08077348857086372
0.53,0.18044,0.90515,0.07888,0.9051450980392157,0.07888070346316098
0.535,0.18155,0.91513,0.077665,0.9151260784313726,0.07766541957681913
0.54,0.18194,0.92511,0.076881,0.9251070588235295,0.07688108668778948
0.545,0.18169,0.93509,0.07707449999999999,0.9350880392156864,0.0770744072631281
0.55,0.18254,0.94507,0.077769,0.9450690196078432,0.0777688949085763
0.555,0.18381,0.95505,0.07923050000000001,0.95505,0.07923050000000001
0.56,0.18538,0.96503,0.0812345,0.9650309803921568,0.08123474168659048
0.565,0.18682,0.97501,0.0840225,0.9750119607843137,0.08402305375258745
0.57,0.18745,0.98499,0.086661,0.9849929411764706,0.08666175006406034
0.575,0.18798,0.99497,0.0895745,0.9949739215686275,0.0895759371566249
0.58,0.18889,1.00496,0.0939735,1.0049549019607844,0.09397107350627865
0.585,0.18952,1.01494,0.0988555,1.0149358823529413,0.09885336604973173
0.59,0.19001,1.02492,0.10436,1.0249168627450982,0.1043582018130664
0.595,0.19022,1.0349,0.110025,1.0348978431372549,0.11002382104038082
0.6,0.19047,1.04488,0.11542,1.0448788235294117,0.1154193352176791
0.605,0.19097,1.05486,0.12116,1.0548598039215686,0.12115989405696562
0.61,0.19094,1.06484,0.126,1.0648407843137255,0.12600035612323285
0.615,0.19169,1.07482,0.130345,1.0748217647058824,0.13034571378115922
0.62,0.19188,1.0848,0.13405,1.0848027450980393,0.13405095486556742
0.625,0.1918,1.09478,0.13733,1.0947837254901962,0.13733113185594628
0.63,0.19213,1.10477,0.14004,1.104764705882353,0.14003874695254276
0.635,0.19201,1.11475,0.142175,1.1147456862745098,0.14217411541057554
0.64,0.19253,1.12473,0.144055,1.1247266666666667,0.14405449999243167
0.645,0.19217,1.13471,0.1452,1.1347076470588235,0.14519975454033335
0.65,0.19225,1.14469,0.14632499999999998,1.1446886274509804,0.1463248420360939
0.655,0.19177,1.15467,0.14735,1.1546696078431373,0.14734996799213262
0.66,0.19171,1.16465,0.147965,1.1646505882352942,0.1479650302487648
0.665,0.19132,1.17463,0.14856000000000003,1.174631568627451,0.1485601198758581
0.67,0.1914,1.18461,0.14941500000000002,1.184612549019608,0.14941520080020743
0.675,0.19115,1.19459,0.15012,1.1945935294117647,0.15012027318801074
0.68,0.19208,1.20458,0.15102500000000002,1.2045745098039216,0.1510244767174338
0.685,0.19122,1.21456,0.151935,1.2145554901960784,0.15193460908471357
0.69,0.19072,1.22454,0.15262,1.2245364705882353,0.15261986782902698
0.695,0.18999,1.23452,0.15285500000000002,1.2345174509803922,0.15285489770514457
0.7,0.18974,1.2445,0.1535,1.2444984313725491,0.15349989564355548
0.705,0.1892,1.25448,0.154005,1.254479411764706,0.1540049767924976
0.71,0.1893,1.26446,0.15439,1.264460392156863,0.15439001694195054
0.715,0.18837,1.27444,0.15487499999999998,1.2744413725490196,0.15487506761698777
0.72,0.18813,1.28442,0.15540500000000002,1.2844223529411765,0.15540515260193158
0.725,0.18722,1.2944,0.15613,1.2944033333333334,0.15613022860024547
0.73,0.18564,1.30438,0.15671000000000002,1.3043843137254902,0.1567102290243552
0.735,0.18414,1.31437,0.15731,1.3143652941176471,0.15730965380559153
0.74,0.18288,1.32435,0.158055,1.324346274509804,0.15805478851492497
0.745,0.18143,1.33433,0.15845,1.334327254901961,0.1584498844578551
0.75,0.17957,1.34431,0.15885500000000002,1.3443082352941178,0.15885497291089717
0.755,0.17739,1.35429,0.158765,1.3542892156862745,0.15876500688342868
0.76,0.17253,1.36427,0.158905,1.3642701960784314,0.1589050068208371
0.765,0.16979,1.37425,0.159285,1.3742511764705883,0.15928503051786944
0.77,0.16624,1.38423,0.15936499999999998,1.3842321568627451,0.15936499939001422
0.775,0.16308,1.39421,0.1591,1.394213137254902,0.15909974761451706
0.78,0.15879,1.40419,0.158165,1.404194117647059,0.1581648406533471
0.785,0.15483,1.41418,0.15828,1.4141750980392158,0.15828005482683735
