Wavelength (nm),BKR1KW003D anorthite Kierra <45µm
300.0,0.345948
305.0,0.411173
310.0,0.476685
315.0,0.541165
320.0,0.591556
325.0,0.635111
330.0,0.667408
335.0,0.693042
340.0,0.711093
345.0,0.724509
350.0,0.732651
355.0,0.747291
360.0,0.751818
365.0,0.766007
370.0,0.76925
375.0,0.775172
380.0,0.769768
385.0,0.770222
390.0,0.780114
395.0,0.794442
400.0,0.802557
405.0,0.810106
410.0,0.811639
415.0,0.815963
420.0,0.81413
425.0,0.822061
430.0,0.824488
435.0,0.830841
440.0,0.83039
445.0,0.83414
450.0,0.834899
455.0,0.840023
460.0,0.841291
465.0,0.847361
470.0,0.848441
475.0,0.853121
480.0,0.853974
485.0,0.857066
490.0,0.857932
495.0,0.861894
500.0,0.862372
505.0,0.865928
510.0,0.866782
515.0,0.869224
520.0,0.869967
525.0,0.872916
530.0,0.873391
535.0,0.875726
540.0,0.87698
545.0,0.878999
550.0,0.879707
555.0,0.881617
560.0,0.882279
565.0,0.884101
570.0,0.884609
575.0,0.886507
580.0,0.887329
585.0,0.88917
590.0,0.889836
595.0,0.891367
600.0,0.892614
605.0,0.89384
610.0,0.894306
615.0,0.895297
620.0,0.896221
625.0,0.897027
630.0,0.897725
635.0,0.898407
640.0,0.899059
645.0,0.899815
650.0,0.900767
655.0,0.900954
660.0,0.903001
665.0,0.903094
670.0,0.904719
675.0,0.906232
680.0,0.906387
685.0,0.907881
690.0,0.908303
695.0,0.908271
700.0,0.909322
705.0,0.909122
710.0,0.909941
715.0,0.909631
720.0,0.910534
725.0,0.910115
730.0,0.910593
735.0,0.911344
740.0,0.912157
745.0,0.911704
750.0,0.911082
755.0,0.912472
760.0,0.910184
765.0,0.9123
770.0,0.912327
775.0,0.912824
780.0,0.913315
785.0,0.91204
790.0,0.91358
795.0,0.911514
800.0,0.913409
805.0,0.911833
810.0,0.912777
815.0,0.911708
820.0,0.913096
825.0,0.912818
830.0,0.910319
835.0,0.911686
840.0,0.911703
845.0,0.913032
850.0,0.91246
855.0,0.911221
860.0,0.912824
865.0,0.912886
870.0,0.913068
875.0,0.913266
880.0,0.913115
885.0,0.912706
890.0,0.912234
895.0,0.912738
900.0,0.912381
905.0,0.910841
910.0,0.910509
915.0,0.910286
