Wavelength (nm),BKR1KW003E anorthite Kierra <45µm heated 650 °C under vacuum
300.0,0.334436
305.0,0.393323
310.0,0.454611
315.0,0.507841
320.0,0.553444
325.0,0.582792
330.0,0.609282
335.0,0.625392
340.0,0.638229
345.0,0.64687
350.0,0.654768
355.0,0.659558
360.0,0.667504
365.0,0.670507
370.0,0.676361
375.0,0.676826
380.0,0.676857
385.0,0.677041
390.0,0.684624
395.0,0.692138
400.0,0.699912
405.0,0.702106
410.0,0.707863
415.0,0.708749
420.0,0.712357
425.0,0.71444
430.0,0.719872
435.0,0.722026
440.0,0.725804
445.0,0.727883
450.0,0.731863
455.0,0.733995
460.0,0.738721
465.0,0.741468
470.0,0.744817
475.0,0.747496
480.0,0.750851
485.0,0.752767
490.0,0.755996
495.0,0.75811
500.0,0.762255
505.0,0.763359
510.0,0.766977
515.0,0.768331
520.0,0.771439
525.0,0.77402
530.0,0.777012
535.0,0.779422
540.0,0.782992
545.0,0.785404
550.0,0.788532
555.0,0.791383
560.0,0.794787
565.0,0.798098
570.0,0.801671
575.0,0.804119
580.0,0.807663
585.0,0.810237
590.0,0.813091
595.0,0.815185
600.0,0.81764
605.0,0.819997
610.0,0.821244
615.0,0.823183
620.0,0.824127
625.0,0.826431
630.0,0.827582
635.0,0.829395
640.0,0.830434
645.0,0.8325
650.0,0.833525
655.0,0.835644
660.0,0.83718
665.0,0.839012
670.0,0.840838
675.0,0.842743
680.0,0.843775
685.0,0.845737
690.0,0.846824
695.0,0.84777
700.0,0.849666
705.0,0.850827
710.0,0.851349
715.0,0.853883
720.0,0.853624
725.0,0.856022
730.0,0.85609
735.0,0.858589
740.0,0.859228
745.0,0.860862
750.0,0.862847
755.0,0.863502
760.0,0.864394
765.0,0.865255
770.0,0.865961
775.0,0.867227
780.0,0.867137
785.0,0.868523
790.0,0.868419
795.0,0.869692
800.0,0.870055
805.0,0.871745
810.0,0.871114
815.0,0.87264
820.0,0.872369
825.0,0.873464
830.0,0.874555
835.0,0.873133
840.0,0.874822
845.0,0.876318
850.0,0.876459
855.0,0.876719
860.0,0.878083
865.0,0.877204
870.0,0.87859
875.0,0.87808
880.0,0.87907
885.0,0.877188
890.0,0.878465
895.0,0.877729
900.0,0.878579
905.0,0.877925
910.0,0.879185
915.0,0.878622
920.0,0.879379
925.0,0.878449
930.0,0.879457
935.0,0.878997
940.0,0.879439
945.0,0.878611
950.0,0.88
955.0,0.879151
960.0,0.879745
965.0,0.879355
970.0,0.880298
975.0,0.879515
980.0,0.88011
985.0,0.87928
990.0,0.879979
995.0,0.879309
1000.0,0.879368
1005.0,0.879399
1010.0,0.879899
1015.0,0.879421
1020.0,0.879817
1025.0,0.879096
1030.0,0.879728
1035.0,0.879214
1040.0,0.879448
1045.0,0.879013
1050.0,0.879322
1055.0,0.879145
1060.0,0.879599
1065.0,0.879189
1070.0,0.879664
1075.0,0.878779
1080.0,0.87922
1085.0,0.879671
1090.0,0.879951
1095.0,0.880528
1100.0,0.881027
1105.0,0.88059
1110.0,0.881121
1115.0,0.880801
1120.0,0.881659
1125.0,0.880801
1130.0,0.880934
1135.0,0.881408
1140.0,0.881704
1145.0,0.881045
1150.0,0.88177
1155.0,0.881077
1160.0,0.881635
1165.0,0.881735
1170.0,0.882111
1175.0,0.882053
1180.0,0.882477
1185.0,0.881532
1190.0,0.882181
1195.0,0.881839
1200.0,0.882418
1205.0,0.881849
1210.0,0.881998
1215.0,0.881776
1220.0,0.88199
1225.0,0.882545
1230.0,0.882542
1235.0,0.882403
1240.0,0.882845
1245.0,0.882847
1250.0,0.882843
1255.0,0.88335
1260.0,0.88298
1265.0,0.882684
1270.0,0.883765
1275.0,0.883685
1280.0,0.883963
1285.0,0.884037
1290.0,0.884498
1295.0,0.884741
1300.0,0.884962
1305.0,0.885087
1310.0,0.885469
1315.0,0.885567
1320.0,0.886425
1325.0,0.886586
1330.0,0.886602
1335.0,0.88705
1340.0,0.8874
1345.0,0.887971
1350.0,0.888048
1355.0,0.888406
1360.0,0.888436
1365.0,0.88855
1370.0,0.888646
1375.0,0.888058
1380.0,0.888494
1385.0,0.889363
1390.0,0.889867
1395.0,0.889682
1400.0,0.890121
1405.0,0.890287
1410.0,0.890434
1415.0,0.890839
1420.0,0.891128
1425.0,0.892278
1430.0,0.893401
1435.0,0.893562
1440.0,0.894164
1445.0,0.894388
1450.0,0.894613
1455.0,0.895102
1460.0,0.89621
1465.0,0.89646
1470.0,0.896792
1475.0,0.897389
1480.0,0.897745
1485.0,0.897915
1490.0,0.898274
1495.0,0.898735
1500.0,0.899227
1505.0,0.899346
1510.0,0.899614
1515.0,0.900018
1520.0,0.90039
1525.0,0.901744
1530.0,0.900742
1535.0,0.901218
1540.0,0.901914
1545.0,0.903021
1550.0,0.901957
1555.0,0.903212
1560.0,0.903304
1565.0,0.903651
1570.0,0.903925
1575.0,0.9044
1580.0,0.905118
1585.0,0.905512
1590.0,0.905626
1595.0,0.905864
1600.0,0.906365
1605.0,0.906232
1610.0,0.906568
1615.0,0.907122
1620.0,0.907209
1625.0,0.907401
1630.0,0.907124
1635.0,0.907379
1640.0,0.907981
1645.0,0.909106
1650.0,0.909353
1655.0,0.909316
1660.0,0.910217
1665.0,0.911796
1670.0,0.911898
1675.0,0.912193
1680.0,0.913177
1685.0,0.913876
1690.0,0.91418
1695.0,0.914234
1700.0,0.913778
1705.0,0.914538
1710.0,0.914596
1715.0,0.914838
1720.0,0.914917
1725.0,0.914853
1730.0,0.9147
1735.0,0.914177
1740.0,0.914142
1745.0,0.914618
1750.0,0.914164
1755.0,0.914207
1760.0,0.914366
1765.0,0.915135
1770.0,0.914764
1775.0,0.915175
1780.0,0.914881
1785.0,0.915087
1790.0,0.915627
1795.0,0.914718
1800.0,0.915142
1805.0,0.915438
1810.0,0.915208
1815.0,0.916596
1820.0,0.915944
1825.0,0.916604
1830.0,0.916592
1835.0,0.916174
1840.0,0.916485
1845.0,0.916378
1850.0,0.916428
1855.0,0.916608
1860.0,0.917225
1865.0,0.915726
1870.0,0.914616
1875.0,0.916315
1880.0,0.91667
1885.0,0.915723
1890.0,0.916165
1895.0,0.915842
1900.0,0.914966
1905.0,0.915064
1910.0,0.915442
1915.0,0.914428
1920.0,0.914357
1925.0,0.913892
1930.0,0.915347
1935.0,0.915101
1940.0,0.914926
1945.0,0.915679
1950.0,0.915815
1955.0,0.915947
1960.0,0.916165
1965.0,0.915975
1970.0,0.916383
1975.0,0.916428
1980.0,0.91658
1985.0,0.916808
1990.0,0.916683
1995.0,0.917525
2000.0,0.917646
2005.0,0.917615
2010.0,0.917582
2015.0,0.918356
2020.0,0.917689
2025.0,0.918141
2030.0,0.918584
2035.0,0.918275
2040.0,0.918022
2045.0,0.918121
2050.0,0.918183
2055.0,0.918389
2060.0,0.917625
2065.0,0.917761
2070.0,0.918124
2075.0,0.917967
2080.0,0.918258
2085.0,0.918724
2090.0,0.917991
2095.0,0.918773
2100.0,0.918103
2105.0,0.918324
2110.0,0.918415
2115.0,0.91871
2120.0,0.918838
2125.0,0.918432
2130.0,0.918762
2135.0,0.918397
2140.0,0.917996
2145.0,0.918057
2150.0,0.917876
2155.0,0.917223
2160.0,0.917392
2165.0,0.917763
2170.0,0.917259
2175.0,0.917542
2180.0,0.918133
2185.0,0.917958
2190.0,0.918223
2195.0,0.91891
2200.0,0.918253
2205.0,0.919249
2210.0,0.91813
2215.0,0.919023
2220.0,0.918523
2225.0,0.919004
2230.0,0.918671
2235.0,0.9187
2240.0,0.918707
2245.0,0.918514
2250.0,0.919368
2255.0,0.919355
2260.0,0.91924
2265.0,0.919993
2270.0,0.920337
2275.0,0.92069
2280.0,0.92117
2285.0,0.921445
2290.0,0.921704
2295.0,0.922153
2300.0,0.922662
2305.0,0.923028
2310.0,0.923439
2315.0,0.923816
2320.0,0.924046
2325.0,0.92436
2330.0,0.924596
2335.0,0.924826
2340.0,0.925271
2345.0,0.925482
2350.0,0.925345
2355.0,0.925359
2360.0,0.924975
2365.0,0.924348
2370.0,0.923455
2375.0,0.923092
2380.0,0.922922
2385.0,0.92252
2390.0,0.92274
2395.0,0.922977
2400.0,0.923271
2405.0,0.922815
2410.0,0.923159
2415.0,0.92273
2420.0,0.922637
2425.0,0.922579
2430.0,0.922678
2435.0,0.922983
2440.0,0.922068
2445.0,0.92304
2450.0,0.922123
2455.0,0.922592
2460.0,0.922621
2465.0,0.922941
2470.0,0.922519
2475.0,0.923168
2480.0,0.924078
2485.0,0.923947
2490.0,0.923901
2495.0,0.923996
2500.0,0.924874
2500.2,0.924873
2501.41,0.924828
2502.62,0.924815
2503.83,0.924826
2505.03,0.924815
2506.25,0.924794
2507.46,0.924794
2508.67,0.924806
2509.89,0.924873
2511.1,0.924921
2512.32,0.924878
2513.53,0.924837
2514.75,0.924837
2515.97,0.924871
2517.19,0.924925
2518.42,0.924929
2519.64,0.924959
2520.87,0.924951
2522.09,0.924895
2523.32,0.924914
2524.55,0.924914
2525.78,0.924945
2527.01,0.924916
2528.24,0.924891
2529.47,0.924992
2530.71,0.925046
2531.94,0.925052
2533.18,0.925052
2534.42,0.925042
2535.66,0.925061
2536.9,0.925115
2538.14,0.925152
2539.38,0.925164
2540.63,0.925156
2541.87,0.92513
2543.12,0.925203
2544.37,0.925164
2545.62,0.925143
2546.87,0.925242
2548.12,0.925303
2549.37,0.925262
2550.63,0.925227
2551.88,0.925277
2553.14,0.925369
2554.39,0.925339
2555.65,0.925251
2556.91,0.925225
2558.17,0.925218
2559.44,0.925212
2560.7,0.925348
2561.97,0.925482
2563.23,0.925494
2564.5,0.925475
2565.77,0.925428
2567.04,0.925331
2568.31,0.925337
2569.58,0.925468
2570.86,0.925453
2572.13,0.925415
2573.41,0.92563
2574.69,0.925574
2575.97,0.925484
2577.25,0.925503
2578.53,0.925456
2579.81,0.925436
2581.1,0.925449
2582.38,0.925482
2583.67,0.925717
2584.96,0.925716
2586.24,0.92549
2587.54,0.925548
2588.83,0.925566
2590.12,0.925473
2591.41,0.925354
2592.71,0.925359
2594.01,0.925777
2595.31,0.926234
2596.6,0.925906
2597.91,0.925378
2599.21,0.925149
2600.51,0.925179
2601.82,0.925214
2603.12,0.925246
2604.43,0.925384
2605.74,0.925574
2607.05,0.925451
2608.36,0.925248
2609.67,0.925212
2610.99,0.925167
2612.3,0.925024
2613.62,0.925026
2614.94,0.925057
2616.26,0.925203
2617.58,0.925281
2618.9,0.925123
2620.22,0.925264
2621.55,0.925236
2622.87,0.924845
2624.2,0.924731
2625.53,0.924871
2626.86,0.925035
2628.19,0.92486
2629.52,0.924849
2630.86,0.925048
2632.19,0.924817
2633.53,0.92458
2634.87,0.924563
2636.21,0.924448
2637.55,0.924252
2638.89,0.924159
2640.23,0.924153
2641.58,0.924146
2642.93,0.924121
2644.27,0.924026
2645.62,0.923944
2646.97,0.923776
2648.32,0.923594
2649.68,0.923405
2651.03,0.923249
2652.39,0.923148
2653.75,0.922922
2655.1,0.922531
2656.46,0.92213
2657.83,0.921632
2659.19,0.921145
2660.55,0.920562
2661.92,0.9199
2663.29,0.919165
2664.66,0.918694
2666.03,0.91816
2667.4,0.917301
2668.77,0.915962
2670.14,0.914687
2671.52,0.912895
2672.9,0.910447
2674.27,0.908642
2675.65,0.907577
2677.04,0.906885
2678.42,0.906197
2679.8,0.905681
