Wavelength (nm),"Mauna Iki, HI basaltic glass JB388A <125 µm"
310,0.041271
315,0.041913
320,0.042772
325,0.043753
330,0.044781
335,0.045862
340,0.04705
345,0.048394
350,0.049618
355,0.050921
360,0.052199
365,0.053384
370,0.054326
375,0.055337
380,0.056322
385,0.057289
390,0.058153
395,0.059223
400,0.060036
405,0.060829
410,0.061796
415,0.062861
420,0.06402
425,0.065476
430,0.066819
435,0.068055
440,0.069162
445,0.070237
450,0.071339
455,0.072653
460,0.074028
465,0.075634
470,0.077286
475,0.079021
480,0.080984
485,0.083038
490,0.085024
495,0.087092
500,0.089092
505,0.090986
510,0.092616
515,0.094417
520,0.095963
525,0.097617
530,0.099252
535,0.10113
540,0.10274
545,0.10458
550,0.10594
555,0.10725
560,0.10879
565,0.11053
570,0.11198
575,0.11383
580,0.11555
585,0.11693
590,0.11793
595,0.11915
600,0.12009
605,0.12109
610,0.12187
615,0.12281
620,0.12351
625,0.12432
630,0.12477
635,0.12527
640,0.12569
645,0.12609
650,0.1267
655,0.12743
660,0.1279
665,0.12836
670,0.1287
675,0.12868
680,0.12861
685,0.12861
690,0.1284
695,0.1282
700,0.12785
705,0.12745
710,0.12703
715,0.12657
720,0.12608
725,0.12532
730,0.12446
735,0.12358
740,0.12272
745,0.12169
750,0.12092
755,0.11989
760,0.11884
765,0.11737
770,0.116
775,0.11499
780,0.11412
785,0.11305
790,0.1124
795,0.11164
800,0.11054
805,0.1093
810,0.10817
815,0.10692
820,0.10578
825,0.10469
830,0.10383
835,0.10282
840,0.10186
845,0.10092
850,0.099966
855,0.098926
860,0.098083
865,0.097249
870,0.096357
875,0.095334
880,0.094533
885.27,0.094067
885.57,0.093975
885.87,0.093945
886.18,0.093928
886.48,0.093923
886.78,0.093979
887.09,0.09415
887.39,0.094293
887.69,0.094224
888,0.093908
888.3,0.093728
888.61,0.093658
888.91,0.093447
889.22,0.093107
892.89,0.093285
893.2,0.093351
893.51,0.09328
893.82,0.093352
894.12,0.093567
894.43,0.093755
894.74,0.093893
895.05,0.093929
895.36,0.093966
895.67,0.093845
895.98,0.09359
896.29,0.093482
896.6,0.093507
896.91,0.093581
897.22,0.093548
897.53,0.093516
897.84,0.093639
898.15,0.093657
898.46,0.093685
898.78,0.093742
899.09,0.093743
899.4,0.093629
899.71,0.093402
900.02,0.093081
900.34,0.092777
900.65,0.092688
900.96,0.092562
901.28,0.092287
901.59,0.092087
901.9,0.091911
902.22,0.091708
902.53,0.091581
902.84,0.091538
903.16,0.091622
903.47,0.09183
903.79,0.092053
904.1,0.092059
904.42,0.091912
904.74,0.091765
905.05,0.091731
905.37,0.091665
905.68,0.091571
906,0.091693
906.32,0.091956
906.63,0.09204
906.95,0.092028
907.27,0.091882
907.59,0.091824
907.9,0.091955
908.22,0.092055
908.54,0.092032
908.86,0.091998
909.18,0.092158
909.5,0.092286
909.82,0.092177
910.14,0.092042
910.46,0.091945
910.78,0.091949
911.1,0.091885
911.42,0.09173
911.74,0.091608
912.06,0.091531
912.38,0.091529
912.7,0.091401
913.02,0.091206
913.34,0.09115
913.66,0.091037
913.99,0.090888
914.31,0.091008
914.63,0.091105
914.96,0.091024
915.28,0.090874
915.6,0.09087
915.92,0.091008
916.25,0.090972
916.57,0.0909
916.9,0.090845
917.22,0.090558
917.55,0.090294
917.87,0.090083
918.2,0.090193
918.52,0.090467
918.85,0.090579
919.17,0.090505
919.5,0.090375
919.83,0.090462
920.15,0.090423
920.48,0.090287
920.81,0.090641
921.13,0.091084
921.46,0.091241
921.79,0.091172
922.12,0.091018
922.44,0.090957
922.77,0.091024
923.1,0.090965
923.43,0.091209
923.76,0.091537
924.09,0.091846
928.72,0.091607
929.06,0.091239
929.39,0.090951
929.72,0.09091
930.06,0.09064
930.39,0.090495
930.72,0.090274
931.06,0.090039
931.39,0.089864
931.73,0.089708
932.06,0.089423
932.4,0.089189
932.73,0.088852
933.07,0.088469
933.41,0.088378
933.74,0.088484
934.08,0.088391
934.42,0.088367
934.75,0.088438
935.09,0.088437
935.43,0.088336
935.76,0.088354
936.1,0.088377
936.44,0.088412
936.78,0.088507
937.12,0.088429
937.46,0.088169
937.8,0.088065
938.14,0.087977
938.47,0.087926
938.81,0.087965
939.15,0.088005
939.5,0.087853
939.84,0.087759
940.18,0.087704
940.52,0.087645
940.86,0.087629
941.2,0.087682
941.54,0.087708
941.88,0.087831
942.23,0.08792
942.57,0.087906
942.91,0.087953
943.26,0.08809
943.6,0.088079
943.94,0.087865
944.29,0.087691
944.63,0.087656
944.98,0.087627
945.32,0.087552
945.66,0.087407
946.01,0.087317
946.36,0.087276
946.7,0.087236
947.05,0.0872
947.39,0.087149
947.74,0.087152
948.09,0.087159
948.43,0.087095
948.78,0.0871
949.13,0.087142
949.48,0.087216
949.82,0.08725
950.17,0.087174
950.52,0.087059
950.87,0.086996
951.22,0.08708
951.57,0.087168
951.92,0.087152
952.27,0.087102
952.62,0.087008
952.97,0.086905
953.32,0.086789
953.67,0.086696
954.02,0.086709
954.37,0.086739
954.72,0.086649
955.07,0.086398
955.42,0.086291
955.78,0.086286
956.13,0.086296
956.48,0.086318
956.84,0.086343
957.19,0.086355
957.54,0.086268
957.9,0.086163
958.25,0.086066
958.6,0.086025
958.96,0.086045
959.31,0.086022
959.67,0.086044
960.03,0.08606
960.38,0.086006
960.74,0.085994
961.09,0.086027
961.45,0.086113
961.81,0.086276
962.16,0.086344
962.52,0.086276
962.88,0.086328
963.24,0.086396
963.59,0.086321
963.95,0.086191
964.31,0.086155
964.67,0.08615
965.03,0.08612
965.39,0.086034
965.75,0.085884
966.11,0.085804
966.47,0.085782
966.83,0.085666
967.19,0.085547
967.55,0.085557
967.91,0.085643
968.27,0.085656
968.64,0.085616
969,0.085487
969.36,0.085373
969.72,0.085299
970.09,0.08524
970.45,0.085241
970.81,0.085269
971.18,0.085229
971.54,0.085219
971.9,0.085183
972.27,0.085007
972.63,0.084808
973,0.084739
973.36,0.084701
973.73,0.084647
974.1,0.084637
974.46,0.084628
974.83,0.084605
975.19,0.084644
975.56,0.084585
975.93,0.084478
976.3,0.084565
976.66,0.084714
977.03,0.084762
977.4,0.084778
977.77,0.084791
978.14,0.084763
978.51,0.084756
978.88,0.084751
979.25,0.084718
979.62,0.084695
979.99,0.084681
980.36,0.084633
980.73,0.084567
981.1,0.084528
981.47,0.08446
981.84,0.084348
982.22,0.084255
982.59,0.084233
982.96,0.084277
983.33,0.084335
983.71,0.084404
984.08,0.084469
984.45,0.084552
984.83,0.084641
985.2,0.084693
985.58,0.084713
985.95,0.084736
986.33,0.084766
986.7,0.084732
987.08,0.08463
987.45,0.084492
987.83,0.084357
988.21,0.084281
988.58,0.084204
988.96,0.084084
989.34,0.083927
989.72,0.083804
990.09,0.08373
990.47,0.083713
990.85,0.083724
991.23,0.083727
991.61,0.083801
991.99,0.083906
992.37,0.083937
992.75,0.083887
993.13,0.083841
993.51,0.083864
993.89,0.083966
994.27,0.084103
994.65,0.084211
995.04,0.084208
995.42,0.084104
995.8,0.083857
996.18,0.083668
996.57,0.083656
996.95,0.083652
997.33,0.083624
997.72,0.083616
998.1,0.083622
998.49,0.08363
998.87,0.083576
999.26,0.083529
999.64,0.083573
1000,0.083725
1000.4,0.083801
1000.8,0.083774
1001.2,0.083812
1001.6,0.08384
1002,0.083804
1002.3,0.083737
1002.7,0.083635
1003.1,0.083531
1003.5,0.083493
1003.9,0.083446
1004.3,0.083359
1004.7,0.083241
1005.1,0.083108
1005.5,0.083025
1005.8,0.083033
1006.2,0.083081
1006.6,0.083135
1007,0.083132
1007.4,0.083113
1007.8,0.083089
1008.2,0.083126
1008.6,0.08323
1009,0.083353
1009.4,0.083462
1009.8,0.083529
1010.2,0.083499
1010.6,0.083418
1010.9,0.083305
1011.3,0.083229
1011.7,0.083209
1012.1,0.083186
1012.5,0.083144
1012.9,0.083049
1013.3,0.082954
1013.7,0.082882
1014.1,0.08279
1014.5,0.082771
1014.9,0.08278
1015.3,0.082792
1015.7,0.082835
1016.1,0.082815
1016.5,0.082721
1016.9,0.082635
1017.3,0.082635
1017.7,0.082668
1018.1,0.082712
1018.5,0.082733
1018.9,0.082716
1019.3,0.082723
1019.7,0.08278
1020.1,0.082866
1020.5,0.082977
1020.9,0.083082
1021.3,0.083139
1021.7,0.083144
1022.1,0.083109
1022.5,0.083068
1022.9,0.083062
1023.3,0.083034
1023.7,0.082953
1024.1,0.082871
1024.5,0.082779
1024.9,0.082668
1025.3,0.082597
1025.7,0.082554
1026.2,0.082467
1026.6,0.082393
1027,0.082339
1027.4,0.082319
1027.8,0.082358
1028.2,0.082412
1028.6,0.082433
1029,0.082445
1029.4,0.082496
1029.8,0.08257
1030.2,0.082578
1030.6,0.082597
1031.1,0.08264
1031.5,0.082672
1031.9,0.082681
1032.3,0.082694
1032.7,0.08275
1033.1,0.082788
1033.5,0.082809
1033.9,0.082823
1034.3,0.082763
1034.8,0.082744
1035.2,0.082813
1035.6,0.082896
1036,0.082974
1036.4,0.083042
1036.8,0.083056
1037.2,0.082997
1037.7,0.082961
1038.1,0.082925
1038.5,0.08289
1038.9,0.082923
1039.3,0.082954
1039.7,0.082915
1040.2,0.08285
1040.6,0.082764
1041,0.082672
1041.4,0.082672
1041.8,0.082766
1042.2,0.082799
1042.7,0.082794
1043.1,0.082822
1043.5,0.082873
1043.9,0.082908
1044.3,0.082926
1044.8,0.082932
1045.2,0.082937
1045.6,0.082993
1046,0.082969
1046.5,0.082856
1046.9,0.082832
1047.3,0.082881
1047.7,0.08289
1048.1,0.082836
1048.6,0.082817
1049,0.082813
1049.4,0.082827
1049.8,0.082835
1050.3,0.082803
1050.7,0.082822
1051.1,0.082842
1051.5,0.082806
1052,0.08274
1052.4,0.082701
1052.8,0.082766
1053.3,0.082816
1053.7,0.082797
1054.1,0.082763
1054.5,0.08278
1055,0.082784
1055.4,0.082738
1055.8,0.08276
1056.3,0.082838
1056.7,0.082918
1057.1,0.082928
1057.6,0.082842
1058,0.082808
1058.4,0.082862
1058.9,0.082922
1059.3,0.08295
1059.7,0.082967
1060.2,0.083006
1060.6,0.083033
1061,0.08302
1061.5,0.082955
1061.9,0.082945
1062.3,0.08299
1062.8,0.082996
1063.2,0.08303
1063.6,0.08307
1064.1,0.083068
1064.5,0.083109
1064.9,0.083156
1065.4,0.083176
1065.8,0.083192
1066.3,0.083246
1066.7,0.08329
1067.1,0.083319
1067.6,0.083378
1068,0.083401
1068.5,0.083387
1068.9,0.083427
1069.3,0.08346
1069.8,0.08346
1070.2,0.083462
1070.7,0.083497
1071.1,0.083526
1071.5,0.083558
1072,0.083587
1072.4,0.083572
1072.9,0.083548
1073.3,0.083549
1073.8,0.083546
1074.2,0.083568
1074.7,0.083633
1075.1,0.083682
1075.5,0.08366
1076,0.083617
1076.4,0.083587
1076.9,0.08356
1077.3,0.083566
1077.8,0.083605
1078.2,0.083622
1078.7,0.0836
1079.1,0.08352
1079.6,0.083469
1080,0.083481
1080.5,0.083512
1080.9,0.083581
1081.4,0.083681
1081.8,0.083753
1082.3,0.08379
1082.7,0.083792
1083.2,0.083808
1083.6,0.08388
1084.1,0.083957
1084.5,0.083952
1085,0.083905
1085.5,0.083861
1085.9,0.083832
1086.4,0.083793
1086.8,0.083774
1087.3,0.083741
1087.7,0.083728
1088.2,0.083734
1088.6,0.083743
1089.1,0.083738
1089.6,0.083773
1090,0.083848
1090.5,0.083956
1090.9,0.084053
1091.4,0.084145
1091.9,0.084203
1092.3,0.084209
1092.8,0.084192
1093.2,0.084214
1093.7,0.084265
1094.2,0.08435
1094.6,0.084394
1095.1,0.084412
1095.5,0.084406
1096,0.084393
1096.5,0.084355
1096.9,0.084356
1097.4,0.084456
1097.9,0.084546
1098.3,0.084607
1098.8,0.084631
1099.3,0.084614
1099.7,0.084619
1100.2,0.084646
1100.7,0.084693
1101.1,0.084747
1101.6,0.084776
1102.1,0.084788
1102.5,0.084822
1103,0.084843
1103.5,0.084793
1103.9,0.08477
1104.4,0.084807
1104.9,0.084857
1105.4,0.084872
1105.8,0.08485
1106.3,0.084811
1106.8,0.084829
1107.2,0.084849
1107.7,0.084776
1108.2,0.08475
1108.7,0.084829
1109.1,0.084878
1109.6,0.084928
1110.1,0.084987
1110.6,0.085016
1111,0.08507
1111.5,0.085124
1112,0.085143
1112.5,0.085188
1113,0.085287
1113.4,0.085337
1113.9,0.085354
1114.4,0.0854
1114.9,0.085426
1115.3,0.085386
1115.8,0.085377
1116.3,0.085409
1116.8,0.085411
1117.3,0.085397
1117.8,0.085377
1118.2,0.085367
1118.7,0.085361
1119.2,0.08535
1119.7,0.085362
1120.2,0.085382
1120.7,0.085455
1121.1,0.085554
1121.6,0.085571
1122.1,0.085615
1122.6,0.085713
1123.1,0.085779
1123.6,0.085786
1124.1,0.085798
1124.5,0.085819
1125,0.085842
1125.5,0.085873
1126,0.085893
1126.5,0.085867
1127,0.085882
1127.5,0.085916
1128,0.085887
1128.5,0.08585
1128.9,0.085845
1129.4,0.085893
1129.9,0.085982
1130.4,0.08603
1130.9,0.086026
1131.4,0.08601
1131.9,0.086029
1132.4,0.086061
1132.9,0.086077
1133.4,0.086135
1133.9,0.086231
1134.4,0.086326
1134.9,0.086365
1135.4,0.086357
1135.9,0.086333
1136.4,0.086361
1136.9,0.0864
1137.4,0.086434
1137.9,0.086484
1138.4,0.086507
1138.9,0.086515
1139.4,0.086525
1139.9,0.086536
1140.4,0.086602
1140.9,0.086662
1141.4,0.086702
1141.9,0.086736
1142.4,0.086804
1142.9,0.086883
1143.4,0.086922
1143.9,0.086973
1144.4,0.087015
1144.9,0.087058
1145.4,0.087102
1145.9,0.087126
1146.4,0.087146
1146.9,0.087162
1147.4,0.087129
1147.9,0.087076
1148.5,0.087061
1149,0.087079
1149.5,0.087101
1150,0.087126
1150.5,0.087132
1151,0.087186
1151.5,0.087224
1152,0.087238
1152.5,0.087302
1153.1,0.087395
1153.6,0.087449
1154.1,0.087466
1154.6,0.087467
1155.1,0.087508
1155.6,0.087565
1156.1,0.087606
1156.7,0.087595
1157.2,0.087594
1157.7,0.087662
1158.2,0.087727
1158.7,0.087771
1159.2,0.08782
1159.8,0.087848
1160.3,0.087855
1160.8,0.087831
1161.3,0.087828
1161.8,0.087878
1162.4,0.087938
1162.9,0.087985
1163.4,0.088009
1163.9,0.088033
1164.5,0.088079
1165,0.08813
1165.5,0.088205
1166,0.088285
1166.5,0.088359
1167.1,0.088441
1167.6,0.088475
1168.1,0.088458
1168.7,0.088469
1169.2,0.088476
1169.7,0.088451
1170.2,0.088439
1170.8,0.088472
1171.3,0.088519
1171.8,0.088544
1172.4,0.088587
1172.9,0.08864
1173.4,0.08869
1173.9,0.088769
1174.5,0.08883
1175,0.088896
1175.5,0.088963
1176.1,0.089011
1176.6,0.089037
1177.1,0.089049
1177.7,0.089077
1178.2,0.089116
1178.7,0.089141
1179.3,0.089196
1179.8,0.089244
1180.4,0.089272
1180.9,0.089317
1181.4,0.089358
1182,0.089382
1182.5,0.089418
1183.1,0.089454
1183.6,0.089527
1184.1,0.089578
1184.7,0.089591
1185.2,0.089582
1185.8,0.08961
1186.3,0.089678
1186.8,0.089703
1187.4,0.089725
1187.9,0.089798
1188.5,0.089845
1189,0.089864
1189.6,0.089874
1190.1,0.089878
1190.7,0.0899
1191.2,0.089931
1191.8,0.089973
1192.3,0.09
1192.9,0.090027
1193.4,0.090085
1194,0.090118
1194.5,0.090143
1195.1,0.090194
1195.6,0.090234
1196.2,0.090265
1196.7,0.090324
1197.3,0.090437
1197.8,0.090531
1198.4,0.090572
1198.9,0.090601
1199.5,0.090596
1200,0.090589
1200.6,0.090616
1201.1,0.090654
1201.7,0.090696
1202.3,0.090741
1202.8,0.090752
1203.4,0.090744
1203.9,0.090734
1204.5,0.090748
1205.1,0.09079
1205.6,0.090859
1206.2,0.090946
1206.7,0.091007
1207.3,0.091053
1207.9,0.091081
1208.4,0.091147
1209,0.09124
1209.6,0.091299
1210.1,0.091341
1210.7,0.091383
1211.2,0.091424
1211.8,0.091477
1212.4,0.091528
1212.9,0.091572
1213.5,0.091605
1214.1,0.09166
1214.7,0.091721
1215.2,0.091741
1215.8,0.091768
1216.4,0.091803
1216.9,0.091856
1217.5,0.091938
1218.1,0.091996
1218.6,0.091994
1219.2,0.092001
1219.8,0.092028
1220.4,0.092052
1220.9,0.092041
1221.5,0.092061
1222.1,0.092111
1222.7,0.09216
1223.3,0.092192
1223.8,0.092206
1224.4,0.092225
1225,0.092294
1225.6,0.092378
1226.1,0.092458
1226.7,0.092539
1227.3,0.092634
1227.9,0.092698
1228.5,0.092726
1229.1,0.092794
1229.6,0.092883
1230.2,0.092967
1230.8,0.093075
1231.4,0.093179
1232,0.093237
1232.6,0.093268
1233.1,0.093297
1233.7,0.093325
1234.3,0.093404
1234.9,0.093507
1235.5,0.093569
1236.1,0.093614
1236.7,0.093641
1237.3,0.093616
1237.9,0.093587
1238.4,0.093613
1239,0.093676
1239.6,0.093763
1240.2,0.09384
1240.8,0.093872
1241.4,0.093876
1242,0.093895
1242.6,0.093931
1243.2,0.093962
1243.8,0.094027
1244.4,0.094095
1245,0.094154
1245.6,0.094217
1246.2,0.094249
1246.8,0.094278
1247.4,0.094319
1248,0.09437
1248.6,0.09444
1249.2,0.094511
1249.8,0.094572
1250.4,0.094638
1251,0.094697
1251.6,0.094747
1252.2,0.094763
1252.8,0.094795
1253.4,0.094845
1254,0.094896
1254.6,0.09496
1255.2,0.095021
1255.8,0.095092
1256.5,0.095176
1257.1,0.095239
1257.7,0.095307
1258.3,0.095362
1258.9,0.095418
1259.5,0.095497
1260.1,0.095587
1260.7,0.095668
1261.3,0.095707
1262,0.095723
1262.6,0.095767
1263.2,0.095828
1263.8,0.095878
1264.4,0.09593
1265,0.096006
1265.7,0.096081
1266.3,0.096128
1266.9,0.096142
1267.5,0.096158
1268.1,0.096221
1268.8,0.096306
1269.4,0.096338
1270,0.096365
1270.6,0.096419
1271.2,0.096478
1271.9,0.096519
1272.5,0.09656
1273.1,0.096595
1273.7,0.096657
1274.4,0.096744
1275,0.096779
1275.6,0.096797
1276.3,0.096861
1276.9,0.096955
1277.5,0.097048
1278.1,0.097118
1278.8,0.097198
1279.4,0.097297
1280,0.097402
1280.7,0.097473
1281.3,0.0975
1281.9,0.097546
1282.6,0.09761
1283.2,0.097649
1283.8,0.097671
1284.5,0.097706
1285.1,0.097749
1285.7,0.097786
1286.4,0.097822
1287,0.097868
1287.7,0.097931
1288.3,0.098025
1288.9,0.098143
1289.6,0.098236
1290.2,0.09832
1290.9,0.098386
1291.5,0.098438
1292.2,0.09852
1292.8,0.098616
1293.4,0.0987
1294.1,0.098768
1294.7,0.098846
1295.4,0.098912
1296,0.098961
1296.7,0.099039
1297.3,0.099109
1298,0.099165
1298.6,0.09924
1299.3,0.099301
1299.9,0.099364
1300.6,0.099449
1301.2,0.099538
1301.9,0.099605
1302.5,0.099696
1303.2,0.099787
1303.9,0.09984
1304.5,0.099889
1305.2,0.099965
1305.8,0.10004
1306.5,0.10012
1307.1,0.1002
1307.8,0.10027
1308.5,0.10034
1309.1,0.10041
1309.8,0.10046
1310.4,0.10055
1311.1,0.10065
1311.8,0.10075
1312.4,0.10085
1313.1,0.10093
1313.8,0.10099
1314.4,0.10102
1315.1,0.10105
1315.8,0.1011
1316.4,0.10113
1317.1,0.10116
1317.8,0.10119
1318.4,0.10125
1319.1,0.10129
1319.8,0.10133
1320.5,0.10138
1321.1,0.10144
1321.8,0.10151
1322.5,0.1016
1323.2,0.1017
1323.8,0.10181
1324.5,0.10191
1325.2,0.10199
1325.9,0.10207
1326.5,0.10217
1327.2,0.10226
1327.9,0.10231
1328.6,0.10237
1329.3,0.10246
1329.9,0.10254
1330.6,0.10262
1331.3,0.10269
1332,0.10277
1332.7,0.10284
1333.4,0.10289
1334.1,0.10293
1334.7,0.10298
1335.4,0.10309
1336.1,0.10318
1336.8,0.10326
1337.5,0.10333
1338.2,0.10339
1338.9,0.10344
1339.6,0.1035
1340.3,0.10358
1341,0.10366
1341.6,0.10377
1342.3,0.10389
1343,0.10397
1343.7,0.10406
1344.4,0.10416
1345.1,0.10423
1345.8,0.10429
1346.5,0.10437
1347.2,0.10443
1347.9,0.1045
1348.6,0.10458
1349.3,0.10465
1350,0.10469
1350.7,0.10476
1351.4,0.10482
1352.1,0.10489
1352.9,0.10496
1353.6,0.10503
1354.3,0.10512
1355,0.10525
1355.7,0.10533
1356.4,0.10541
1357.1,0.10551
1357.8,0.10563
1358.5,0.1057
1359.2,0.10578
1360,0.10587
1360.7,0.10597
1361.4,0.10608
1362.1,0.10616
1362.8,0.10622
1363.5,0.10631
1364.2,0.10641
1365,0.10647
1365.7,0.10653
1366.4,0.10661
1367.1,0.10668
1367.8,0.10676
1368.6,0.1068
1369.3,0.10686
1370,0.10693
1370.7,0.107
1371.5,0.10707
1372.2,0.10716
1372.9,0.10725
1373.6,0.10734
1374.4,0.10745
1375.1,0.10754
1375.8,0.10763
1376.6,0.10773
1377.3,0.10783
1378,0.10794
1378.8,0.10806
1379.5,0.10815
1380.2,0.10823
1381,0.10829
1381.7,0.10835
1382.4,0.10839
1383.2,0.10846
1383.9,0.10853
1384.7,0.1086
1385.4,0.10868
1386.1,0.10872
1386.9,0.10879
