Wavelength (nm),Vogelsberg basalt JB460 125-250 µm
300,0.03323
305,0.03333
310,0.03362
315,0.0347
320,0.03574
325,0.03724
330,0.03638
335,0.03806
340,0.03842
345,0.03889
350,0.03899
355,0.03965
360,0.04045
365,0.04021
370,0.04113
375,0.04195
380,0.04252
385,0.04349
390,0.04435
395,0.04536
400,0.04638
405,0.04662
410,0.04685
415,0.04736
420,0.04771
425,0.04828
430,0.04875
435,0.04945
440,0.05003
445,0.05074
450,0.05114
455,0.05154
460,0.05195
465,0.05239
470,0.05269
475,0.05297
480,0.05343
485,0.05382
490,0.05422
495,0.05483
500,0.05536
505,0.05608
510,0.05696
515,0.05796
520,0.05899
525,0.05991
530,0.06091
535,0.06165
540,0.06245
545,0.06317
550,0.06373
555,0.06442
560,0.06485
565,0.06547
570,0.06603
575,0.06648
580,0.06676
585,0.06723
590,0.06746
595,0.06779
600,0.06823
605,0.06845
610,0.06883
615,0.06899
620,0.06956
625,0.06975
630,0.07022
635,0.07056
640,0.07092
645,0.07132
650,0.07164
655,0.07195
660,0.07227
665,0.07281
670,0.07316
675,0.07359
680,0.07395
685,0.07431
690,0.07478
695,0.07531
700,0.07554
705,0.07598
710,0.07629
715,0.07682
720,0.07722
725,0.07762
730,0.07793
735,0.07802
740,0.07824
745,0.07853
750,0.07846
755,0.07868
760,0.07877
765,0.07866
770,0.07873
775,0.07875
780,0.07869
785,0.0787
790,0.07849
795,0.07863
800,0.07844
805,0.07834
810,0.07818
815,0.07796
820,0.07777
825,0.07738
830,0.07702
835,0.07655
840,0.07612
845,0.07552
850,0.07495
855,0.07406
860,0.07315
865,0.0723
870,0.0714
875,0.07015
880,0.06908
885,0.06799
890,0.06691
895,0.06578
900,0.06485
905,0.06377
910,0.06284
915,0.06203
920,0.06108
925,0.06023
930,0.05968
935,0.05912
940,0.05855
945,0.058
950,0.05755
955,0.05709
960,0.05666
965,0.05624
970,0.05589
975,0.05554
980,0.0552
985,0.05488
990,0.05461
995,0.05434
1000,0.05405
1005,0.0538
1010,0.0536
1015,0.05346
1020,0.05331
1025,0.05322
1030,0.05324
1035,0.05325
1040,0.05332
1045,0.0535
1050,0.05375
1055,0.05399
1060,0.0543
1065,0.05466
1070,0.05502
1075,0.05549
1080,0.05606
1085,0.05661
1090,0.05721
1095,0.05788
1100,0.05846
1105,0.05904
1110,0.05974
1115,0.06043
1120,0.06109
1125,0.06174
1130,0.06239
1135,0.06297
1140,0.06349
1145,0.06409
1150,0.06464
1155,0.06522
1160,0.06576
1165,0.06623
1170,0.06667
1175,0.067
1180,0.06736
1185,0.06778
1190,0.06814
1195,0.0685
1200,0.06879
1205,0.06903
1210,0.06931
1215,0.06956
1220,0.0698
1225,0.06999
1230,0.07028
1235,0.07054
1240,0.07063
1245,0.07086
1250,0.07108
1255,0.07126
1260,0.07148
1265,0.07165
1270,0.07181
1275,0.07196
1280,0.07221
1285,0.0725
1290,0.07274
1295,0.07308
1300,0.07331
1300.5,0.07327
1300.8,0.07344
1301.2,0.07352
1301.5,0.07339
1301.8,0.07334
1302.1,0.07351
1302.5,0.07354
1302.8,0.07345
1303.1,0.07345
1303.4,0.07354
1303.8,0.07365
1304.1,0.07377
1304.4,0.07363
1304.8,0.07334
1305.1,0.07333
1305.4,0.07349
1305.8,0.07357
1306.1,0.07371
1306.4,0.07387
1306.7,0.07378
1307.1,0.07367
1307.4,0.07372
1307.7,0.07369
1308.1,0.07361
1308.4,0.07362
1308.7,0.07352
1309.1,0.0736
1309.4,0.07376
1309.7,0.07383
1310,0.07388
1310.4,0.07391
1310.7,0.07377
1311,0.07367
1311.4,0.07378
1311.7,0.07379
1312,0.07387
1312.4,0.07395
1312.7,0.0739
1313,0.07386
1313.4,0.07391
1313.7,0.07385
1314,0.07378
1314.4,0.07378
1314.7,0.07382
1315,0.07396
1315.4,0.07405
1315.7,0.07401
1316,0.07407
1316.4,0.07416
1316.7,0.07409
1317,0.07399
1317.4,0.07396
1317.7,0.0741
1318,0.07419
1318.4,0.07403
1318.7,0.07387
1319,0.07394
1319.4,0.07415
1319.7,0.07421
1320.1,0.07423
1320.4,0.07418
1320.7,0.07424
1321.1,0.07417
1321.4,0.0741
1321.7,0.07435
1322.1,0.07446
1322.4,0.07432
1322.7,0.07431
1323.1,0.07431
1323.4,0.07414
1323.8,0.07418
1324.1,0.07436
1324.4,0.0744
1324.8,0.07431
1325.1,0.0743
1325.4,0.07436
1325.8,0.07446
1326.1,0.07451
1326.5,0.07457
1326.8,0.07455
1327.1,0.07436
1327.5,0.07429
1327.8,0.07439
1328.2,0.07446
1328.5,0.07444
1328.8,0.07452
1329.2,0.07457
1329.5,0.07447
1329.9,0.07441
1330.2,0.07436
1330.6,0.0745
1330.9,0.07483
1331.2,0.07478
1331.6,0.07459
1331.9,0.07463
1332.3,0.07463
1332.6,0.07462
1332.9,0.07455
1333.3,0.07439
1333.6,0.07458
1334,0.07476
1334.3,0.07473
1334.7,0.07468
1335,0.07479
1335.3,0.07489
1335.7,0.07491
1336,0.07487
1336.4,0.07493
1336.7,0.07498
1337.1,0.07491
1337.4,0.07489
1337.8,0.07491
1338.1,0.07492
1338.4,0.0749
1338.8,0.07486
1339.1,0.07496
1339.5,0.07505
1339.8,0.07511
1340.2,0.07506
1340.5,0.07494
1340.9,0.07491
1341.2,0.07501
1341.6,0.07513
1341.9,0.07511
1342.3,0.07503
1342.6,0.07507
1342.9,0.07508
1343.3,0.07511
1343.7,0.0752
1344,0.07517
1344.3,0.07511
1344.7,0.07522
1345,0.0753
1345.4,0.07518
1345.7,0.0753
1346.1,0.07537
1346.4,0.07533
1346.8,0.07544
1347.1,0.07539
1347.5,0.0754
1347.8,0.07533
1348.2,0.07531
1348.5,0.07535
1348.9,0.07539
1349.3,0.07548
1349.6,0.0755
1349.9,0.07557
1350.3,0.07563
1350.7,0.07561
1351,0.07557
1351.3,0.07565
1351.7,0.07563
1352.1,0.07562
1352.4,0.07561
1352.8,0.07561
1353.1,0.0756
1353.5,0.07555
1353.8,0.07558
1354.2,0.07567
1354.5,0.07587
1354.9,0.07584
1355.2,0.07566
1355.6,0.07557
1355.9,0.0756
1356.3,0.07575
1356.7,0.07566
1357,0.07568
1357.4,0.07569
1357.7,0.07561
1358.1,0.07573
1358.4,0.07593
1358.8,0.07589
1359.2,0.07558
1359.5,0.07559
1359.9,0.07574
1360.2,0.07587
1360.6,0.07589
1360.9,0.07597
1361.3,0.07615
1361.7,0.07605
1362,0.07599
1362.4,0.07596
1362.7,0.07593
1363.1,0.07592
1363.4,0.07605
1363.8,0.07614
1364.2,0.07608
1364.5,0.07597
1364.9,0.07595
1365.2,0.07596
1365.6,0.07611
1365.9,0.0762
1366.3,0.07626
1366.7,0.07635
1367,0.07626
1367.4,0.07616
1367.8,0.07619
1368.1,0.07612
1368.5,0.07614
1368.8,0.07625
1369.2,0.07605
1369.6,0.07613
1369.9,0.07633
1370.3,0.07619
1370.7,0.07617
1371,0.0764
1371.4,0.07643
1371.7,0.0764
1372.1,0.07643
1372.5,0.07644
1372.8,0.07635
1373.2,0.07629
1373.6,0.0763
1373.9,0.07629
1374.3,0.07634
1374.6,0.0765
1375,0.07667
1375.4,0.07664
1375.7,0.07659
1376.1,0.07646
1376.5,0.07644
1376.8,0.07656
1377.2,0.07653
1377.6,0.0767
1377.9,0.0769
1378.3,0.07696
1378.7,0.07683
1379,0.0767
1379.4,0.07672
1379.8,0.07662
1380.1,0.07657
1380.5,0.07674
1380.9,0.07684
1381.2,0.07679
1381.6,0.07685
1382,0.07686
1382.3,0.07693
1382.7,0.07691
1383.1,0.07687
1383.4,0.07689
1383.8,0.07695
1384.2,0.07694
1384.6,0.07689
1384.9,0.07694
1385.3,0.07704
1385.7,0.07706
1386,0.07705
1386.4,0.077
1386.8,0.07701
1387.2,0.07704
1387.5,0.07701
1387.9,0.07716
1388.3,0.07721
1388.6,0.07713
1389,0.07709
1389.4,0.07703
1389.8,0.077
1390.1,0.07709
1390.5,0.07722
1390.9,0.07721
1391.2,0.07718
1391.6,0.07706
1392,0.0771
1392.4,0.07724
1392.7,0.07732
1393.1,0.07722
1393.5,0.07712
1393.9,0.07719
1394.2,0.07731
1394.6,0.07732
1395,0.07731
1395.4,0.07727
1395.7,0.07732
1396.1,0.07735
1396.5,0.07719
1396.9,0.07722
1397.2,0.07724
1397.6,0.07719
1398,0.07728
1398.4,0.07724
1398.8,0.07729
1399.1,0.07735
1399.5,0.07729
1399.9,0.07734
1400.3,0.07749
1400.6,0.07754
1401,0.07736
1401.4,0.07728
1401.8,0.07738
1402.2,0.07734
1402.5,0.07727
1402.9,0.07726
1403.3,0.07726
1403.7,0.07733
1404.1,0.07751
1404.4,0.07769
1404.8,0.07763
1405.2,0.07752
1405.6,0.07759
1406,0.07772
1406.3,0.07771
1406.7,0.07766
1407.1,0.07776
1407.5,0.07771
1407.9,0.0776
1408.3,0.07765
1408.6,0.07772
1409,0.07766
1409.4,0.07769
1409.8,0.07767
1410.2,0.07774
1410.6,0.07792
1410.9,0.07795
1411.3,0.07783
1411.7,0.07777
1412.1,0.07768
1412.5,0.07766
1412.8,0.07771
1413.2,0.07784
1413.6,0.07786
1414,0.07782
1414.4,0.07801
1414.8,0.07814
1415.2,0.07806
1415.6,0.07799
1415.9,0.07808
1416.3,0.07811
1416.7,0.07807
1417.1,0.07804
1417.5,0.07802
1417.9,0.07819
1418.3,0.07826
1418.7,0.0782
1419,0.07824
1419.4,0.07823
1419.8,0.0782
1420.2,0.07836
1420.6,0.07848
1421,0.07846
1421.4,0.07849
1421.8,0.07856
1422.2,0.07852
1422.5,0.07853
1422.9,0.07849
1423.3,0.07835
1423.7,0.07836
1424.1,0.07853
1424.5,0.07855
1424.9,0.07857
1425.3,0.07857
1425.7,0.07865
1426.1,0.07869
1426.5,0.07877
1426.8,0.07887
1427.2,0.07875
1427.6,0.07864
1428,0.07875
1428.4,0.07879
1428.8,0.07875
1429.2,0.07881
1429.6,0.07884
1430,0.07878
1430.4,0.07889
1430.8,0.07893
1431.2,0.07888
1431.6,0.07883
1432,0.07899
1432.4,0.07917
1432.8,0.07924
1433.2,0.0792
1433.6,0.07914
1433.9,0.07913
1434.3,0.07902
1434.8,0.07895
1435.1,0.07911
1435.5,0.07923
1435.9,0.07926
1436.3,0.07926
1436.7,0.07925
1437.1,0.07931
1437.5,0.07926
1437.9,0.07925
1438.3,0.07928
1438.7,0.0794
1439.1,0.07941
1439.5,0.07931
1439.9,0.07938
1440.3,0.0795
1440.7,0.07942
1441.1,0.07946
1441.5,0.07951
1441.9,0.07939
1442.3,0.0794
1442.7,0.07957
1443.1,0.07953
1443.5,0.07951
1443.9,0.07962
1444.3,0.07966
1444.7,0.07957
1445.1,0.0796
1445.6,0.07958
1445.9,0.07953
1446.3,0.07966
1446.8,0.07973
1447.2,0.07957
1447.6,0.07951
1448,0.07967
1448.4,0.07973
1448.8,0.07981
1449.2,0.07991
1449.6,0.08006
1450,0.08016
1450.4,0.08001
1450.8,0.07988
1451.2,0.07989
1451.6,0.07999
1452,0.07993
1452.4,0.08
1452.8,0.08002
1453.2,0.08001
1453.7,0.08012
1454.1,0.08015
1454.5,0.08001
1454.9,0.07986
1455.3,0.07995
1455.7,0.08012
1456.1,0.08008
1456.5,0.08018
1456.9,0.08023
1457.3,0.08028
1457.7,0.08028
1458.2,0.0801
1458.6,0.08013
1459,0.08038
1459.4,0.08039
1459.8,0.08029
1460.2,0.08025
1460.6,0.08016
1461,0.08018
1461.4,0.08035
1461.8,0.08044
1462.3,0.08034
1462.7,0.08042
1463.1,0.08056
1463.5,0.08047
1463.9,0.08043
1464.3,0.08055
1464.7,0.08055
1465.2,0.08052
1465.6,0.08053
1466,0.08059
1466.4,0.08075
1466.8,0.08079
1467.2,0.08069
1467.6,0.08056
1468.1,0.08057
1468.5,0.0807
1468.9,0.08074
1469.3,0.08074
1469.7,0.08072
1470.1,0.08072
1470.6,0.08076
1471,0.08078
1471.4,0.08086
1471.8,0.08088
1472.2,0.08087
1472.6,0.0811
1473.1,0.08124
1473.5,0.08113
1473.9,0.081
1474.3,0.081
1474.7,0.08093
1475.2,0.08095
1475.6,0.08093
1476,0.08106
1476.4,0.08115
1476.8,0.08106
1477.3,0.0811
1477.7,0.08116
1478.1,0.08121
1478.5,0.08126
1478.9,0.08123
1479.4,0.08128
1479.8,0.08135
1480.2,0.08142
1480.6,0.0814
1481.1,0.08129
1481.5,0.08126
1481.9,0.08135
1482.3,0.0814
1482.8,0.08139
1483.2,0.08144
1483.6,0.08147
1484,0.08147
1484.4,0.08145
1484.9,0.08151
1485.3,0.08158
1485.7,0.08165
1486.2,0.08173
1486.6,0.08174
1487,0.08165
1487.4,0.08149
1487.9,0.08162
1488.3,0.08186
1488.7,0.08187
1489.1,0.08176
1489.6,0.08169
1490,0.08172
1490.4,0.08183
1490.8,0.08178
1491.3,0.08174
