Wavelength (nm),SynOl_Fo70
300.0,0.09056
305.0,0.09431
310.0,0.09788
315.0,0.10479
320.0,0.11528
325.0,0.12706
330.0,0.14385
335.0,0.1636
340.0,0.19019
345.0,0.22099
350.0,0.25524
355.0,0.29304
360.0,0.33287
365.0,0.37208
370.0,0.40805
375.0,0.44046
380.0,0.46666
385.0,0.48854
390.0,0.50851
395.0,0.52109
400.0,0.5163
405.0,0.53883
410.0,0.56063
415.0,0.56984
420.0,0.57357
425.0,0.57533
430.0,0.5765
435.0,0.57945
440.0,0.58153
445.0,0.57584
450.0,0.56642
455.0,0.56637
460.0,0.57592
465.0,0.58476
470.0,0.58914
475.0,0.60407
480.0,0.61609
485.0,0.61696
490.0,0.6173
495.0,0.61578
500.0,0.63022
505.0,0.64473
510.0,0.65494
515.0,0.66091
520.0,0.66524
525.0,0.66843
530.0,0.67469
535.0,0.6805
540.0,0.68985
545.0,0.69762
550.0,0.70279
555.0,0.70512
560.0,0.70852
565.0,0.71096
570.0,0.71073
575.0,0.71098
580.0,0.71062
585.0,0.71083
590.0,0.71042
595.0,0.70932
600.0,0.70908
605.0,0.70744
610.0,0.70722
615.0,0.70642
620.0,0.70537
625.0,0.70478
630.0,0.70566
635.0,0.70778
640.0,0.71158
645.0,0.71483
650.0,0.71841
655.0,0.721
660.0,0.72332
665.0,0.72286
670.0,0.72316
675.0,0.72289
680.0,0.72068
685.0,0.71808
690.0,0.7154
695.0,0.71029
700.0,0.70623
705.0,0.69997
710.0,0.69447
715.0,0.68811
720.0,0.68146
725.0,0.67988
730.0,0.67202
735.0,0.66339
740.0,0.65621
745.0,0.6484
750.0,0.63795
755.0,0.63101
760.0,0.62354
765.0,0.61433
770.0,0.60632
775.0,0.59713
780.0,0.5882
785.0,0.57913
790.0,0.57076
795.0,0.56224
800.0,0.55376
805.0,0.54522
810.0,0.53753
815.0,0.53038
820.0,0.52344
825.0,0.51604
830.0,0.50963
835.0,0.50429
840.0,0.49855
845.0,0.49328
850.0,0.48823
855.0,0.48447
860.0,0.48074
865.0,0.47807
870.0,0.47325
875.0,0.47006
880.0,0.46694
885.0,0.46364
890.0,0.46081
895.0,0.45759
900.0,0.45391
905.0,0.45146
910.0,0.44806
915.0,0.44415
920.0,0.44086
925.0,0.43705
930.0,0.43224
935.0,0.42769
940.0,0.42358
945.0,0.41868
950.0,0.41422
955.0,0.40898
960.0,0.40413
965.0,0.39866
970.0,0.39362
975.0,0.38801
980.0,0.38252
985.0,0.37826
990.0,0.37208
995.0,0.36751
1000.0,0.36288
1005.0,0.35798
1010.0,0.35411
1015.0,0.35
1020.0,0.34662
1025.0,0.34364
1030.0,0.34017
1035.0,0.33843
1040.0,0.33647
1045.0,0.33544
1050.0,0.33359
1055.0,0.33325
1060.0,0.33322
1065.0,0.33328
1070.0,0.33397
1075.0,0.33526
1080.0,0.33647
1085.0,0.33825
1090.0,0.34079
1095.0,0.34377
1100.0,0.34644
1105.0,0.3497
1110.0,0.3533
1115.0,0.35689
1120.0,0.36122
1125.0,0.36433
1130.0,0.36754
1135.0,0.37171
1140.0,0.37529
1145.0,0.37825
1150.0,0.38126
1155.0,0.3844
1160.0,0.38781
1165.0,0.39059
1170.0,0.39272
1175.0,0.39475
1180.0,0.39697
