Wavenumber (cm-1)	Wavelength (µm)	Wavelength (nm)	SynOl_Fo90
33333	0.30000	300.00	0.23606
32787	0.30500	305.00	0.24717
32258	0.31000	310.00	0.25633
31746	0.31500	315.00	0.26810
31250	0.32000	320.00	0.27910
30769	0.32500	325.00	0.29213
30303	0.33000	330.00	0.30760
29851	0.33500	335.00	0.32251
29412	0.34000	340.00	0.33505
28986	0.34500	345.00	0.34852
28571	0.35000	350.00	0.36009
28169	0.35500	355.00	0.37242
27778	0.36000	360.00	0.38255
27397	0.36500	365.00	0.39292
27027	0.37000	370.00	0.40186
26667	0.37500	375.00	0.40975
26316	0.38000	380.00	0.41685
25974	0.38500	385.00	0.42438
25641	0.39000	390.00	0.43144
25316	0.39500	395.00	0.43822
25000	0.40000	400.00	0.44414
24691	0.40500	405.00	0.45007
24390	0.41000	410.00	0.45435
24096	0.41500	415.00	0.45914
23810	0.42000	420.00	0.46532
23529	0.42500	425.00	0.47118
23256	0.43000	430.00	0.47584
22989	0.43500	435.00	0.48074
22727	0.44000	440.00	0.48557
22472	0.44500	445.00	0.48899
22222	0.45000	450.00	0.49150
21978	0.45500	455.00	0.49477
21739	0.46000	460.00	0.49885
21505	0.46500	465.00	0.50261
21277	0.47000	470.00	0.50594
21053	0.47500	475.00	0.51070
20833	0.48000	480.00	0.51514
20619	0.48500	485.00	0.52030
20408	0.49000	490.00	0.52473
20202	0.49500	495.00	0.52836
20000	0.50000	500.00	0.53357
19802	0.50500	505.00	0.53354
19608	0.51000	510.00	0.53646
19417	0.51500	515.00	0.54138
19231	0.52000	520.00	0.54621
19048	0.52500	525.00	0.54989
18868	0.53000	530.00	0.55429
18692	0.53500	535.00	0.55855
18519	0.54000	540.00	0.56361
18349	0.54500	545.00	0.56945
18182	0.55000	550.00	0.57519
18018	0.55500	555.00	0.57902
17857	0.56000	560.00	0.58373
17699	0.56500	565.00	0.58774
17544	0.57000	570.00	0.59186
17391	0.57500	575.00	0.59327
17241	0.58000	580.00	0.59454
17094	0.58500	585.00	0.59573
16949	0.59000	590.00	0.59549
16807	0.59500	595.00	0.59518
16667	0.60000	600.00	0.59542
16529	0.60500	605.00	0.59279
16393	0.61000	610.00	0.59344
16260	0.61500	615.00	0.59269
16129	0.62000	620.00	0.59275
16000	0.62500	625.00	0.59206
15873	0.63000	630.00	0.59128
15748	0.63500	635.00	0.58997
15625	0.64000	640.00	0.58950
15504	0.64500	645.00	0.58904
15385	0.65000	650.00	0.58711
15267	0.65500	655.00	0.58517
15152	0.66000	660.00	0.58366
15038	0.66500	665.00	0.58117
14925	0.67000	670.00	0.57947
14815	0.67500	675.00	0.57738
14706	0.68000	680.00	0.57468
14599	0.68500	685.00	0.57221
14493	0.69000	690.00	0.56969
14388	0.69500	695.00	0.56716
14286	0.70000	700.00	0.56435
14184	0.70500	705.00	0.56188
14085	0.71000	710.00	0.55932
13986	0.71500	715.00	0.55650
13889	0.72000	720.00	0.55387
13793	0.72500	725.00	0.55125
13699	0.73000	730.00	0.54836
13605	0.73500	735.00	0.54574
13514	0.74000	740.00	0.54294
13423	0.74500	745.00	0.54034
13333	0.75000	750.00	0.53708
13245	0.75500	755.00	0.53429
13158	0.76000	760.00	0.53248
13072	0.76500	765.00	0.52865
12987	0.77000	770.00	0.52591
12903	0.77500	775.00	0.52275
12821	0.78000	780.00	0.51999
12739	0.78500	785.00	0.51682
12658	0.79000	790.00	0.51395
12579	0.79500	795.00	0.51067
12500	0.80000	800.00	0.50847
12422	0.80500	805.00	0.50495
12346	0.81000	810.00	0.50233
12270	0.81500	815.00	0.49928
12195	0.82000	820.00	0.49718
12121	0.82500	825.00	0.49306
12048	0.83000	830.00	0.49067
11976	0.83500	835.00	0.48816
11905	0.84000	840.00	0.48543
11834	0.84500	845.00	0.48381
11765	0.85000	850.00	0.48136
11696	0.85500	855.00	0.47867
11628	0.86000	860.00	0.47724
11561	0.86500	865.00	0.47611
11494	0.87000	870.00	0.47320
11429	0.87500	875.00	0.47160
11364	0.88000	880.00	0.46996
11299	0.88500	885.00	0.46882
11236	0.89000	890.00	0.46741
11173	0.89500	895.00	0.46662
11111	0.90000	900.00	0.46494
11050	0.90500	905.00	0.46327
10989	0.91000	910.00	0.46267
10929	0.91500	915.00	0.46159
10870	0.92000	920.00	0.46064
10811	0.92500	925.00	0.45972
10753	0.93000	930.00	0.45898
10695	0.93500	935.00	0.45768
10638	0.94000	940.00	0.45685
10582	0.94500	945.00	0.45571
10526	0.95000	950.00	0.45479
10471	0.95500	955.00	0.45160
10417	0.96000	960.00	0.45064
10363	0.96500	965.00	0.45011
10309	0.97000	970.00	0.44846
10256	0.97500	975.00	0.44784
10204	0.98000	980.00	0.44614
10152	0.98500	985.00	0.44511
10101	0.99000	990.00	0.44373
10050	0.99500	995.00	0.44240
10000	1.0000	1000.0	0.44126
9950.2	1.0050	1005.0	0.44013
9901.0	1.0100	1010.0	0.43923
9852.2	1.0150	1015.0	0.43728
9803.9	1.0200	1020.0	0.43773
