Wavelength (µm)	<125 µm (357)
0.30000	0.096061
0.30500	0.10021
0.31000	0.10565
0.31500	0.11025
0.32000	0.11800
0.32500	0.12774
0.33000	0.13884
0.33500	0.14971
0.34000	0.16258
0.34500	0.17701
0.35000	0.19203
0.35500	0.20538
0.36000	0.21823
0.36500	0.22941
0.37000	0.23967
0.37500	0.24929
0.38000	0.25846
0.38500	0.26680
0.39000	0.27746
0.39500	0.28638
0.40000	0.29530
0.40500	0.30476
0.41000	0.31490
0.41500	0.32352
0.42000	0.32868
0.42500	0.33588
0.43000	0.34106
0.43500	0.34939
0.44000	0.35592
0.44500	0.36240
0.45000	0.36488
0.45500	0.37019
0.46000	0.37557
0.46500	0.38140
0.47000	0.38425
0.47500	0.39066
0.48000	0.39691
0.48500	0.40184
0.49000	0.40730
0.49500	0.41394
0.50000	0.42328
0.50500	0.43292
0.51000	0.44182
0.51500	0.45024
0.52000	0.45714
0.52500	0.46441
0.53000	0.47193
0.53500	0.47908
0.54000	0.48427
0.54500	0.48999
0.55000	0.49476
0.55500	0.49923
0.56000	0.50235
0.56500	0.50574
0.57000	0.50654
0.57500	0.50842
0.58000	0.50929
0.58500	0.50865
0.59000	0.50843
0.59500	0.50798
0.60000	0.50699
0.60500	0.50591
0.61000	0.50444
0.61500	0.50325
0.62000	0.50145
0.62500	0.49963
0.63000	0.49852
0.63500	0.49735
0.64000	0.49812
0.64500	0.49880
0.65000	0.50024
0.65500	0.50099
0.66000	0.50240
0.66500	0.50348
0.67000	0.50529
0.67500	0.50687
0.68000	0.50874
0.68500	0.50785
0.69000	0.50638
0.69500	0.50603
0.70000	0.50586
0.70500	0.50585
0.71000	0.50554
0.71500	0.50554
0.72000	0.50398
0.72500	0.50235
0.73000	0.50010
0.73500	0.49793
0.74000	0.49370
0.74500	0.49067
0.75000	0.48622
0.75500	0.48134
0.76000	0.47716
0.76500	0.47159
0.77000	0.46674
0.77500	0.46082
0.78000	0.45564
0.78500	0.44975
0.79000	0.44492
0.79500	0.43903
0.80000	0.43502
0.80500	0.42941
0.81000	0.42381
0.81500	0.41964
0.82000	0.41414
0.82500	0.41085
0.83000	0.40619
0.83500	0.40343
0.84000	0.39852
0.84500	0.39526
0.85000	0.39150
0.85500	0.38774
0.86000	0.38442
0.86500	0.38118
0.87000	0.37907
0.87500	0.37622
0.88000	0.37373
0.88500	0.37013
0.89000	0.36717
0.89500	0.36458
0.90000	0.36264
0.90500	0.35855
0.91000	0.35585
0.91500	0.35188
0.92000	0.34813
0.92500	0.34464
0.93000	0.34075
0.93500	0.33649
0.94000	0.33224
0.94500	0.32796
0.95000	0.32377
0.95500	0.31872
0.96000	0.31462
0.96500	0.31056
0.97000	0.30624
0.97500	0.30192
0.98000	0.29765
0.98500	0.29398
0.99000	0.29009
0.99500	0.28594
1.0000	0.28237
1.0050	0.27930
1.0100	0.27635
1.0150	0.27412
1.0200	0.27247
1.0250	0.27010
1.0300	0.26903
1.0350	0.26812
1.0400	0.26698
1.0450	0.26680
1.0500	0.26783
1.0550	0.26773
1.0600	0.26862
1.0650	0.26980
1.0700	0.27107
1.0750	0.27317
1.0800	0.27538
1.0850	0.27812
1.0900	0.28177
1.0950	0.28546
1.1000	0.28837
1.1050	0.29253
1.1100	0.29691
1.1150	0.30065
1.1200	0.30370
1.1250	0.30781
1.1300	0.31188
1.1350	0.31516
1.1400	0.31863
1.1450	0.32175
1.1500	0.32532
1.1550	0.32837
1.1600	0.33067
1.1650	0.33325
1.1700	0.33650
1.1750	0.33905
1.1800	0.34172
1.1850	0.34376
1.1900	0.34556
1.1950	0.34809
1.2000	0.35049
1.2050	0.35277
1.2100	0.35519
1.2150	0.35712
1.2200	0.35929
1.2250	0.36150
1.2300	0.36310
1.2350	0.36544
1.2400	0.36790
1.2450	0.37014
1.2500	0.37302
1.2550	0.37537
1.2600	0.37738
1.2650	0.38034
1.2700	0.38256
1.2750	0.38538
1.2800	0.38815
1.2850	0.39050
1.2900	0.39369
1.2950	0.39709
1.3000	0.40055
1.3050	0.40301
1.3100	0.40715
1.3150	0.41068
1.3200	0.41466
1.3250	0.41782
1.3300	0.42263
1.3350	0.42545
1.3400	0.42931
1.3450	0.43292
1.3500	0.43698
1.3550	0.44081
1.3600	0.44544
1.3650	0.44906
1.3700	0.45349
1.3750	0.45789
1.3800	0.46235
1.3850	0.46571
1.3900	0.47067
1.3950	0.47551
1.4000	0.47950
1.4050	0.48402
1.4100	0.48795
1.4150	0.49332
1.4200	0.49652
1.4250	0.50060
1.4300	0.50480
1.4350	0.50897
1.4400	0.51218
1.4450	0.51645
1.4500	0.52021
1.4550	0.52308
1.4600	0.52697
1.4650	0.53054
1.4700	0.53346
1.4750	0.53694
1.4800	0.53992
1.4850	0.54304
1.4900	0.54506
1.4950	0.54759
1.5000	0.55054
1.5050	0.55299
1.5100	0.55531
1.5150	0.55751
1.5200	0.55976
1.5250	0.56141
1.5300	0.56314
1.5350	0.56548
1.5400	0.56620
1.5450	0.56846
1.5500	0.56925
1.5550	0.57012
1.5600	0.57110
1.5650	0.57237
1.5700	0.57358
1.5750	0.57455
1.5800	0.57476
1.5850	0.57444
1.5900	0.57506
1.5950	0.57538
1.6000	0.57637
1.6050	0.57608
1.6100	0.57638
1.6150	0.57651
1.6200	0.57741
1.6250	0.57629
1.6300	0.57597
1.6350	0.57590
1.6400	0.57623
1.6450	0.57543
1.6500	0.57560
1.6550	0.57482
1.6600	0.57535
1.6650	0.57485
1.6700	0.57474
1.6750	0.57456
1.6800	0.57392
1.6850	0.57328
1.6900	0.57292
1.6950	0.57319
1.7000	0.57193
1.7050	0.57159
1.7100	0.57196
1.7150	0.57121
1.7200	0.57072
1.7250	0.57089
1.7300	0.56969
1.7350	0.56973
1.7400	0.56912
1.7450	0.56835
1.7500	0.56843
1.7550	0.56781
1.7533	0.56767
1.7557	0.56740
1.7581	0.56740
1.7605	0.56737
1.7629	0.56728
1.7653	0.56718
1.7677	0.56698
1.7701	0.56686
1.7725	0.56682
1.7750	0.56672
1.7774	0.56676
1.7798	0.56681
1.7823	0.56671
1.7847	0.56683
