Wavelength (µm),Augite ws592 spliced
0.3011,0.045344
0.3051,0.047974
0.3091,0.049266
0.3131,0.054325
0.3171,0.058099
0.3211,0.062474
0.3251,0.068898
0.3291,0.072329
0.3331,0.076753
0.3371,0.081827
0.3411,0.085483
0.3451,0.090081
0.3491,0.095055
0.3531,0.100909
0.3571,0.106824
0.3606,0.110864
0.3636,0.117003
0.3666,0.121547
0.3696,0.124597
0.3726,0.129644
0.3756,0.132322
0.3786,0.138221
0.3811,0.140512
0.3831,0.143531
0.3851,0.145015
0.3871,0.149176
0.3891,0.151659
0.3911,0.153158
0.3931,0.157966
0.3951,0.159176
0.3971,0.162667
0.3991,0.163785
0.4011,0.166948
0.4031,0.168349
0.4051,0.168709
0.4071,0.17254
0.4091,0.173716
0.4111,0.176884
0.4128,0.177089
0.4158,0.180226
0.4188,0.184615
0.4218,0.183561
0.4248,0.190318
0.4278,0.191427
0.4308,0.193831
0.4338,0.197276
0.4368,0.200065
0.4398,0.202034
0.4428,0.202825
0.4458,0.20891
0.4488,0.209787
0.4513,0.21196
0.4533,0.211872
0.4553,0.214427
0.4573,0.216344
0.4593,0.216792
0.4613,0.21506
0.4633,0.220289
0.4653,0.222859
0.4673,0.223882
0.4693,0.222772
0.4713,0.227273
0.4733,0.228328
0.4753,0.231038
0.4773,0.22972
0.4793,0.23247
0.4813,0.235417
0.4833,0.239724
0.4853,0.240843
0.4873,0.24178
0.4893,0.241819
0.4913,0.247792
0.4933,0.249115
0.4953,0.252438
0.4973,0.25581
0.4993,0.256839
0.5013,0.25705
0.5033,0.261311
0.5053,0.26444
0.5073,0.267013
0.5093,0.269426
0.5113,0.27114
0.5133,0.276358
0.5153,0.278234
0.5173,0.284011
0.5193,0.282745
0.5213,0.287643
0.5233,0.289506
0.5253,0.293541
0.5273,0.293731
0.5293,0.298782
0.5313,0.298164
0.5333,0.300794
0.5353,0.301979
0.5373,0.301786
0.5393,0.306166
0.5413,0.306226
0.5433,0.308834
0.5453,0.308181
0.5473,0.311339
0.5493,0.312398
0.5513,0.312344
0.5533,0.314145
0.5553,0.315838
0.5573,0.316209
0.5593,0.317829
0.5613,0.316716
0.5633,0.319832
0.5653,0.319435
0.5673,0.319705
0.5693,0.316734
0.5713,0.317828
0.5733,0.318697
0.5753,0.318088
0.5773,0.317891
0.5793,0.319108
0.5813,0.318378
0.5833,0.318094
0.5853,0.317291
0.5873,0.31721
0.5893,0.314933
0.5913,0.318045
0.5933,0.312463
0.5953,0.315078
0.5973,0.314272
0.5993,0.313964
0.6011,0.311026
0.6027,0.312741
0.6043,0.311936
0.6059,0.311901
0.6075,0.310492
0.6091,0.310882
0.6107,0.311576
0.6123,0.309167
0.6139,0.310254
0.6155,0.309231
0.6171,0.307541
0.6187,0.305963
0.6203,0.305478
0.6219,0.30523
0.6235,0.306216
0.6251,0.305162
0.6267,0.304835
0.6283,0.30696
0.6299,0.30557
0.6317,0.304047
0.6337,0.304422
0.6357,0.304298
0.6377,0.304267
0.6397,0.303402
0.6417,0.305965
0.6437,0.307613
0.6457,0.306535
0.6477,0.304953
0.6497,0.304906
0.6517,0.305381
0.6537,0.305566
0.6557,0.305122
0.6577,0.305534
0.6597,0.306764
0.6617,0.30918
0.6637,0.308118
0.6657,0.307099
0.6677,0.309878
0.6702,0.309807
0.6732,0.313442
0.6762,0.312065
0.6792,0.313727
0.6822,0.318601
0.6852,0.316935
0.6882,0.316817
0.6912,0.317473
0.6942,0.31943
0.6972,0.320477
0.7002,0.323166
0.702,0.322715
0.704,0.324259
0.706,0.325823
0.708,0.327294
0.71,0.328334
0.712,0.330864
0.714,0.330654
0.716,0.331674
0.718,0.334067
0.72,0.334933
0.722,0.335565
0.724,0.337134
0.726,0.339006
0.728,0.340686
0.73,0.339565
0.732,0.342911
0.734,0.343455
0.736,0.343783
0.738,0.345292
0.74,0.34435
0.742,0.349551
0.744,0.348105
0.746,0.349685
0.748,0.350797
0.7505,0.351392
0.7535,0.353369
