Wavelength (µm)	Augite ws592 spliced
0.301100	0.045344
0.305100	0.047974
0.309100	0.049266
0.313100	0.054325
0.317100	0.058099
0.321100	0.062474
0.325100	0.068898
0.329100	0.072329
0.333100	0.076753
0.337100	0.081827
0.341100	0.085483
0.345100	0.090081
0.349100	0.095055
0.353100	0.100909
0.357100	0.106824
0.360600	0.110864
0.363600	0.117003
0.366600	0.121547
0.369600	0.124597
0.372600	0.129644
0.375600	0.132322
0.378600	0.138221
0.381100	0.140512
0.383100	0.143531
0.385100	0.145015
0.387100	0.149176
0.389100	0.151659
0.391100	0.153158
0.393100	0.157966
0.395100	0.159176
0.397100	0.162667
0.399100	0.163785
0.401100	0.166948
0.403100	0.168349
0.405100	0.168709
0.407100	0.172540
0.409100	0.173716
0.411100	0.176884
0.412800	0.177089
0.415800	0.180226
0.418800	0.184615
0.421800	0.183561
0.424800	0.190318
0.427800	0.191427
0.430800	0.193831
0.433800	0.197276
0.436800	0.200065
0.439800	0.202034
0.442800	0.202825
0.445800	0.208910
0.448800	0.209787
0.451300	0.211960
0.453300	0.211872
0.455300	0.214427
0.457300	0.216344
0.459300	0.216792
0.461300	0.215060
0.463300	0.220289
0.465300	0.222859
0.467300	0.223882
0.469300	0.222772
0.471300	0.227273
0.473300	0.228328
0.475300	0.231038
0.477300	0.229720
0.479300	0.232470
0.481300	0.235417
0.483300	0.239724
0.485300	0.240843
0.487300	0.241780
0.489300	0.241819
0.491300	0.247792
0.493300	0.249115
0.495300	0.252438
0.497300	0.255810
0.499300	0.256839
0.501300	0.257050
0.503300	0.261311
0.505300	0.264440
0.507300	0.267013
0.509300	0.269426
0.511300	0.271140
0.513300	0.276358
0.515300	0.278234
0.517300	0.284011
0.519300	0.282745
0.521300	0.287643
0.523300	0.289506
0.525300	0.293541
0.527300	0.293731
0.529300	0.298782
0.531300	0.298164
0.533300	0.300794
0.535300	0.301979
0.537300	0.301786
0.539300	0.306166
0.541300	0.306226
0.543300	0.308834
0.545300	0.308181
0.547300	0.311339
0.549300	0.312398
0.551300	0.312344
0.553300	0.314145
0.555300	0.315838
0.557300	0.316209
0.559300	0.317829
0.561300	0.316716
0.563300	0.319832
0.565300	0.319435
0.567300	0.319705
0.569300	0.316734
0.571300	0.317828
0.573300	0.318697
0.575300	0.318088
0.577300	0.317891
0.579300	0.319108
0.581300	0.318378
0.583300	0.318094
0.585300	0.317291
0.587300	0.317210
0.589300	0.314933
0.591300	0.318045
0.593300	0.312463
0.595300	0.315078
0.597300	0.314272
0.599300	0.313964
0.601100	0.311026
0.602700	0.312741
0.604300	0.311936
0.605900	0.311901
0.607500	0.310492
0.609100	0.310882
0.610700	0.311576
0.612300	0.309167
0.613900	0.310254
0.615500	0.309231
0.617100	0.307541
0.618700	0.305963
0.620300	0.305478
0.621900	0.305230
0.623500	0.306216
0.625100	0.305162
0.626700	0.304835
0.628300	0.306960
0.629900	0.305570
0.631700	0.304047
0.633700	0.304422
0.635700	0.304298
0.637700	0.304267
0.639700	0.303402
0.641700	0.305965
0.643700	0.307613
0.645700	0.306535
0.647700	0.304953
0.649700	0.304906
0.651700	0.305381
0.653700	0.305566
0.655700	0.305122
0.657700	0.305534
0.659700	0.306764
0.661700	0.309180
0.663700	0.308118
0.665700	0.307099
0.667700	0.309878
0.670200	0.309807
0.673200	0.313442
0.676200	0.312065
0.679200	0.313727
0.682200	0.318601
0.685200	0.316935
0.688200	0.316817
0.691200	0.317473
0.694200	0.319430
0.697200	0.320477
0.700200	0.323166
0.702000	0.322715
0.704000	0.324259
0.706000	0.325823
0.708000	0.327294
0.710000	0.328334
0.712000	0.330864
0.714000	0.330654
0.716000	0.331674
0.718000	0.334067
0.720000	0.334933
0.722000	0.335565
0.724000	0.337134
0.726000	0.339006
0.728000	0.340686
0.730000	0.339565
0.732000	0.342911
0.734000	0.343455
0.736000	0.343783
0.738000	0.345292
0.740000	0.344350
0.742000	0.349551
0.744000	0.348105
0.746000	0.349685
0.748000	0.350797
0.750500	0.351392
0.753500	0.353369
0.756500	0.355620
0.759500	0.355537
0.762500	0.357535
0.765500	0.357589
0.768500	0.359202
0.771500	0.359626
0.774500	0.361499
0.777500	0.362830
0.781000	0.364041
0.785000	0.366550
0.789000	0.368136
0.793000	0.368922
0.797000	0.369904
0.801500	0.373630
0.806500	0.373120
