Wavelength (µm)	Pigeonite hs199 spliced
0.301100	0.066997
0.305100	0.071523
0.309100	0.077046
0.313100	0.079934
0.317100	0.087208
0.321100	0.089264
0.325100	0.094608
0.329100	0.097637
0.333100	0.101027
0.337100	0.103581
0.341100	0.107473
0.345100	0.107436
0.349100	0.109603
0.353100	0.113135
0.357100	0.115178
0.360600	0.117811
0.363600	0.118292
0.366600	0.120078
0.369600	0.120881
0.372600	0.123590
0.375600	0.125011
0.378600	0.124909
0.381100	0.127752
0.383100	0.127560
0.385100	0.128903
0.387100	0.130385
0.389100	0.132452
0.391100	0.133661
0.393100	0.133791
0.395100	0.134751
0.397100	0.133492
0.399100	0.135575
0.401100	0.137636
0.403100	0.136558
0.405100	0.140101
0.407100	0.138460
0.409100	0.139194
0.411100	0.139974
0.412800	0.140324
0.415800	0.142064
0.418800	0.141129
0.421800	0.144358
0.424800	0.143867
0.427800	0.143594
0.430800	0.145448
0.433800	0.146181
0.436800	0.147300
0.439800	0.148405
0.442800	0.150081
0.445800	0.148846
0.448800	0.150780
0.451300	0.150082
0.453300	0.150321
0.455300	0.153714
0.457300	0.154082
0.459300	0.152983
0.461300	0.156350
0.463300	0.153860
0.465300	0.156979
0.467300	0.157923
0.469300	0.156174
0.471300	0.156178
0.473300	0.157505
0.475300	0.155549
0.477300	0.157989
0.479300	0.156233
0.481300	0.156958
0.483300	0.160891
0.485300	0.158298
0.487300	0.161257
0.489300	0.160121
0.491300	0.161745
0.493300	0.162463
0.495300	0.159938
0.497300	0.162902
0.499300	0.162209
0.501300	0.161503
0.503300	0.164293
0.505300	0.161683
0.507300	0.162422
0.509300	0.161305
0.511300	0.163994
0.513300	0.165809
0.515300	0.165180
0.517300	0.166600
0.519300	0.163972
0.521300	0.165980
0.523300	0.168660
0.525300	0.167238
0.527300	0.169375
0.529300	0.167370
0.531300	0.167299
0.533300	0.169237
0.535300	0.169784
0.537300	0.171222
0.539300	0.169726
0.541300	0.171732
0.543300	0.170060
0.545300	0.170052
0.547300	0.171583
0.549300	0.170675
0.551300	0.171256
0.553300	0.171164
0.555300	0.172894
0.557300	0.170987
0.559300	0.171702
0.561300	0.170005
0.563300	0.174516
0.565300	0.172108
0.567300	0.174276
0.569300	0.173623
0.571300	0.174707
0.573300	0.176139
0.575300	0.173605
0.577300	0.175219
0.579300	0.173548
0.581300	0.173030
0.583300	0.177534
0.585300	0.176615
0.587300	0.173193
0.589300	0.176095
0.591300	0.177501
0.593300	0.176629
0.595300	0.173661
0.597300	0.177578
0.599300	0.175684
0.601100	0.174880
0.602700	0.176104
0.604300	0.175577
0.605900	0.176271
0.607500	0.176608
0.609100	0.177811
0.610700	0.176164
0.612300	0.176896
0.613900	0.176054
0.615500	0.178135
0.617100	0.175013
0.618700	0.177828
0.620300	0.179210
0.621900	0.175524
0.623500	0.176647
0.625100	0.179530
0.626700	0.177202
0.628300	0.177005
0.629900	0.176948
0.631700	0.178470
0.633700	0.178286
0.635700	0.177796
0.637700	0.179267
0.639700	0.178350
0.641700	0.177080
0.643700	0.175831
0.645700	0.180298
0.647700	0.177393
0.649700	0.177962
0.651700	0.177052
0.653700	0.179357
0.655700	0.178511
0.657700	0.177373
0.659700	0.179246
0.661700	0.178942
0.663700	0.177793
0.665700	0.178641
0.667700	0.179802
0.670200	0.178487
0.673200	0.179276
0.676200	0.179829
0.679200	0.179812
0.682200	0.180623
0.685200	0.179853
0.688200	0.180276
0.691200	0.181000
0.694200	0.180004
0.697200	0.181538
0.700200	0.183409
0.702000	0.183196
0.704000	0.182676
0.706000	0.182374
0.708000	0.181446
0.710000	0.181745
0.712000	0.181642
0.714000	0.182055
0.716000	0.183190
0.718000	0.183986
0.720000	0.184698
0.722000	0.183028
0.724000	0.183441
0.726000	0.183511
0.728000	0.184904
0.730000	0.183072
0.732000	0.184701
0.734000	0.182180
0.736000	0.185994
0.738000	0.186437
