Wavelength (nm),split 92 <125 µm
300.0,0.069058
305.0,0.069252
310.0,0.070823
315.0,0.074713
320.0,0.079134
325.0,0.083104
330.0,0.087733
335.0,0.093737
340.0,0.099702
345.0,0.10602
350.0,0.11262
355.0,0.11999
360.0,0.12746
365.0,0.13484
370.0,0.14202
375.0,0.14882
380.0,0.15526
385.0,0.16231
390.0,0.1674
395.0,0.17275
400.0,0.17808
405.0,0.18402
410.0,0.18815
415.0,0.1926
420.0,0.1962
425.0,0.19883
430.0,0.20147
435.0,0.20463
440.0,0.2074
445.0,0.20989
450.0,0.21251
455.0,0.2155
460.0,0.21956
465.0,0.22242
470.0,0.22462
475.0,0.22744
480.0,0.23045
485.0,0.23384
490.0,0.23665
495.0,0.24028
500.0,0.24331
505.0,0.24208
510.0,0.24805
515.0,0.25356
520.0,0.25736
525.0,0.26032
530.0,0.2637
535.0,0.26539
540.0,0.26648
545.0,0.26723
550.0,0.2688
555.0,0.272
560.0,0.27459
565.0,0.27686
570.0,0.27842
575.0,0.28009
580.0,0.28187
585.0,0.28317
590.0,0.28455
595.0,0.28585
600.0,0.28671
605.0,0.28751
610.0,0.28841
615.0,0.28977
620.0,0.29038
625.0,0.29083
630.0,0.29215
635.0,0.29289
640.0,0.29352
645.0,0.29424
650.0,0.29452
655.0,0.29538
660.0,0.29569
665.0,0.29583
670.0,0.29659
675.0,0.2969
680.0,0.29761
685.0,0.29806
690.0,0.29788
695.0,0.29759
700.0,0.29838
705.0,0.2975
710.0,0.29788
715.0,0.29735
720.0,0.29709
725.0,0.29618
730.0,0.29554
735.0,0.29407
740.0,0.29242
745.0,0.29076
750.0,0.28657
755.0,0.28366
760.0,0.28065
765.0,0.27656
770.0,0.27268
775.0,0.26761
780.0,0.26243
785.0,0.25678
790.0,0.2511
795.0,0.2442
800.0,0.23788
805.0,0.23056
810.0,0.22326
815.0,0.21585
820.0,0.20814
825.0,0.20087
830.0,0.19392
835.0,0.18703
840.0,0.18006
845.0,0.17373
850.0,0.1677
855.0,0.16391
860.0,0.15887
865.0,0.15428
870.0,0.14957
875.0,0.14535
880.0,0.14179
885.0,0.13806
890.0,0.13533
895.0,0.13268
900.0,0.13042
905.0,0.12858
910.0,0.12708
915.0,0.12591
920.0,0.12538
925.0,0.1247
930.0,0.12481
935.0,0.125
940.0,0.12576
945.0,0.12692
950.0,0.12851
955.0,0.13018
960.0,0.1325
965.0,0.13514
970.0,0.13818
975.0,0.14191
980.0,0.14589
985.0,0.1502
990.0,0.15497
995.0,0.15966
1000.0,0.16519
1005.0,0.17079
1010.0,0.17644
1015.0,0.18246
1020.0,0.18841
1025.0,0.1944
1030.0,0.20066
1035.0,0.20673
1040.0,0.21243
1045.0,0.21859
1050.0,0.22408
1055.0,0.22896
1060.0,0.23442
1065.0,0.23897
1070.0,0.24336
1075.0,0.24763
1080.0,0.25103
1085.0,0.25483
1090.0,0.2578
1095.0,0.26063
1100.0,0.26291
1105.0,0.26506
1110.0,0.26754
1115.0,0.26935
1120.0,0.27067
1125.0,0.272
1130.0,0.27366
1135.0,0.2748
1140.0,0.27627
1145.0,0.27694
1150.0,0.27819
1155.0,0.27911
1160.0,0.28049
1165.0,0.28106
1170.0,0.28233
1175.0,0.28279
1180.0,0.2838
1185.0,0.28449
1190.0,0.28538
1195.0,0.28607
1200.0,0.28727
1205.0,0.28815
1210.0,0.28927
1215.0,0.29019
1220.0,0.29022
1225.0,0.29126
1230.0,0.29253
1235.0,0.2934
1240.0,0.29406
1245.0,0.29512
1250.0,0.29578
1255.0,0.29647
1260.0,0.29705
1265.0,0.29821
1270.0,0.29876
1275.0,0.29954
1280.0,0.30046
1285.0,0.30047
1290.0,0.30203
1295.0,0.30238
1300.0,0.30399
1305.0,0.30402
1310.0,0.30494
1315.0,0.30562
1320.0,0.30637
1325.0,0.30724
1330.0,0.30786
1335.0,0.30867
1340.0,0.3089
1345.0,0.30916
1350.0,0.3097
1355.0,0.30952
1360.0,0.30982
1365.0,0.31021
1370.0,0.31075
1375.0,0.31126
1380.0,0.31145
1385.0,0.31134
1390.0,0.31167
1395.0,0.3118
1400.0,0.31171
1405.0,0.31213
1410.0,0.31245
1415.0,0.31204
1420.0,0.31172
1425.0,0.31185
1430.0,0.31107
1435.0,0.31119
1440.0,0.31121
1445.0,0.31055
1450.0,0.31031
1455.0,0.30927
1460.0,0.309
1465.0,0.30805
1470.0,0.30721
1475.0,0.30691
1480.0,0.30612
1485.0,0.30477
1490.0,0.30358
1495.0,0.30291
1500.0,0.30182
1505.0,0.30037
1510.0,0.29947
1515.0,0.29798
1520.0,0.29663
1525.0,0.29488
1530.0,0.2939
1535.0,0.29226
1540.0,0.29075
1545.0,0.28934
1550.0,0.28764
1555.0,0.28601
1560.0,0.28443
1565.0,0.28256
1570.0,0.28108
1575.0,0.27919
1580.0,0.27757
1585.0,0.2756
1590.0,0.27375
1595.0,0.27193
1600.0,0.27036
1605.0,0.26839
1610.0,0.26643
1615.0,0.26469
1620.0,0.26277
1625.0,0.26086
1630.0,0.25902
1635.0,0.25662
1640.0,0.25498
1645.0,0.25319
1650.0,0.25168
1655.0,0.24983
1660.0,0.24688
1665.0,0.24559
1670.0,0.2434
1675.0,0.24157
1680.0,0.24003
1685.0,0.23819
1690.0,0.23655
1695.0,0.23464
1700.0,0.23459
1705.0,0.23213
1710.0,0.23008
1715.0,0.22839
1720.0,0.22629
1725.0,0.22493
1730.0,0.2235
1735.0,0.22222
1740.0,0.22028
1745.0,0.21824
1750.0,0.2169
1755.0,0.21419
1760.0,0.21283
1765.0,0.21145
1770.0,0.21014
1775.0,0.20874
1780.0,0.20718
1785.0,0.20609
1790.0,0.20486
1795.0,0.20363
1800.0,0.20288
1805.0,0.20155
1810.0,0.20046
1815.0,0.1995
1820.0,0.19853
1825.0,0.19742
1830.0,0.19642
1835.0,0.1954
1840.0,0.19446
1845.0,0.19381
1850.0,0.19302
1855.0,0.19239
1860.0,0.19157
1865.0,0.19121
1870.0,0.19081
1875.0,0.18931
1880.0,0.18885
1885.0,0.18858
1890.0,0.18808
1895.0,0.18778
1900.0,0.18741
1905.0,0.18693
1910.0,0.18653
1915.0,0.18632
1920.0,0.18613
1925.0,0.18614
1930.0,0.1858
1935.0,0.18609
1940.0,0.1863
1945.0,0.18627
1950.0,0.18618
1955.0,0.18617
1960.0,0.18638
1965.0,0.18667
1970.0,0.18681
1975.0,0.18703
1980.0,0.1875
1985.0,0.18779
1990.0,0.18818
1995.0,0.18856
2000.0,0.18908
2005.0,0.18942
2010.0,0.19015
2015.0,0.19061
2020.0,0.19164
2025.0,0.19232
2030.0,0.19308
2035.0,0.19364
2040.0,0.19432
2045.0,0.19497
2050.0,0.19568
2055.0,0.19657
2060.0,0.19746
2065.0,0.19854
2070.0,0.19953
2075.0,0.20046
2080.0,0.20166
2085.0,0.20276
2090.0,0.2041
2095.0,0.20505
2100.0,0.20619
2105.0,0.2075
2110.0,0.20888
2115.0,0.21028
2120.0,0.2116
2125.0,0.21302
2130.0,0.21452
2135.0,0.21588
2140.0,0.2172
2145.0,0.21858
2150.0,0.22
2155.0,0.22166
2160.0,0.22332
2165.0,0.22488
2170.0,0.22649
2175.0,0.2284
2180.0,0.23018
2185.0,0.23211
2190.0,0.23379
2195.0,0.23543
2200.0,0.23732
2205.0,0.23936
2210.0,0.24124
2215.0,0.24321
2220.0,0.24524
2225.0,0.24708
2230.0,0.24898
2235.0,0.25073
2240.0,0.25298
2245.0,0.25463
2250.0,0.25657
2255.0,0.25856
2260.0,0.26051
2265.0,0.26254
2270.0,0.26452
2275.0,0.26668
2280.0,0.2689
2285.0,0.27098
2290.0,0.27281
2295.0,0.27435
2300.0,0.27666
2305.0,0.27848
2310.0,0.28052
2315.0,0.28229
2320.0,0.2843
2325.0,0.28625
2330.0,0.28815
2335.0,0.28999
2340.0,0.29174
2345.0,0.29345
2350.0,0.29492
2355.0,0.29685
2360.0,0.29882
2365.0,0.30076
2370.0,0.30265
2375.0,0.30436
2380.0,0.3061
2385.0,0.30793
2390.0,0.31004
2395.0,0.3125
2400.0,0.31449
2400.2,0.31465
2400.5,0.31451
2400.8,0.31475
2401.1,0.31505
2401.3,0.31498
2401.6,0.31505
2401.9,0.31536
2402.2,0.31557
2402.4,0.31551
2402.7,0.31549
2403.0,0.31549
2403.3,0.31548
2403.6,0.31553
2403.8,0.31578
2404.1,0.31604
2404.4,0.31596
2404.7,0.31593
2405.0,0.31628
2405.2,0.3168
2405.5,0.31633
2405.8,0.31632
2406.1,0.31649
2406.4,0.31655
2406.6,0.31687
2406.9,0.31685
2407.2,0.31696
2407.5,0.31693
2407.7,0.31706
2408.0,0.31728
2408.3,0.31726
2408.6,0.31708
2408.9,0.31754
2409.1,0.31785
2409.4,0.3179
2409.7,0.31759
2410.0,0.31745
2410.3,0.31778
2410.5,0.31789
2410.8,0.31827
2411.1,0.31827
2411.4,0.3182
2411.7,0.31826
2411.9,0.31828
2412.2,0.31818
2412.5,0.31812
2412.8,0.31849
2413.1,0.31866
2413.4,0.319
2413.6,0.31906
2413.9,0.31897
2414.2,0.31914
2414.5,0.31929
2414.8,0.31928
2415.0,0.31926
2415.3,0.31953
2415.6,0.31953
2415.9,0.31972
2416.2,0.32013
2416.4,0.32005
2416.7,0.32004
