Step Size,Wavelength (µm),"Strip 325 330, morning/midday, lat 30 - Back","Strip 325 330, morning/midday, lat 30","Strip 325 330, morning/midday, lat 0 - Back","Strip 325 330, morning/midday, lat 0","Strip 325 330, morning/midday, lat -30 - Back","Strip 325 330, morning/midday, lat -30","Strip 295 305, morning/midday, lat 60 - Back","Strip 295 305, morning/midday, lat 60","Strip 295 305, morning/midday, lat 30 - Back","Strip 295 305, morning/midday, lat 30","Strip 295 305, morning/midday, lat 0 - Back","Strip 295 305, morning/midday, lat 0","Strip 295 305, morning/midday, lat -30 - Back","Strip 295 305, morning/midday, lat -30","Strip 240 250, morning/midday, lat 60 - Back","Strip 240 250, morning/midday, lat 60","Strip 240 250, morning/midday, lat 30 - Back","Strip 240 250, morning/midday, lat 30","Back = Strip 240 250, morning/midday, lat -30"
0.03993,0.46099,-0.020805,0.73383,0.0073187,0.76196,0.20118,0.95581,0.15679,0.91143,0.14526,0.89989,0.030394,0.78503,0.086746,0.84138,0.2282,0.98284,0.077972,0.83261,0.75464
0.03992,0.50092,-0.070086,0.84618,-0.05159,0.86467,0.16634,1.0826,0.14971,1.066,0.12459,1.0409,-0.025042,0.89122,0.049061,0.96532,3.40E+38,3.40E+38,0.069836,0.9861,0.91626
0.03992,0.54084,-0.11056,0.84613,-0.089018,0.86767,0.14826,1.105,0.11678,1.0735,0.046913,1.0036,-0.075746,0.88095,0.031726,0.98842,3.40E+38,3.40E+38,0.034699,0.99139,0.95669
0.03993,0.58076,-0.1106,0.86259,-0.090397,0.88279,0.12067,1.0939,0.10629,1.0795,0.018182,0.99137,-0.10905,0.86414,0.028246,1.0014,0.095779,1.069,0.031362,1.0045,0.97319
0.03992,0.62069,-0.099762,0.85225,-0.073678,0.87833,0.11705,1.0691,0.10626,1.0583,0.03511,0.98712,-0.091118,0.86089,0.035011,0.98702,0.10278,1.0548,0.037839,0.98985,0.95201
0.03993,0.66061,-0.08808,0.8484,-0.069507,0.86698,0.12402,1.0605,0.094455,1.0309,0.030265,0.96675,-0.088837,0.84765,0.03702,0.9735,0.08735,1.0238,0.037925,0.97441,0.93648
0.02994,0.70054,-0.10413,0.87373,-0.078909,0.89895,0.10251,1.0804,0.082621,1.0605,-0.0037838,0.97407,-0.10334,0.87452,0.028672,1.0065,0.049627,1.0275,0.025944,1.0038,0.97786
0.01996,0.73048,-0.11995,0.87163,-0.080334,0.91124,0.091664,1.0832,0.065477,1.0571,-0.0076185,0.98396,-0.10849,0.88309,0.030464,1.022,0.048659,1.0402,0.023144,1.0147,0.99158
0.01996,0.75044,-0.12236,0.87365,-0.089205,0.9068,0.082733,1.0787,0.06017,1.0562,-0.01015,0.98585,-0.11059,0.88541,0.019347,1.0153,0.068564,1.0646,0.017978,1.014,0.996
0.01997,0.7704,-0.11577,0.87286,-0.089397,0.89923,0.087793,1.0764,0.065227,1.0539,-0.022012,0.96661,-0.1093,0.87933,0.023422,1.012,0.057753,1.0464,0.020953,1.0096,0.98863
0.01996,0.79037,-0.093164,0.87612,-0.063498,0.90578,0.11689,1.0862,0.080266,1.0495,0.0071085,0.97639,-0.083378,0.8859,0.045122,1.0144,0.0604,1.0297,0.029636,0.99892,0.96928
0.01996,0.81033,-0.089792,0.87183,-0.061915,0.8997,0.11176,1.0734,0.084938,1.0466,0.010998,0.97262,-0.077046,0.88457,0.043273,1.0049,0.090078,1.0517,0.0255,0.98712,0.96162
0.01996,0.83029,-0.084366,0.86412,-0.058457,0.89003,0.10783,1.0563,0.090556,1.039,0.015994,0.96448,-0.069144,0.87935,0.042555,0.99104,0.12054,1.069,0.021255,0.96974,0.94849
0.01996,0.85025,-0.085582,0.88472,-0.069958,0.90034,0.089092,1.0594,0.082429,1.0527,0.017066,0.98736,-0.065055,0.90524,0.033972,1.0043,0.1302,1.1005,0.018232,0.98853,0.9703
0.01996,0.87021,-0.066842,0.90142,-0.057893,0.91036,0.091134,1.0594,0.082193,1.0505,0.016389,0.98465,-0.06905,0.89921,0.024072,0.99233,0.10783,1.0761,0.032901,1.0012,0.96826
0.01997,0.89017,-0.064095,0.90269,-0.069532,0.89725,0.089951,1.0567,0.078304,1.0451,0.033039,0.99982,-0.068025,0.89876,0.038527,1.0053,0.088186,1.055,0.035006,1.0018,0.96678
0.01996,0.91014,-0.068707,0.90205,-0.066339,0.90442,0.081719,1.0525,0.070833,1.0416,0.022597,0.99336,-0.073268,0.89749,0.028185,0.99895,0.092086,1.0628,0.03054,1.0013,0.97076
0.01996,0.9301,-0.0604,0.9077,-0.062497,0.9056,0.10582,1.0739,0.065075,1.0332,0.022113,0.99021,-0.074979,0.89312,0.026649,0.99475,0.086618,1.0547,0.027996,0.9961,0.9681
0.01996,0.95006,-0.057624,0.90511,-0.061912,0.90082,0.10193,1.0647,0.061008,1.0237,0.010033,0.97277,-0.096432,0.8663,0.020161,0.98289,0.048464,1.0112,0.029316,0.99205,0.96273
0.01996,0.97002,-0.066712,0.90707,-0.075621,0.89816,0.075271,1.0491,0.058482,1.0323,0.011372,0.98516,-0.098465,0.87532,0.026419,1.0002,0.044084,1.0179,0.017933,0.99172,0.97378
0.02002,0.98998,-0.076992,0.90554,-0.083232,0.8993,0.077515,1.06,0.041676,1.0242,-0.027674,0.95486,-0.1055,0.87703,0.020331,1.0029,0.012847,0.99538,0.015383,0.99792,0.98253
0.0199,1.01,-0.073776,0.91282,-0.082523,0.90407,0.0692,1.0558,0.043239,1.0298,-0.029513,0.95708,-0.10534,0.88126,0.022821,1.0094,0.015655,1.0023,0.015507,1.0021,0.9866
0.02,1.0299,-0.068753,0.92065,-0.086954,0.90245,0.054547,1.044,0.044913,1.0343,-0.023287,0.96612,-0.10816,0.88124,0.017767,1.0072,-0.00080818,0.9886,0.012426,1.0018,0.9894
0.0199,1.0499,-0.065528,0.92092,-0.070349,0.9161,0.052359,1.0388,0.047069,1.0335,-0.033186,0.95327,-0.099181,0.88727,0.022519,1.009,-0.0041429,0.98231,0.014659,1.0011,0.98645
0.02,1.0698,-0.061856,0.92055,-0.070618,0.91179,0.052122,1.0345,0.047477,1.0299,-0.035249,0.94716,-0.09047,0.89193,0.019777,1.0022,0.0059136,0.98832,0.012278,0.99468,0.98241
0.02,1.0898,-0.058278,0.92562,-0.057608,0.92629,0.038308,1.0222,0.047141,1.031,-0.026404,0.95749,-0.078116,0.90578,0.021119,1.005,-0.0082307,0.97566,0.0099822,0.99388,0.98389
