Wavelength (µm),Pigeonite hs199.17856
1.602521,0.163339
1.603016,0.163339
1.603512,0.163278
1.604008,0.163037
1.604505,0.162736
1.605001,0.162857
1.605498,0.163399
1.605996,0.163881
1.606493,0.164001
1.606991,0.164001
1.60749,0.163941
1.607988,0.164061
1.608487,0.163941
1.608986,0.16376
1.609486,0.16364
1.609986,0.164423
1.610486,0.164784
1.610986,0.164784
1.611487,0.164904
1.611988,0.164965
1.61249,0.165266
1.612991,0.165206
1.613493,0.165386
1.613996,0.165507
1.614498,0.165507
1.615001,0.165687
1.615505,0.165748
1.616008,0.165928
1.616512,0.165808
1.617016,0.165748
1.617521,0.166169
1.618026,0.16623
1.618531,0.16647
1.619036,0.167012
1.619542,0.16635
1.620048,0.16635
1.620554,0.166952
1.621061,0.166651
1.621568,0.166892
1.622076,0.166711
1.622583,0.166591
1.623091,0.167012
1.6236,0.167675
1.624108,0.167735
1.624617,0.167434
1.625127,0.167615
1.625636,0.167856
1.626146,0.168097
1.626656,0.168157
1.627167,0.168036
1.627678,0.168398
1.628189,0.168759
1.628701,0.168578
1.629212,0.168578
1.629725,0.168759
1.630237,0.16888
1.63075,0.168639
1.631263,0.168819
1.631777,0.169301
1.63229,0.169241
1.632804,0.16894
1.633319,0.168759
1.633834,0.169361
1.634349,0.170084
1.634864,0.169903
1.63538,0.169542
1.635896,0.169723
1.636412,0.169903
1.636929,0.169542
1.637446,0.169723
1.637964,0.170265
1.638481,0.170325
1.638999,0.169903
1.639518,0.170084
1.640036,0.169964
1.640555,0.169663
1.641075,0.169783
1.641594,0.169903
1.642114,0.170205
1.642634,0.170747
1.643155,0.170927
1.643676,0.171048
1.644197,0.170988
1.644719,0.171108
1.645241,0.170988
1.645763,0.171048
1.646286,0.171168
1.646809,0.17153
1.647332,0.171108
1.647856,0.171108
1.64838,0.171289
1.648904,0.17153
1.649429,0.17165
1.649953,0.171469
1.650479,0.171469
1.651004,0.17171
1.651531,0.172072
1.652057,0.172072
1.652583,0.17171
1.65311,0.171168
1.653638,0.17165
1.654165,0.172132
1.654693,0.171831
1.655222,0.17159
1.65575,0.17153
1.656279,0.17177
1.656809,0.172373
1.657338,0.172553
1.657868,0.172192
1.658399,0.172011
1.658929,0.172252
1.65946,0.172433
1.659992,0.172433
1.660523,0.172313
1.661055,0.172252
1.661588,0.172614
1.662121,0.172855
1.662654,0.172734
1.663187,0.172614
1.663721,0.172614
1.664255,0.172132
1.664789,0.172252
1.665324,0.172855
1.665859,0.173336
1.666395,0.173397
1.666931,0.173457
1.667467,0.173638
