Wavelength (µm),Orthoclase nmn h142137.17349
0.2971,0.293063
0.3011,0.331987
0.3051,0.364235
0.3091,0.394966
0.3131,0.422725
0.3171,0.449847
0.3211,0.467409
0.3251,0.488457
0.3291,0.501785
0.3331,0.516259
0.3371,0.528723
0.3411,0.534576
0.3451,0.544942
0.3491,0.548436
0.3531,0.598704
0.3571,0.603812
0.3606,0.609854
0.3636,0.613865
0.3666,0.617071
0.3696,0.618491
0.3726,0.616021
0.3756,0.607222
0.3786,0.606199
0.3811,0.613024
0.3831,0.619023
0.3851,0.626999
0.3871,0.636883
0.3891,0.641534
0.3911,0.648746
0.3931,0.652836
0.3951,0.656124
0.3971,0.657659
0.3991,0.661092
0.4011,0.663112
0.4031,0.66363
0.4051,0.665227
0.4071,0.666019
0.4091,0.666984
0.4111,0.66887
0.4128,0.667886
0.4158,0.668148
0.4188,0.6698
0.4218,0.67145
0.4248,0.675615
0.4278,0.678711
0.4308,0.681021
0.4338,0.685308
0.4368,0.684394
0.4398,0.686896
0.4428,0.689202
0.4458,0.689616
0.4488,0.693522
0.4513,0.696717
0.4533,0.699936
0.4553,0.703852
0.4573,0.704572
0.4593,0.705267
0.4613,0.707946
0.4633,0.709124
0.4653,0.708893
0.4673,0.71078
0.4693,0.712032
0.4713,0.712508
0.4733,0.712434
0.4753,0.716403
0.4773,0.71605
0.4793,0.718054
0.4813,0.716679
0.4833,0.71885
0.4853,0.719826
0.4873,0.719748
0.4893,0.720465
0.4913,0.72308
0.4933,0.723647
0.4953,0.723454
0.4973,0.724716
0.4993,0.724757
0.5013,0.726685
0.5033,0.726543
0.5053,0.729355
0.5073,0.728478
0.5093,0.731668
0.5113,0.729549
0.5133,0.732147
0.5153,0.731467
0.5173,0.733375
0.5193,0.734609
0.5213,0.735858
0.5233,0.736519
0.5253,0.734968
0.5273,0.737532
0.5293,0.738776
0.5313,0.740852
0.5333,0.73875
0.5353,0.741896
0.5373,0.741908
0.5393,0.741951
0.5413,0.742475
0.5433,0.74434
0.5453,0.745041
0.5473,0.745014
0.5493,0.744514
0.5513,0.744282
0.5533,0.745375
0.5553,0.746593
0.5573,0.746764
0.5593,0.747456
0.5613,0.746906
0.5633,0.74835
0.5653,0.74759
0.5673,0.75114
0.5693,0.750468
0.5713,0.750262
0.5733,0.750076
0.5753,0.750802
0.5773,0.753253
0.5793,0.752221
0.5813,0.752765
0.5833,0.753994
0.5853,0.753296
0.5873,0.753149
0.5893,0.75579
0.5913,0.755275
0.5933,0.753317
0.5953,0.754888
0.5973,0.755599
0.5993,0.756326
0.6011,0.756315
0.6027,0.757012
0.6043,0.756479
0.6059,0.757356
0.6075,0.756737
0.6091,0.756837
0.6107,0.756996
0.6123,0.757845
0.6139,0.75925
0.6155,0.758724
0.6171,0.75803
0.6187,0.759602
0.6203,0.76083
0.6219,0.760343
0.6235,0.759609
0.6251,0.76099
0.6267,0.760814
0.6283,0.760299
0.6299,0.762223
0.6317,0.760796
0.6337,0.762906
0.6357,0.761665
0.6377,0.762887
0.6397,0.762898
0.6417,0.762898
0.6437,0.764135
0.6457,0.763417
0.6477,0.763967
0.6497,0.763969
0.6517,0.765221
0.6537,0.763794
0.6557,0.765214
0.6577,0.765738
0.6597,0.766273
0.6617,0.767542
0.6637,0.766823
0.6657,0.768085
0.6677,0.768061
0.6702,0.766691
0.6732,0.767913
0.6762,0.768288
0.6792,0.768838
0.6822,0.768681
0.6852,0.769758
0.6882,0.770144
0.6912,0.771256
0.6942,0.77306
0.6972,0.770915
0.7002,0.771864
0.702,0.772161
0.704,0.773288
0.706,0.772961
0.708,0.772828
0.71,0.773386
0.712,0.77394
0.714,0.773593
0.716,0.773606
0.718,0.77401
0.72,0.774704
0.722,0.77381
0.724,0.775522
0.726,0.774622
0.728,0.774444
0.73,0.775745
0.732,0.775578
0.734,0.775242
0.736,0.776545
0.738,0.777817
0.74,0.776774
0.742,0.775351
0.744,0.775739
0.746,0.778497
0.748,0.777727
0.7505,0.778166
0.7535,0.77916
0.7565,0.778261
0.7595,0.778834
0.7625,0.777343
0.7655,0.779623
0.7685,0.779488
0.7715,0.779889
0.7745,0.780304
0.7775,0.780178
0.781,0.781895
0.785,0.781553
0.789,0.781971
0.793,0.781087
0.797,0.783397
0.8015,0.78293
0.8065,0.784698
0.8115,0.783457
0.8165,0.785102
0.822,0.78367
0.828,0.785599
0.835,0.783883
0.843,0.785821
0.851,0.786619
0.859,0.787908
0.871,0.786657
0.883,0.788138
0.894,0.790398
0.904,0.787102
0.914,0.787786
0.924,0.786296
0.933,0.786246
0.941,0.786148
0.949,0.784051
0.957,0.783779
0.964,0.788556
0.97,0.787701
0.976,0.785936
0.982,0.78726
0.988,0.783959
0.994,0.782623
1,0.782254
1.006,0.782343
1.012,0.782871
1.018,0.782362
1.0235,0.781639
1.0285,0.783206
1.0335,0.782975
1.0385,0.783636
1.0435,0.780745
1.0485,0.781453
1.0535,0.78127
1.0585,0.783384
1.0635,0.780099
1.0685,0.780809
1.0735,0.779059
1.0785,0.778972
1.0835,0.777526
1.0885,0.777845
1.0935,0.779777
1.0985,0.776678
1.1035,0.776663
1.1085,0.776003
1.1135,0.777658
1.1185,0.775317
1.1235,0.776585
1.1285,0.774074
1.1335,0.772924
1.1385,0.774238
1.1435,0.77259
1.1485,0.772873
1.1535,0.773654
1.1585,0.773329
1.1635,0.770525
1.1685,0.768939
1.1735,0.772355
1.1785,0.770312
1.1835,0.772142
1.1885,0.770311
1.1935,0.771323
1.1985,0.768666
1.2035,0.769363
1.2085,0.76918
1.2135,0.768176
1.2185,0.769011
1.2235,0.768005
1.2285,0.767527
1.2335,0.767807
1.2385,0.76752
1.2435,0.767976
1.2485,0.767358
1.2535,0.768204
1.2585,0.768412
1.2635,0.768219
1.2685,0.766959
1.2735,0.770463
1.2785,0.76656
1.2835,0.767814
1.2885,0.769579
1.2935,0.768985
1.2985,0.767394
1.3035,0.768815
1.3085,0.768962
1.3135,0.769498
1.3185,0.769722
1.3235,0.767847
1.3285,0.769317
1.3335,0.770802
1.3385,0.769393
1.3435,0.76958
1.3485,0.769181
1.3535,0.768198
1.3585,0.770234
1.3635,0.769892
1.3685,0.772645
1.3735,0.771758
1.3785,0.771315
1.3835,0.772356
1.3885,0.771522
1.3935,0.77522
1.3985,0.774041
1.4035,0.771863
1.4085,0.773299
1.4135,0.774022
1.4185,0.776
1.4235,0.777601
1.4285,0.776284
1.4335,0.777009
1.4385,0.777421
1.4435,0.779612
1.4485,0.777796
1.4535,0.780085
1.4585,0.780309
1.4635,0.780304
1.4685,0.782297
1.4735,0.779591
1.4785,0.782616
1.4835,0.784584
1.4885,0.783266
1.4935,0.780718
1.4985,0.787367
1.5035,0.78065
1.5085,0.783397
1.5135,0.78699
1.5185,0.783707
1.5235,0.79005
1.5285,0.783393
1.534,0.788418
1.54,0.788571
1.546,0.786396
1.552,0.790079
1.558,0.787849
1.564,0.792606
1.5705,0.78836
1.5775,0.79082
1.5845,0.792368
1.5915,0.792914
1.5985,0.789243
1.6055,0.792693
1.6125,0.791322
1.6195,0.793842
1.6265,0.792104
1.6335,0.7919
1.6405,0.794319
1.6475,0.794008
1.6545,0.793201
1.6615,0.797394
1.6685,0.793716
1.676,0.792971
1.684,0.791785
1.692,0.793593
1.7,0.802081
1.708,0.799107
1.716,0.797223
1.724,0.799772
1.732,0.797106
1.74,0.796975
1.748,0.80055
1.756,0.798169
1.764,0.796906
1.772,0.800815
1.78,0.800306
1.788,0.800678
1.796,0.79902
1.805,0.798924
1.815,0.799944
1.825,0.798716
1.835,0.800392
1.845,0.801456
1.855,0.801652
1.865,0.799981
1.875,0.800207
1.885,0.798695
1.895,0.795979
1.905,0.798716
1.915,0.798197
1.925,0.798883
1.935,0.799321
1.945,0.794979
1.955,0.7988
1.965,0.80215
1.975,0.801496
1.985,0.804234
1.995,0.8039
