Wavelength (µm),Sanidine gds19.19863
0.2586,0.118477
0.2636,0.136973
0.2686,0.171162
0.2731,0.202837
0.2771,0.247255
0.2811,0.287344
0.2851,0.333398
0.2891,0.381518
0.2931,0.422253
0.2971,0.450776
0.3011,0.477869
0.3051,0.49551
0.3091,0.507645
0.3131,0.521427
0.3171,0.533378
0.3211,0.538592
0.3251,0.548815
0.3291,0.550999
0.3331,0.56147
0.3371,0.565428
0.3411,0.569648
0.3531,0.601682
0.3571,0.606264
0.3606,0.609456
0.3636,0.61453
0.3666,0.616139
0.3696,0.617692
0.3726,0.620553
0.3756,0.619774
0.3786,0.620645
0.3811,0.625069
0.3831,0.630206
0.3851,0.63518
0.3871,0.637018
0.3891,0.641803
0.3911,0.64518
0.3931,0.648527
0.3951,0.651469
0.3971,0.652598
0.3991,0.653933
0.4011,0.655671
0.4031,0.658234
0.4051,0.659422
0.4071,0.661896
0.4091,0.663131
0.4111,0.665346
0.4128,0.669311
0.4158,0.670047
0.4188,0.671836
0.4218,0.674848
0.4248,0.678332
0.4278,0.67939
0.4308,0.684424
0.4338,0.686671
0.4368,0.688485
0.4398,0.688942
0.4428,0.692617
0.4458,0.6944
0.4488,0.696941
0.4513,0.697401
0.4533,0.697882
0.4553,0.701111
0.4573,0.702517
0.4593,0.702527
0.4613,0.704519
0.4633,0.705009
0.4653,0.706146
0.4673,0.706658
0.4693,0.707908
0.4713,0.705627
0.4733,0.708304
0.4753,0.708136
0.4773,0.71053
0.4793,0.710461
0.4813,0.710466
0.4833,0.710567
0.4853,0.710838
0.4873,0.710755
0.4893,0.712163
0.4913,0.712695
0.4933,0.712561
0.4953,0.713745
0.4973,0.712919
0.4993,0.712267
0.5013,0.714186
0.5033,0.711952
0.5053,0.713374
0.5073,0.71318
0.5093,0.715657
0.5113,0.715624
0.5133,0.716121
0.5153,0.714744
0.5173,0.714549
0.5193,0.71577
0.5213,0.715613
0.5233,0.714176
0.5253,0.714709
0.5273,0.716556
0.5293,0.71499
0.5313,0.714966
0.5333,0.714264
0.5353,0.716677
0.5373,0.71529
0.5393,0.71674
0.5413,0.716546
0.5433,0.717687
0.5453,0.716986
0.5473,0.716958
0.5493,0.715781
0.5513,0.716926
0.5533,0.715262
0.5553,0.716458
0.5573,0.715951
0.5593,0.715241
0.5613,0.716811
0.5633,0.716162
0.5653,0.715394
0.5673,0.716852
0.5693,0.716883
0.5713,0.717349
0.5733,0.717138
0.5753,0.717166
0.5773,0.718165
0.5793,0.719192
0.5813,0.719714
0.5833,0.719511
0.5853,0.720221
0.5873,0.720757
0.5893,0.721259
0.5913,0.720772
0.5933,0.719539
0.5953,0.720429
0.5973,0.720437
0.5993,0.720464
0.6011,0.719747
0.6027,0.719741
0.6043,0.721342
0.6059,0.720139
0.6075,0.720234
0.6091,0.718946
0.6107,0.719832
0.6123,0.720002
0.6139,0.720707
0.6155,0.72091
0.6171,0.720917
0.6187,0.721117
0.6203,0.721616
0.6219,0.722565
0.6235,0.720425
0.6251,0.721103
0.6267,0.722998
0.6283,0.722514
0.6299,0.721608
0.6317,0.724379
0.6337,0.723689
0.6357,0.723875
0.6377,0.725067
0.6397,0.722979
0.6417,0.723681
0.6437,0.724889
0.6457,0.72557
0.6477,0.725394
0.6497,0.726098
0.6517,0.725922
0.6537,0.726597
0.6557,0.725913
0.6577,0.727109
0.6597,0.727616
0.6617,0.728862
0.6637,0.72814
0.6657,0.730081
0.6677,0.729349
0.6702,0.727985
0.6732,0.72988
0.6762,0.730904
0.6792,0.730723
0.6822,0.729834
0.6852,0.73156
0.6882,0.731891
0.6912,0.731532
0.6942,0.731856
0.6972,0.733971
0.7002,0.73413
0.702,0.733766
0.704,0.73413
0.706,0.735883
0.708,0.734301
0.71,0.735546
0.712,0.735358
0.714,0.735666
0.716,0.73425
0.718,0.734598
0.72,0.734572
0.722,0.735796
0.724,0.735994
0.726,0.73722
0.728,0.736292
0.73,0.737568
0.732,0.736652
0.734,0.737699
