Wavelength (nm),Sanidine gds19.19863
297.1,0.450776
301.1,0.477869
305.1,0.49551
309.1,0.507645
313.1,0.521427
317.1,0.533378
321.1,0.538592
325.1,0.548815
329.1,0.550999
333.1,0.56147
337.1,0.565428
341.1,0.569648
353.1,0.601682
357.1,0.606264
360.6,0.609456
363.6,0.61453
366.6,0.616139
369.6,0.617692
372.6,0.620553
375.6,0.619774
378.6,0.620645
381.1,0.625069
383.1,0.630206
385.1,0.63518
387.1,0.637018
389.1,0.641803
391.1,0.64518
393.1,0.648527
395.1,0.651469
397.1,0.652598
399.1,0.653933
401.1,0.655671
403.1,0.658234
405.1,0.659422
407.1,0.661896
409.1,0.663131
411.1,0.665346
412.8,0.669311
415.8,0.670047
418.8,0.671836
421.8,0.674848
424.8,0.678332
427.8,0.67939
430.8,0.684424
433.8,0.686671
436.8,0.688485
439.8,0.688942
442.8,0.692617
445.8,0.6944
448.8,0.696941
451.3,0.697401
453.3,0.697882
455.3,0.701111
457.3,0.702517
459.3,0.702527
461.3,0.704519
463.3,0.705009
465.3,0.706146
467.3,0.706658
469.3,0.707908
471.3,0.705627
473.3,0.708304
475.3,0.708136
477.3,0.71053
479.3,0.710461
481.3,0.710466
483.3,0.710567
485.3,0.710838
487.3,0.710755
489.3,0.712163
491.3,0.712695
493.3,0.712561
495.3,0.713745
497.3,0.712919
499.3,0.712267
501.3,0.714186
503.3,0.711952
505.3,0.713374
507.3,0.71318
509.3,0.715657
511.3,0.715624
513.3,0.716121
515.3,0.714744
517.3,0.714549
519.3,0.71577
521.3,0.715613
523.3,0.714176
525.3,0.714709
527.3,0.716556
529.3,0.71499
531.3,0.714966
533.3,0.714264
535.3,0.716677
537.3,0.71529
539.3,0.71674
541.3,0.716546
543.3,0.717687
545.3,0.716986
547.3,0.716958
549.3,0.715781
551.3,0.716926
553.3,0.715262
555.3,0.716458
557.3,0.715951
559.3,0.715241
561.3,0.716811
563.3,0.716162
565.3,0.715394
567.3,0.716852
569.3,0.716883
571.3,0.717349
573.3,0.717138
575.3,0.717166
577.3,0.718165
579.3,0.719192
581.3,0.719714
583.3,0.719511
585.3,0.720221
587.3,0.720757
589.3,0.721259
591.3,0.720772
593.3,0.719539
595.3,0.720429
597.3,0.720437
599.3,0.720464
601.1,0.719747
602.7,0.719741
604.3,0.721342
605.9,0.720139
607.5,0.720234
609.1,0.718946
610.7,0.719832
612.3,0.720002
613.9,0.720707
615.5,0.72091
617.1,0.720917
618.7,0.721117
620.3,0.721616
621.9,0.722565
623.5,0.720425
625.1,0.721103
626.7,0.722998
628.3,0.722514
629.9,0.721608
631.7,0.724379
633.7,0.723689
635.7,0.723875
637.7,0.725067
639.7,0.722979
641.7,0.723681
643.7,0.724889
645.7,0.72557
647.7,0.725394
649.7,0.726098
651.7,0.725922
653.7,0.726597
655.7,0.725913
657.7,0.727109
659.7,0.727616
661.7,0.728862
663.7,0.72814
665.7,0.730081
667.7,0.729349
670.2,0.727985
673.2,0.72988
676.2,0.730904
679.2,0.730723
682.2,0.729834
685.2,0.73156
688.2,0.731891
691.2,0.731532
694.2,0.731856
697.2,0.733971
700.2,0.73413
702.0,0.733766
704.0,0.73413
706.0,0.735883
708.0,0.734301
710.0,0.735546
712.0,0.735358
714.0,0.735666
716.0,0.73425
718.0,0.734598
720.0,0.734572
722.0,0.735796
724.0,0.735994
726.0,0.73722
728.0,0.736292
730.0,0.737568
732.0,0.736652
734.0,0.737699
736.0,0.738256
738.0,0.738774
740.0,0.739121
742.0,0.739875
744.0,0.738758
746.0,0.74004
748.0,0.739988
750.5,0.738923
753.5,0.741291
756.5,0.741819
759.5,0.741636
762.5,0.741599
765.5,0.742308
768.5,0.743614
771.5,0.744693
774.5,0.744321
777.5,0.744173
781.0,0.744334
785.0,0.746883
789.0,0.745771
793.0,0.746341
797.0,0.747061
801.5,0.747999
806.5,0.748945
811.5,0.74986
816.5,0.749163
822.0,0.749866
828.0,0.7486
835.0,0.747569
843.0,0.748854
851.0,0.759279
859.0,0.753145
871.0,0.75766
883.0,0.762542
894.0,0.762363
904.0,0.763199
914.0,0.763871
924.0,0.769538
933.0,0.765942
941.0,0.770638
949.0,0.768975
957.0,0.773268
964.0,0.774175
970.0,0.774343
976.0,0.773595
982.0,0.776963
988.0,0.778099
994.0,0.777315
1000.0,0.782333
1006.0,0.780042
1012.0,0.780331
1018.0,0.783078
1023.5,0.783386
1028.5,0.783841
1033.5,0.785762
1038.5,0.787216
1043.5,0.788305
1048.5,0.78751
1053.5,0.788361
1058.5,0.788806
1063.5,0.788632
1068.5,0.78991
1073.5,0.789753
1078.5,0.791365
1083.5,0.793426
1088.5,0.790624
1093.5,0.79297
1098.5,0.792492
1103.5,0.795403
1108.5,0.795534
1113.5,0.795358
1118.5,0.794622
1123.5,0.796287
1128.5,0.797064
1133.5,0.797768
1138.5,0.798311
1143.5,0.798268
1148.5,0.799103
1153.5,0.798131
1158.5,0.79899
1163.5,0.800374
1168.5,0.798631
1173.5,0.800783
1178.5,0.800598
1183.5,0.799694
1188.5,0.805043
1193.5,0.801122
1198.5,0.80398
1203.5,0.804754
1208.5,0.80225
1213.5,0.804029
1218.5,0.806066
1223.5,0.806908
1228.5,0.805506
1233.5,0.807889
1238.5,0.805506
1243.5,0.805215
1248.5,0.808393
1253.5,0.806002
1258.5,0.807376
1263.5,0.807944
1268.5,0.807888
1273.5,0.808772
1278.5,0.8055
1283.5,0.807801
1288.5,0.809794
1293.5,0.807392
1298.5,0.809
1303.5,0.809364
1308.5,0.810071
1313.5,0.812251
1318.5,0.809726
1323.5,0.808407
1328.5,0.811235
1333.5,0.810914
1338.5,0.809319
1343.5,0.810941
1348.5,0.811609
1353.5,0.811521
1358.5,0.81159
1363.5,0.810628
1368.5,0.811436
1373.5,0.812045
1378.5,0.811535
1383.5,0.811398
1388.5,0.81186
1393.5,0.813599
1398.5,0.813028
1403.5,0.811974
1408.5,0.813923
1413.5,0.811509
1418.5,0.813586
1423.5,0.814533
1428.5,0.814538
1433.5,0.817387
1438.5,0.815922
1443.5,0.817228
1448.5,0.816539
1453.5,0.815681
1458.5,0.816551
