Wavelength (nm),Haleakala tephra JB395B 45-125
300.00,0.033494
305.00,0.028123
310.00,0.029250
315.00,0.027188
320.00,0.026674
325.00,0.026740
330.00,0.026484
335.00,0.027509
340.00,0.028453
345.00,0.028406
350.00,0.029087
355.00,0.029786
360.00,0.030234
365.00,0.030639
370.00,0.031258
375.00,0.032210
380.00,0.033115
385.00,0.034255
390.00,0.035848
395.00,0.037278
400.00,0.037756
405.00,0.038746
410.00,0.039654
415.00,0.040646
420.00,0.041576
425.00,0.042793
430.00,0.043807
435.00,0.045078
440.00,0.046475
445.00,0.047962
450.00,0.049331
455.00,0.050519
460.00,0.051537
465.00,0.052603
470.00,0.053483
475.00,0.054418
480.00,0.055342
485.00,0.056670
490.00,0.057944
495.00,0.059619
500.00,0.061116
505.00,0.062935
510.00,0.064673
515.00,0.066464
520.00,0.068355
525.00,0.070459
530.00,0.072792
535.00,0.075526
540.00,0.078462
545.00,0.082057
550.00,0.086121
555.00,0.090981
560.00,0.096333
565.00,0.10277
570.00,0.10950
575.00,0.11677
580.00,0.12364
585.00,0.13073
590.00,0.13718
595.00,0.14324
600.00,0.14851
605.00,0.15315
610.00,0.15749
615.00,0.16136
620.00,0.16446
625.00,0.16759
630.00,0.17009
635.00,0.17268
640.00,0.17481
645.00,0.17678
650.00,0.17849
655.00,0.18035
660.00,0.18186
665.00,0.18394
670.00,0.18545
675.00,0.18731
680.00,0.18897
685.00,0.19076
690.00,0.19205
695.00,0.19398
700.00,0.19541
705.00,0.19684
710.00,0.19831
715.00,0.19961
720.00,0.20047
725.00,0.20133
730.00,0.20162
735.00,0.20251
740.00,0.20275
745.00,0.20299
750.00,0.20278
755.00,0.20265
760.00,0.20263
765.00,0.20209
770.00,0.20197
775.00,0.20145
780.00,0.20084
785.00,0.20029
790.00,0.19975
795.00,0.19870
800.00,0.19897
805.00,0.19783
810.00,0.19671
815.00,0.19647
820.00,0.19570
825.00,0.19454
830.00,0.19456
835.00,0.19408
840.00,0.19342
845.00,0.19313
850.00,0.19257
855.00,0.19174
860.00,0.19075
865.00,0.19025
870.00,0.19016
875.00,0.19024
880.00,0.19020
885.00,0.19060
890.00,0.19037
895.00,0.18931
900.00,0.18859
905.00,0.18819
910.00,0.18770
915.00,0.18745
920.00,0.18825
925.00,0.18849
930.00,0.18923
935.00,0.18955
940.00,0.18984
945.00,0.18966
950.00,0.19013
955.00,0.19009
960.00,0.19018
965.00,0.19056
970.00,0.19088
975.00,0.19122
980.00,0.19126
985.00,0.19178
990.00,0.19211
995.00,0.19248
1000.0,0.19262
1005.0,0.19339
1010.0,0.19373
1015.0,0.19385
1020.0,0.19423
1025.0,0.19457
1030.0,0.19461
1035.0,0.19479
1040.0,0.19493
1045.0,0.19508
1050.0,0.19495
1055.0,0.19495
1060.0,0.19518
1065.0,0.19528
1070.0,0.19529
1075.0,0.19575
1080.0,0.19598
1085.0,0.19601
1090.0,0.19588
1095.0,0.19578
1100.0,0.19544
1105.0,0.19516
1110.0,0.19525
1115.0,0.19559
1120.0,0.19567
1125.0,0.19589
1130.0,0.19627
1135.0,0.19635
1140.0,0.19649
1145.0,0.19662
1150.0,0.19662
1155.0,0.19672
1160.0,0.19656
1165.0,0.19655
1170.0,0.19662
1175.0,0.19678
1180.0,0.19682
1185.0,0.19705
1190.0,0.19709
1195.0,0.19717
1200.0,0.19725
1205.0,0.19727
1210.0,0.19737
1215.0,0.19739
1220.0,0.19730
1225.0,0.19725
1230.0,0.19732
1235.0,0.19722
1240.0,0.19719
1245.0,0.19742
1250.0,0.19744
1255.0,0.19739
1260.0,0.19762
1265.0,0.19788
1270.0,0.19785
1275.0,0.19769
1280.0,0.19771
1285.0,0.19765
1290.0,0.19766
1295.0,0.19797
1300.0,0.19822
1305.0,0.19810
1310.0,0.19808
1315.0,0.19825
1320.0,0.19804
1325.0,0.19824
1330.0,0.19854
1335.0,0.19865
