Wavelength (nm),SynOl_Fo10
300.0,0.04097
305.0,0.04116
310.0,0.03993
315.0,0.04135
320.0,0.04008
325.0,0.04047
330.0,0.0416
335.0,0.04249
340.0,0.04308
345.0,0.04449
350.0,0.0462
355.0,0.04835
360.0,0.05099
365.0,0.05393
370.0,0.05708
375.0,0.06073
380.0,0.06464
385.0,0.06844
390.0,0.07212
395.0,0.07604
400.0,0.07892
405.0,0.08116
410.0,0.08497
415.0,0.0887
420.0,0.09232
425.0,0.09615
430.0,0.09971
435.0,0.10345
440.0,0.10703
445.0,0.10937
450.0,0.11141
455.0,0.11412
460.0,0.1179
465.0,0.12215
470.0,0.12585
475.0,0.13042
480.0,0.13577
485.0,0.1399
490.0,0.14332
495.0,0.14625
500.0,0.14984
505.0,0.15501
510.0,0.15936
515.0,0.16321
520.0,0.16647
525.0,0.16975
530.0,0.17329
535.0,0.17665
540.0,0.18024
545.0,0.18425
550.0,0.18776
555.0,0.19081
560.0,0.19422
565.0,0.19697
570.0,0.19972
575.0,0.20232
580.0,0.2045
585.0,0.20682
590.0,0.2088
595.0,0.21095
600.0,0.21243
605.0,0.21411
610.0,0.21576
615.0,0.21721
620.0,0.21904
625.0,0.2207
630.0,0.22262
635.0,0.22447
640.0,0.22655
645.0,0.22831
650.0,0.23014
655.0,0.23173
660.0,0.23311
665.0,0.23424
670.0,0.23507
675.0,0.23615
680.0,0.23713
685.0,0.23795
690.0,0.23869
695.0,0.23945
700.0,0.24018
705.0,0.24078
710.0,0.24103
715.0,0.24138
720.0,0.24184
725.0,0.2423
730.0,0.24244
735.0,0.24263
740.0,0.24276
745.0,0.24291
750.0,0.24309
755.0,0.24328
760.0,0.24308
765.0,0.24294
770.0,0.24226
775.0,0.24197
780.0,0.24105
785.0,0.24012
790.0,0.23922
795.0,0.23804
800.0,0.23634
805.0,0.23452
810.0,0.23338
815.0,0.23209
820.0,0.23081
825.0,0.2295
830.0,0.22813
835.0,0.2266
840.0,0.22527
845.0,0.22391
850.0,0.22248
855.0,0.22128
860.0,0.2201
865.0,0.21892
870.0,0.21761
875.0,0.21627
880.0,0.21492
885.0,0.21375
890.0,0.21248
895.0,0.21147
900.0,0.21064
905.0,0.20967
910.0,0.20929
915.0,0.20744
920.0,0.20693
925.0,0.20531
930.0,0.20375
935.0,0.20246
940.0,0.20138
945.0,0.19975
950.0,0.19877
955.0,0.19689
960.0,0.19525
965.0,0.19326
970.0,0.19114
975.0,0.19014
980.0,0.18863
985.0,0.18741
990.0,0.18577
995.0,0.18414
1000.0,0.18244
1005.0,0.18101
1010.0,0.1802
1015.0,0.17801
1020.0,0.17709
1025.0,0.17554
1030.0,0.17401
1035.0,0.17314
1040.0,0.17255
1045.0,0.17152
1050.0,0.17087
1055.0,0.17032
1060.0,0.16938
1065.0,0.16946
1070.0,0.16902
1075.0,0.16889
1080.0,0.16859
1085.0,0.16885
1090.0,0.16895
1095.0,0.16966
1100.0,0.17031
1105.0,0.17166
1110.0,0.1725
1115.0,0.17324
1120.0,0.17443
1125.0,0.17566
1130.0,0.17681
1135.0,0.17785
1140.0,0.17995
1145.0,0.18163
1150.0,0.1824
1155.0,0.18403
1160.0,0.1852
1165.0,0.18676
1170.0,0.18831
1175.0,0.18912
1180.0,0.18996
1185.0,0.1914
1190.0,0.19195
1195.0,0.19242
1200.0,0.1931
1205.0,0.19427
1210.0,0.19566
1215.0,0.19506
1220.0,0.19553
1225.0,0.19565
1230.0,0.19606
1235.0,0.19641
1240.0,0.19731
1245.0,0.19731
1250.0,0.19714
1255.0,0.1972
1260.0,0.19791
1265.0,0.19759
1270.0,0.198
1275.0,0.19818
1280.0,0.1986
1285.0,0.19836
1290.0,0.19925
1295.0,0.19965
1300.0,0.19996
1305.0,0.20026
1310.0,0.20025
1315.0,0.20125
1320.0,0.20213
1325.0,0.20252
1330.0,0.20368
1335.0,0.20461
1340.0,0.20544
1345.0,0.20632
1350.0,0.20721
1355.0,0.20888
1360.0,0.2097
1365.0,0.21073
1370.0,0.2121
1375.0,0.21325
1380.0,0.21461
1385.0,0.21616
1390.0,0.21784
1395.0,0.21927
1400.0,0.22097
1405.0,0.22287
1410.0,0.22465
1415.0,0.22635
1420.0,0.22843
1425.0,0.22995
1430.0,0.23139
1435.0,0.23284
1440.0,0.23506
1445.0,0.23743
1450.0,0.23959
1455.0,0.24122
1460.0,0.24328
1465.0,0.24544
1470.0,0.24788
1475.0,0.25006
1480.0,0.25214
1485.0,0.25409
1490.0,0.25593
1495.0,0.25764
1500.0,0.25987
1505.0,0.26183
1510.0,0.26418
1515.0,0.26621
1520.0,0.26836
1525.0,0.27034
1530.0,0.27278
1535.0,0.27479
1540.0,0.27682
1545.0,0.27926
1550.0,0.28098
1555.0,0.28347
1560.0,0.28553
1565.0,0.28701
1570.0,0.28969
1575.0,0.29125
1580.0,0.29291
1585.0,0.29474
1590.0,0.29681
1595.0,0.29844
1600.0,0.30044
1605.0,0.30208
1610.0,0.30358
1615.0,0.30575
1620.0,0.30728
1625.0,0.3085
1630.0,0.30981
1635.0,0.31217
1640.0,0.31361
1645.0,0.31504
1650.0,0.31653
1655.0,0.31798
1660.0,0.3188
1665.0,0.31934
1670.0,0.32079
1675.0,0.3224
1680.0,0.32334
1685.0,0.32418
1690.0,0.32541
1695.0,0.32635
1700.0,0.32645
1705.0,0.32807
1710.0,0.329
1715.0,0.33052
1720.0,0.33162
1725.0,0.33274
1730.0,0.33343
1735.0,0.33443
1740.0,0.33498
1745.0,0.33582
1750.0,0.33652
1755.0,0.33792
1760.0,0.33865
1765.0,0.33925
1770.0,0.33978
1775.0,0.34027
1780.0,0.34069
1785.0,0.34123
1790.0,0.34187
1795.0,0.34232
1800.0,0.34269
1805.0,0.34322
1810.0,0.34366
1815.0,0.34405
1820.0,0.34442
1825.0,0.34475
1830.0,0.34507
1835.0,0.34537
1840.0,0.34537
1845.0,0.34558
1850.0,0.34593
1851.2,0.346
1851.9,0.34585
1852.6,0.34573
1853.2,0.34574
1853.9,0.34592
1854.5,0.34596
1855.2,0.34605
1855.9,0.34625
1856.5,0.34625
1857.2,0.34617
1857.9,0.34616
1858.5,0.34622
1859.2,0.34627
1859.9,0.34619
1860.5,0.34617
1861.2,0.34618
1861.9,0.34639
1862.5,0.34635
1863.2,0.34625
1863.9,0.34623
1864.5,0.34615
1865.2,0.34625
1865.9,0.34628
1866.6,0.34613
1867.2,0.34616
1867.9,0.34622
1868.6,0.34633
1869.3,0.34649
1869.9,0.34668
1870.6,0.34666
1871.3,0.34661
1871.9,0.34662
1872.6,0.34673
1873.3,0.34683
1874.0,0.34676
1874.7,0.34671
1875.3,0.34687
1876.0,0.34691
1876.7,0.34687
1877.4,0.34678
1878.1,0.34687
1878.7,0.34696
1879.4,0.347
1880.1,0.3469
1880.8,0.34685
1881.5,0.34702
1882.1,0.34715
1882.8,0.34711
1883.5,0.34697
1884.2,0.34703
1884.9,0.34709
1885.6,0.34711
1886.3,0.34717
1886.9,0.34719
1887.6,0.34742
1888.3,0.3474
1889.0,0.34724
1889.7,0.34731
1890.4,0.34734
1891.1,0.34717
1891.8,0.34707
1892.4,0.34713
1893.1,0.34717
1893.8,0.34727
1894.5,0.34755
1895.2,0.34747
1895.9,0.34722
1896.6,0.34728
1897.3,0.34745
1898.0,0.34755
1898.7,0.34749
1899.4,0.34734
1900.1,0.34725
1900.8,0.34729
1901.5,0.34733
1902.2,0.34749
1902.9,0.3476
1903.6,0.3476
1904.3,0.34765
1905.0,0.34754
1905.7,0.34756
1906.4,0.3476
1907.1,0.34769
1907.8,0.34765
1908.5,0.34764
1909.2,0.34768
1909.9,0.34777
1910.6,0.3478
1911.3,0.34787
1912.0,0.34781
1912.7,0.34778
1913.4,0.34781
1914.1,0.34784
1914.8,0.34779
1915.5,0.34789
1916.2,0.3479
1916.9,0.34786
1917.6,0.34785
1918.3,0.3478
1919.1,0.34779
1919.8,0.34795
1920.5,0.34799
1921.2,0.3479
1921.9,0.34802
1922.6,0.34813
1923.3,0.34808
1924.1,0.34795
1924.8,0.34803
1925.5,0.34819
1926.2,0.34809
1926.9,0.34809
1927.6,0.34814
1928.3,0.34816
1929.1,0.34815
1929.8,0.34817
1930.5,0.34813
1931.2,0.34815
1931.9,0.34816
1932.7,0.34816
1933.4,0.34817
1934.1,0.34815
1934.8,0.34813
1935.5,0.34828
1936.3,0.34826
1937.0,0.34825
1937.7,0.34835
1938.4,0.34827
1939.2,0.34823
1939.9,0.34828
1940.6,0.34834
1941.3,0.34849
1942.1,0.34851
1942.8,0.34835
1943.5,0.34827
1944.3,0.34845
1945.0,0.3485
1945.7,0.3485
1946.4,0.34849
1947.2,0.34848
1947.9,0.34841
1948.6,0.34841
1949.4,0.34851
1950.1,0.34859
1950.8,0.34842
1951.6,0.34838
1952.3,0.34837
1953.0,0.34847
1953.8,0.34858
1954.5,0.34859
1955.3,0.34854
1956.0,0.34856
1956.7,0.34849
1957.5,0.34847
1958.2,0.34862
1958.9,0.3487
1959.7,0.34867
1960.4,0.34862
1961.2,0.34846
1961.9,0.3485
1962.7,0.34865
1963.4,0.34866
1964.1,0.34855
1964.9,0.34858
1965.6,0.34867
1966.4,0.34875
1967.1,0.34874
1967.9,0.34864
1968.6,0.34868
1969.4,0.34878
1970.1,0.34888
1970.8,0.34884
1971.6,0.34873
1972.3,0.3488
1973.1,0.34871
1973.8,0.34861
1974.6,0.34865
1975.4,0.34872
1976.1,0.34875
1976.9,0.34879
1977.6,0.34874
1978.4,0.34873
1979.1,0.34874
1979.9,0.34865
1980.6,0.34864
1981.4,0.34867
1982.2,0.34865
1982.9,0.34875
1983.7,0.34879
1984.4,0.34871
1985.2,0.3488
1985.9,0.34886
1986.7,0.34889
1987.5,0.34887
1988.2,0.34886
1989.0,0.34883
1989.8,0.34893
1990.5,0.34909
1991.3,0.34903
1992.1,0.3489
1992.8,0.34894
1993.6,0.34905
1994.3,0.34905
1995.1,0.34892
1995.9,0.34883
1996.7,0.34882
1997.4,0.3488
1998.2,0.34897
1999.0,0.34906
1999.7,0.34899
2000.5,0.34899
2001.3,0.34912
2002.1,0.34909
2002.8,0.34893
2003.6,0.34897
2004.4,0.34912
2005.2,0.34907
2005.9,0.34898
2006.7,0.34887
2007.5,0.34885
2008.3,0.34887
2009.0,0.34881
2009.8,0.34884
2010.6,0.34903
2011.4,0.34911
2012.2,0.34905
2012.9,0.3491
2013.7,0.34914
2014.5,0.34901
2015.3,0.34897
2016.1,0.34907
2016.8,0.34917
2017.6,0.3491
2018.4,0.34917
2019.2,0.34926
2020.0,0.34924
2020.8,0.34924
2021.6,0.34928
2022.4,0.34929
2023.2,0.34923
2023.9,0.34922
2024.7,0.34912
2025.5,0.349
2026.3,0.34904
2027.1,0.34912
2027.9,0.34912
2028.7,0.34913
2029.5,0.34922
2030.3,0.3492
2031.1,0.34933
2031.9,0.34936
2032.7,0.34928
2033.5,0.3492
2034.3,0.34927
2035.1,0.34939
2035.9,0.34939
2036.7,0.34932
2037.5,0.34925
2038.3,0.34921
2039.1,0.34922
2039.9,0.34927
2040.7,0.34928
2041.5,0.34932
2042.3,0.34943
2043.1,0.34948
2043.9,0.34948
2044.7,0.34951
2045.5,0.34951
2046.3,0.34952
2047.1,0.34959
2047.9,0.34952
2048.7,0.34953
2049.5,0.34947
2050.4,0.34949
2051.2,0.34953
2052.0,0.34954
2052.8,0.34951
2053.6,0.34954
2054.4,0.34955
2055.2,0.34954
2056.0,0.34957
2056.9,0.34959
2057.7,0.34957
2058.5,0.34954
2059.3,0.34954
2060.1,0.34961
2060.9,0.34953
2061.8,0.34961
2062.6,0.34971
2063.4,0.34967
2064.2,0.34961
2065.1,0.34957
2065.9,0.34969
2066.7,0.34974
2067.5,0.34958
2068.3,0.3495
2069.2,0.34945
2070.0,0.34947
2070.8,0.3496
2071.6,0.34964
2072.5,0.34953
2073.3,0.34953
2074.1,0.34953
2075.0,0.34955
2075.8,0.3497
2076.6,0.3498
2077.5,0.34976
2078.3,0.34979
2079.1,0.34973
2080.0,0.34971
2080.8,0.34972
2081.6,0.34967
2082.5,0.34971
2083.3,0.34971
2084.1,0.34964
2085.0,0.34967
2085.8,0.34973
2086.7,0.34968
2087.5,0.3498
2088.3,0.3498
2089.2,0.34968
2090.0,0.3497
2090.9,0.34974
2091.7,0.34975
2092.6,0.34976
2093.4,0.34971
2094.2,0.34976
2095.1,0.34988
2095.9,0.34994
2096.8,0.34999
2097.6,0.34994
2098.5,0.3499
2099.3,0.35004
2100.2,0.35011
2101.0,0.34997
2101.9,0.34991
2102.7,0.34998
2103.6,0.35
2104.4,0.34996
2105.3,0.3499
2106.1,0.3499
2107.0,0.35001
2107.9,0.3501
2108.7,0.35021
2109.6,0.35027
2110.4,0.35022
2111.3,0.35015
2112.2,0.35017
2113.0,0.35016
2113.9,0.35015
2114.7,0.35021
2115.6,0.35034
2116.5,0.35042
2117.3,0.35046
2118.2,0.35042
2119.1,0.35029
2119.9,0.35028
2120.8,0.35035
2121.7,0.35028
2122.5,0.35024
2123.4,0.35022
2124.3,0.35023
2125.1,0.35026
2126.0,0.35022
2126.9,0.35017
2127.8,0.35008
2128.6,0.35002
2129.5,0.34999
2130.4,0.35011
2131.3,0.35031
2132.1,0.35036
2133.0,0.35032
2133.9,0.3503
2134.8,0.35027
2135.6,0.35023
2136.5,0.35029
2137.4,0.35032
2138.3,0.35032
2139.2,0.35024
2140.1,0.35025
2140.9,0.35039
2141.8,0.35037
2142.7,0.35035
2143.6,0.35041
2144.5,0.35032
2145.4,0.35032
2146.3,0.35034
2147.1,0.35035
2148.0,0.35038
2148.9,0.35048
2149.8,0.35038
2150.7,0.35032
2151.6,0.3503
2152.5,0.35039
2153.4,0.35034
2154.3,0.35021
2155.2,0.35026
2156.1,0.35031
2157.0,0.35017
2157.9,0.3502
2158.8,0.3502
2159.7,0.35021
2160.6,0.35024
2161.5,0.3503
2162.4,0.35031
2163.3,0.35026
2164.2,0.35019
2165.1,0.35019
2166.0,0.35026
2166.9,0.3503
2167.8,0.35026
2168.7,0.35019
2169.6,0.35019
2170.5,0.35022
2171.4,0.35021
2172.3,0.35022
2173.3,0.35023
2174.2,0.35023
2175.1,0.35025
2176.0,0.35029
2176.9,0.35028
2177.8,0.3502
2178.7,0.35013
2179.6,0.35015
2180.6,0.35019
2181.5,0.35024
2182.4,0.35023
2183.3,0.35028
2184.2,0.3503
2185.1,0.35028
2186.1,0.35018
2187.0,0.35012
2187.9,0.35018
2188.8,0.35027
2189.8,0.3502
2190.7,0.35013
2191.6,0.35015
2192.6,0.35019
2193.5,0.35024
2194.4,0.35027
2195.3,0.35019
2196.3,0.35013
2197.2,0.35012
2198.1,0.35025
2199.1,0.35035
2200.0,0.35028
2200.9,0.35021
2201.9,0.35017
2202.8,0.35015
2203.7,0.35022
2204.7,0.35027
2205.6,0.35031
2206.5,0.35033
2207.5,0.35037
2208.4,0.35033
2209.4,0.35029
2210.3,0.35028
2211.3,0.3503
2212.2,0.35032
2213.1,0.35036
2214.1,0.35033
2215.0,0.35023
2216.0,0.35022
2216.9,0.3503
2217.9,0.35029
2218.8,0.35028
2219.8,0.35031
2220.7,0.35033
2221.7,0.35031
2222.6,0.3503
2223.6,0.35026
2224.5,0.35022
2225.5,0.35022
2226.4,0.3503
2227.4,0.35034
2228.4,0.35025
2229.3,0.35027
2230.3,0.35032
2231.2,0.35024
2232.2,0.35022
2233.1,0.3503
2234.1,0.35032
2235.1,0.35027
2236.0,0.35022
2237.0,0.35012
2238.0,0.35024
2238.9,0.35035
2239.9,0.35035
2240.9,0.35039
2241.8,0.35034
2242.8,0.35024
2243.8,0.3502
2244.8,0.35018
2245.7,0.35025
2246.7,0.35021
2247.7,0.35019
2248.6,0.35017
2249.6,0.3502
2250.6,0.35022
2251.6,0.35029
2252.6,0.35033
2253.5,0.35035
2254.5,0.35022
2255.5,0.35018
2256.5,0.35031
2257.5,0.35035
2258.4,0.35032
2259.4,0.35033
2260.4,0.3503
2261.4,0.35031
2262.4,0.35024
2263.4,0.35024
2264.4,0.3503
2265.4,0.3503
2266.3,0.35027
2267.3,0.35026
2268.3,0.35036
2269.3,0.35043
2270.3,0.35037
2271.3,0.35028
2272.3,0.35023
2273.3,0.35024
2274.3,0.35027
2275.3,0.3503
2276.3,0.35026
2277.3,0.35022
2278.3,0.35022
2279.3,0.35021
2280.3,0.35029
2281.3,0.35034
2282.3,0.35029
2283.3,0.35025
2284.3,0.35024
2285.3,0.3502
2286.3,0.35015
2287.3,0.3502
2288.4,0.35028
2289.4,0.35033
2290.4,0.35031
2291.4,0.35027
2292.4,0.35028
