Wavenumber (cm-1)	Wavelength (µm)	Wavelength (nm)	SynOl_Fo30
33333	0.30000	300.00	0.038370
32787	0.30500	305.00	0.040210
32258	0.31000	310.00	0.037970
31746	0.31500	315.00	0.039240
31250	0.32000	320.00	0.039710
30769	0.32500	325.00	0.040580
30303	0.33000	330.00	0.042190
29851	0.33500	335.00	0.042260
29412	0.34000	340.00	0.043390
28986	0.34500	345.00	0.044730
28571	0.35000	350.00	0.046300
28169	0.35500	355.00	0.048050
27778	0.36000	360.00	0.050100
27397	0.36500	365.00	0.051870
27027	0.37000	370.00	0.054080
26667	0.37500	375.00	0.056160
26316	0.38000	380.00	0.058460
25974	0.38500	385.00	0.060440
25641	0.39000	390.00	0.062560
25316	0.39500	395.00	0.065040
25000	0.40000	400.00	0.066740
24691	0.40500	405.00	0.068110
24390	0.41000	410.00	0.070350
24096	0.41500	415.00	0.073000
23810	0.42000	420.00	0.075960
23529	0.42500	425.00	0.079160
23256	0.43000	430.00	0.082380
22989	0.43500	435.00	0.085210
22727	0.44000	440.00	0.087780
22472	0.44500	445.00	0.089710
22222	0.45000	450.00	0.091380
21978	0.45500	455.00	0.094230
21739	0.46000	460.00	0.097350
21505	0.46500	465.00	0.10126
21277	0.47000	470.00	0.10476
21053	0.47500	475.00	0.10891
20833	0.48000	480.00	0.11339
20619	0.48500	485.00	0.11739
20408	0.49000	490.00	0.12091
20202	0.49500	495.00	0.12389
20000	0.50000	500.00	0.12736
19802	0.50500	505.00	0.13168
19608	0.51000	510.00	0.13544
19417	0.51500	515.00	0.13857
19231	0.52000	520.00	0.14178
19048	0.52500	525.00	0.14478
18868	0.53000	530.00	0.14778
18692	0.53500	535.00	0.15156
18519	0.54000	540.00	0.15561
18349	0.54500	545.00	0.15977
18182	0.55000	550.00	0.16413
18018	0.55500	555.00	0.16757
17857	0.56000	560.00	0.17197
17699	0.56500	565.00	0.17577
17544	0.57000	570.00	0.17949
17391	0.57500	575.00	0.18298
17241	0.58000	580.00	0.18604
17094	0.58500	585.00	0.18895
16949	0.59000	590.00	0.19163
16807	0.59500	595.00	0.19406
16667	0.60000	600.00	0.19625
16529	0.60500	605.00	0.19817
16393	0.61000	610.00	0.20019
16260	0.61500	615.00	0.20230
16129	0.62000	620.00	0.20440
16000	0.62500	625.00	0.20648
15873	0.63000	630.00	0.20860
15748	0.63500	635.00	0.21066
15625	0.64000	640.00	0.21304
15504	0.64500	645.00	0.21535
15385	0.65000	650.00	0.21765
15267	0.65500	655.00	0.21997
15152	0.66000	660.00	0.22210
15038	0.66500	665.00	0.22430
14925	0.67000	670.00	0.22656
14815	0.67500	675.00	0.22872
14706	0.68000	680.00	0.23070
14599	0.68500	685.00	0.23290
14493	0.69000	690.00	0.23492
14388	0.69500	695.00	0.23728
14286	0.70000	700.00	0.23913
14184	0.70500	705.00	0.24120
14085	0.71000	710.00	0.24292
13986	0.71500	715.00	0.24526
13889	0.72000	720.00	0.24680
13793	0.72500	725.00	0.25053
13699	0.73000	730.00	0.25230
13605	0.73500	735.00	0.25424
13514	0.74000	740.00	0.25588
13423	0.74500	745.00	0.25745
13333	0.75000	750.00	0.25935
13245	0.75500	755.00	0.26062
13158	0.76000	760.00	0.26248
13072	0.76500	765.00	0.26347
12987	0.77000	770.00	0.26473
12903	0.77500	775.00	0.26554
12821	0.78000	780.00	0.26620
12739	0.78500	785.00	0.26710
12658	0.79000	790.00	0.26738
12579	0.79500	795.00	0.26794
12500	0.80000	800.00	0.26907
12422	0.80500	805.00	0.26838
12346	0.81000	810.00	0.26822
12270	0.81500	815.00	0.26693
12195	0.82000	820.00	0.26669
12121	0.82500	825.00	0.26615
12048	0.83000	830.00	0.26517
11976	0.83500	835.00	0.26481
11905	0.84000	840.00	0.26352
11834	0.84500	845.00	0.26274
11765	0.85000	850.00	0.26165
11696	0.85500	855.00	0.25964
11628	0.86000	860.00	0.25848
11561	0.86500	865.00	0.25736
11494	0.87000	870.00	0.25632
11429	0.87500	875.00	0.25441
11364	0.88000	880.00	0.25340
11299	0.88500	885.00	0.25215
11236	0.89000	890.00	0.25134
