Wavelength (µm)	split 92 <125 µm
0.30000	0.069058
0.30500	0.069252
0.31000	0.070823
0.31500	0.074713
0.32000	0.079134
0.32500	0.083104
0.33000	0.087733
0.33500	0.093737
0.34000	0.099702
0.34500	0.10602
0.35000	0.11262
0.35500	0.11999
0.36000	0.12746
0.36500	0.13484
0.37000	0.14202
0.37500	0.14882
0.38000	0.15526
0.38500	0.16231
0.39000	0.16740
0.39500	0.17275
0.40000	0.17808
0.40500	0.18402
0.41000	0.18815
0.41500	0.19260
0.42000	0.19620
0.42500	0.19883
0.43000	0.20147
0.43500	0.20463
0.44000	0.20740
0.44500	0.20989
0.45000	0.21251
0.45500	0.21550
0.46000	0.21956
0.46500	0.22242
0.47000	0.22462
0.47500	0.22744
0.48000	0.23045
0.48500	0.23384
0.49000	0.23665
0.49500	0.24028
0.50000	0.24331
0.50500	0.24208
0.51000	0.24805
0.51500	0.25356
0.52000	0.25736
0.52500	0.26032
0.53000	0.26370
0.53500	0.26539
0.54000	0.26648
0.54500	0.26723
0.55000	0.26880
0.55500	0.27200
0.56000	0.27459
0.56500	0.27686
0.57000	0.27842
0.57500	0.28009
0.58000	0.28187
0.58500	0.28317
0.59000	0.28455
0.59500	0.28585
0.60000	0.28671
0.60500	0.28751
0.61000	0.28841
0.61500	0.28977
0.62000	0.29038
0.62500	0.29083
0.63000	0.29215
0.63500	0.29289
0.64000	0.29352
0.64500	0.29424
0.65000	0.29452
0.65500	0.29538
0.66000	0.29569
0.66500	0.29583
0.67000	0.29659
0.67500	0.29690
0.68000	0.29761
0.68500	0.29806
0.69000	0.29788
0.69500	0.29759
0.70000	0.29838
0.70500	0.29750
0.71000	0.29788
0.71500	0.29735
0.72000	0.29709
0.72500	0.29618
0.73000	0.29554
0.73500	0.29407
0.74000	0.29242
0.74500	0.29076
0.75000	0.28657
0.75500	0.28366
0.76000	0.28065
0.76500	0.27656
0.77000	0.27268
0.77500	0.26761
0.78000	0.26243
0.78500	0.25678
0.79000	0.25110
0.79500	0.24420
0.80000	0.23788
0.80500	0.23056
0.81000	0.22326
0.81500	0.21585
0.82000	0.20814
0.82500	0.20087
0.83000	0.19392
0.83500	0.18703
0.84000	0.18006
0.84500	0.17373
0.85000	0.16770
0.85500	0.16391
0.86000	0.15887
0.86500	0.15428
0.87000	0.14957
0.87500	0.14535
0.88000	0.14179
0.88500	0.13806
0.89000	0.13533
0.89500	0.13268
0.90000	0.13042
0.90500	0.12858
0.91000	0.12708
0.91500	0.12591
0.92000	0.12538
0.92500	0.12470
0.93000	0.12481
0.93500	0.12500
0.94000	0.12576
0.94500	0.12692
0.95000	0.12851
0.95500	0.13018
0.96000	0.13250
0.96500	0.13514
0.97000	0.13818
0.97500	0.14191
0.98000	0.14589
0.98500	0.15020
0.99000	0.15497
0.99500	0.15966
1.0000	0.16519
1.0050	0.17079
1.0100	0.17644
1.0150	0.18246
1.0200	0.18841
1.0250	0.19440
1.0300	0.20066
1.0350	0.20673
1.0400	0.21243
1.0450	0.21859
1.0500	0.22408
1.0550	0.22896
1.0600	0.23442
1.0650	0.23897
1.0700	0.24336
1.0750	0.24763
1.0800	0.25103
1.0850	0.25483
1.0900	0.25780
1.0950	0.26063
1.1000	0.26291
1.1050	0.26506
1.1100	0.26754
1.1150	0.26935
1.1200	0.27067
1.1250	0.27200
1.1300	0.27366
1.1350	0.27480
1.1400	0.27627
1.1450	0.27694
1.1500	0.27819
1.1550	0.27911
1.1600	0.28049
1.1650	0.28106
1.1700	0.28233
1.1750	0.28279
1.1800	0.28380
1.1850	0.28449
1.1900	0.28538
1.1950	0.28607
1.2000	0.28727
1.2050	0.28815
1.2100	0.28927
1.2150	0.29019
1.2200	0.29022
1.2250	0.29126
1.2300	0.29253
1.2350	0.29340
1.2400	0.29406
1.2450	0.29512
1.2500	0.29578
1.2550	0.29647
1.2600	0.29705
1.2650	0.29821
1.2700	0.29876
1.2750	0.29954
1.2800	0.30046
1.2850	0.30047
1.2900	0.30203
1.2950	0.30238
1.3000	0.30399
1.3050	0.30402
1.3100	0.30494
1.3150	0.30562
1.3200	0.30637
1.3250	0.30724
1.3300	0.30786
1.3350	0.30867
1.3400	0.30890
1.3450	0.30916
1.3500	0.30970
1.3550	0.30952
1.3600	0.30982
1.3650	0.31021
1.3700	0.31075
1.3750	0.31126
1.3800	0.31145
1.3850	0.31134
1.3900	0.31167
1.3950	0.31180
1.4000	0.31171
1.4050	0.31213
1.4100	0.31245
1.4150	0.31204
1.4200	0.31172
1.4250	0.31185
1.4300	0.31107
1.4350	0.31119
1.4400	0.31121
1.4450	0.31055
1.4500	0.31031
1.4550	0.30927
1.4600	0.30900
1.4650	0.30805
1.4700	0.30721
1.4750	0.30691
1.4800	0.30612
1.4850	0.30477
1.4900	0.30358
1.4950	0.30291
1.5000	0.30182
1.5050	0.30037
1.5100	0.29947
1.5150	0.29798
1.5200	0.29663
1.5250	0.29488
1.5300	0.29390
1.5350	0.29226
1.5400	0.29075
1.5450	0.28934
1.5500	0.28764
1.5550	0.28601
1.5600	0.28443
1.5650	0.28256
1.5700	0.28108
1.5750	0.27919
1.5800	0.27757
1.5850	0.27560
1.5900	0.27375
1.5950	0.27193
1.6000	0.27036
1.6050	0.26839
1.6100	0.26643
1.6150	0.26469
1.6200	0.26277
1.6250	0.26086
1.6300	0.25902
1.6350	0.25662
1.6400	0.25498
1.6450	0.25319
1.6500	0.25168
1.6550	0.24983
1.6600	0.24688
1.6650	0.24559
1.6700	0.24340
1.6750	0.24157
1.6800	0.24003
1.6850	0.23819
1.6900	0.23655
1.6950	0.23464
1.7000	0.23459
1.7050	0.23213
1.7100	0.23008
1.7150	0.22839
1.7200	0.22629
1.7250	0.22493
1.7300	0.22350
1.7350	0.22222
1.7400	0.22028
1.7450	0.21824
1.7500	0.21690
1.7550	0.21419
1.7600	0.21283
1.7650	0.21145
1.7700	0.21014
1.7750	0.20874
1.7800	0.20718
1.7850	0.20609
1.7900	0.20486
1.7950	0.20363
1.8000	0.20288
1.8050	0.20155
1.8100	0.20046
1.8150	0.19950
1.8200	0.19853
1.8250	0.19742
1.8300	0.19642
1.8350	0.19540
1.8400	0.19446
1.8450	0.19381
1.8500	0.19302
1.8550	0.19239
1.8600	0.19157
1.8650	0.19121
1.8700	0.19081
1.8750	0.18931
1.8800	0.18885
1.8850	0.18858
1.8900	0.18808
1.8950	0.18778
1.9000	0.18741
1.9050	0.18693
1.9100	0.18653
1.9150	0.18632
1.9200	0.18613
1.9250	0.18614
1.9300	0.18580
1.9350	0.18609
1.9400	0.18630
1.9450	0.18627
1.9500	0.18618
1.9550	0.18617
1.9600	0.18638
1.9650	0.18667
1.9700	0.18681
1.9750	0.18703
1.9800	0.18750
1.9850	0.18779
1.9900	0.18818
1.9950	0.18856
2.0000	0.18908
2.0050	0.18942
2.0100	0.19015
2.0150	0.19061
2.0200	0.19164
2.0250	0.19232
2.0300	0.19308
2.0350	0.19364
2.0400	0.19432
2.0450	0.19497
2.0500	0.19568
2.0550	0.19657
2.0600	0.19746
2.0650	0.19854
2.0700	0.19953
2.0750	0.20046
2.0800	0.20166
2.0850	0.20276
2.0900	0.20410
2.0950	0.20505
2.1000	0.20619
2.1050	0.20750
2.1100	0.20888
2.1150	0.21028
2.1200	0.21160
2.1250	0.21302
2.1300	0.21452
2.1350	0.21588
2.1400	0.21720
2.1450	0.21858
2.1500	0.22000
2.1550	0.22166
2.1600	0.22332
2.1650	0.22488
2.1700	0.22649
2.1750	0.22840
2.1800	0.23018
2.1850	0.23211
2.1900	0.23379
2.1950	0.23543
2.2000	0.23732
2.2050	0.23936
2.2100	0.24124
2.2150	0.24321
2.2200	0.24524
2.2250	0.24708
2.2300	0.24898
2.2350	0.25073
2.2400	0.25298
2.2450	0.25463
2.2500	0.25657
2.2550	0.25856
2.2600	0.26051
2.2650	0.26254
2.2700	0.26452
2.2750	0.26668
2.2800	0.26890
2.2850	0.27098
2.2900	0.27281
2.2950	0.27435
2.3000	0.27666
2.3050	0.27848
2.3100	0.28052
2.3150	0.28229
2.3200	0.28430
2.3250	0.28625
2.3300	0.28815
2.3350	0.28999
2.3400	0.29174
2.3450	0.29345
2.3500	0.29492
2.3550	0.29685
2.3600	0.29882
2.3650	0.30076
2.3700	0.30265
2.3750	0.30436
2.3800	0.30610
2.3850	0.30793
2.3900	0.31004
2.3950	0.31250
2.4000	0.31449
2.4002	0.31465
2.4005	0.31451
2.4008	0.31475
2.4011	0.31505
2.4013	0.31498
2.4016	0.31505
2.4019	0.31536
2.4022	0.31557
2.4024	0.31551
2.4027	0.31549
2.4030	0.31549
2.4033	0.31548
2.4036	0.31553
2.4038	0.31578
2.4041	0.31604
2.4044	0.31596
2.4047	0.31593
2.4050	0.31628
