Wavelength (µm)	ALH-271, spot f
0.30000	0.057685
0.30500	0.060534
0.31000	0.062072
0.31500	0.064111
0.32000	0.068480
0.32500	0.071183
0.33000	0.074777
0.33500	0.078965
0.34000	0.082435
0.34500	0.086173
0.35000	0.090999
0.35500	0.094995
0.36000	0.099534
0.36500	0.10473
0.37000	0.10834
0.37500	0.11285
0.38000	0.11743
0.38500	0.12090
0.39000	0.12473
0.39500	0.12808
0.40000	0.13209
0.40500	0.13590
0.41000	0.13773
0.41500	0.14179
0.42000	0.14447
0.42500	0.14588
0.43000	0.14743
0.43500	0.14920
0.44000	0.15044
0.44500	0.15162
0.45000	0.15320
0.45500	0.15445
0.46000	0.15638
0.46500	0.15772
0.47000	0.15935
0.47500	0.16070
0.48000	0.16214
0.48500	0.16366
0.49000	0.16520
0.49500	0.16720
0.50000	0.16865
0.50500	0.16756
0.51000	0.17121
0.51500	0.17481
0.52000	0.17717
0.52500	0.17934
0.53000	0.18044
0.53500	0.18155
0.54000	0.18194
0.54500	0.18169
0.55000	0.18254
0.55500	0.18381
0.56000	0.18538
0.56500	0.18682
0.57000	0.18745
0.57500	0.18798
0.58000	0.18889
0.58500	0.18952
0.59000	0.19001
0.59500	0.19022
0.60000	0.19047
0.60500	0.19097
0.61000	0.19094
0.61500	0.19169
0.62000	0.19188
0.62500	0.19180
0.63000	0.19213
0.63500	0.19201
0.64000	0.19253
0.64500	0.19217
0.65000	0.19225
0.65500	0.19177
0.66000	0.19171
0.66500	0.19132
0.67000	0.19140
0.67500	0.19115
0.68000	0.19208
0.68500	0.19122
0.69000	0.19072
0.69500	0.18999
0.70000	0.18974
0.70500	0.18920
0.71000	0.18930
0.71500	0.18837
0.72000	0.18813
0.72500	0.18722
0.73000	0.18564
0.73500	0.18414
0.74000	0.18288
0.74500	0.18143
0.75000	0.17957
0.75500	0.17739
0.76000	0.17253
0.76500	0.16979
0.77000	0.16624
0.77500	0.16308
0.78000	0.15879
0.78500	0.15483
0.79000	0.15049
0.79500	0.14595
0.80000	0.14078
0.80500	0.13604
0.81000	0.13146
0.81500	0.12724
0.82000	0.12274
0.82500	0.11866
0.83000	0.11439
0.83500	0.11083
0.84000	0.10715
0.84500	0.10359
0.85000	0.10099
0.85500	0.097655
0.86000	0.095354
0.86500	0.092999
0.87000	0.090642
0.87500	0.088341
0.88000	0.086438
0.88500	0.084687
0.89000	0.082984
0.89500	0.081472
0.90000	0.080072
0.90500	0.079474
0.91000	0.078286
0.91500	0.077869
0.92000	0.077461
0.92500	0.077081
0.93000	0.076681
0.93500	0.076998
0.94000	0.077151
0.94500	0.077508
0.95000	0.078030
0.95500	0.078737
0.96000	0.079724
0.96500	0.080457
0.97000	0.082012
0.97500	0.083375
0.98000	0.084670
0.98500	0.086661
0.99000	0.088489
0.99500	0.090660
1.0000	0.092736
1.0050	0.095211
1.0100	0.097521
1.0150	0.10019
1.0200	0.10300
1.0250	0.10572
1.0300	0.10851
1.0350	0.11154
1.0400	0.11407
1.0450	0.11677
1.0500	0.11998
1.0550	0.12234
1.0600	0.12485
1.0650	0.12715
1.0700	0.12933
1.0750	0.13136
1.0800	0.13319
1.0850	0.13491
1.0900	0.13645
1.0950	0.13821
1.1000	0.13943
1.1050	0.14065
1.1100	0.14165
1.1150	0.14270
1.1200	0.14383
1.1250	0.14428
1.1300	0.14502
1.1350	0.14538
1.1400	0.14615
1.1450	0.14650
1.1500	0.14699
1.1550	0.14771
1.1600	0.14780
1.1650	0.14813
1.1700	0.14827
1.1750	0.14885
1.1800	0.14954
1.1850	0.14929
1.1900	0.14985
1.1950	0.15039
1.2000	0.15071
1.2050	0.15134
1.2100	0.15160
1.2150	0.15227
1.2200	0.15254
1.2250	0.15270
1.2300	0.15270
1.2350	0.15301
1.2400	0.15347
1.2450	0.15353
1.2500	0.15371
1.2550	0.15430
1.2600	0.15404
1.2650	0.15474
1.2700	0.15488
1.2750	0.15487
1.2800	0.15519
1.2850	0.15562
1.2900	0.15592
1.2950	0.15634
1.3000	0.15669
1.3050	0.15673
1.3100	0.15713
1.3150	0.15749
1.3200	0.15778
1.3250	0.15833
1.3300	0.15820
1.3350	0.15870
1.3400	0.15884
1.3450	0.15887
1.3500	0.15875
1.3550	0.15878
1.3600	0.15857
1.3650	0.15924
1.3700	0.15911
1.3750	0.15946
1.3800	0.15888
1.3850	0.15985
1.3900	0.15946
1.3950	0.15874
1.4000	0.15830
1.4050	0.15803
1.4100	0.15847
1.4150	0.15809
1.4200	0.15778
1.4250	0.15766
1.4300	0.15762
1.4350	0.15704
1.4400	0.15648
1.4450	0.15595
1.4500	0.15547
1.4550	0.15519
1.4600	0.15439
1.4650	0.15396
1.4700	0.15306
1.4750	0.15263
1.4800	0.15184
1.4850	0.15095
1.4900	0.15049
1.4950	0.14946
1.5000	0.14881
1.5050	0.14795
1.5100	0.14706
1.5150	0.14626
1.5200	0.14530
1.5250	0.14439
1.5300	0.14331
1.5350	0.14212
1.5400	0.14131
1.5450	0.14035
1.5500	0.13910
1.5550	0.13821
1.5600	0.13691
