Wavelength (µm) raw,Haleakala tephra JB395B 45-125 raw,Wavelength (µm) bin avg,Haleakala tephra JB395B 45-125 bin avg,Wavelength (µm) cubic spline of bin avg,Haleakala tephra JB395B 45-125 cubic spline of bin avg
0.3,0.033494,0.44602,0.048646499999999995,0.44602,0.048646499999999995
0.305,0.028123,0.456,0.051028000000000004,0.45600098039215686,0.05102821614376333
0.31,0.02925,0.46598,0.053043,0.46598196078431375,0.053043359083402276
0.315,0.027188,0.47596,0.05488,0.47596294117647064,0.054880602689259504
0.32,0.026674,0.48595,0.057307,0.4859439215686275,0.05730530881646331
0.325,0.02674,0.49593,0.0603675,0.4959249019607843,0.06036581279569491
0.33,0.026484,0.50591,0.063804,0.5059058823529412,0.06380255506977324
0.335,0.027509,0.51589,0.0674095,0.5158868627450981,0.06740830089192433
0.34,0.028453,0.52587,0.0716255,0.525867843137255,0.0716244834147826
0.345,0.028406,0.53585,0.076994,0.5358488235294118,0.07699327820779316
0.35,0.029087,0.54583,0.084089,0.5458298039215687,0.08408883900608831
0.355,0.029786,0.55581,0.093657,0.5558107843137255,0.09365787146051717
0.36,0.030234,0.56579,0.10613500000000001,0.5657917647058823,0.10613740282596544
0.365,0.030639,0.57577,0.120205,0.5757727450980392,0.12020890602490412
0.37,0.031258,0.58576,0.133955,0.5857537254901961,0.13394680911115173
0.375,0.03221,0.59574,0.145875,0.595734705882353,0.1458693463675393
0.38,0.033115,0.60572,0.15532,0.6057156862745099,0.15531635194915533
0.385,0.034255,0.6157,0.16291,0.6156966666666667,0.16290776553097577
0.39,0.035848,0.62568,0.16884,0.6256776470588236,0.1688387358782705
0.395,0.037278,0.63566,0.17374499999999998,0.6356586274509805,0.1737443991772025
0.4,0.037756,0.64564,0.177635,0.6456396078431372,0.17763486054501387
0.405,0.038746,0.65562,0.18110500000000002,0.6556205882352941,0.18110520720845083
0.41,0.039654,0.6656,0.184695,0.665601568627451,0.18469556097222267
0.415,0.040646,0.67558,0.18814,0.6755825490196079,0.18814084623889749
0.42,0.041576,0.68556,0.191405,0.6855635294117648,0.1914061698546097
0.425,0.042793,0.69555,0.194695,0.6955445098039216,0.19469328898089683
0.43,0.043807,0.70553,0.197575,0.7055254901960785,0.1975737566164184
0.435,0.045078,0.71551,0.20004,0.7155064705882352,0.20003932133630623
0.44,0.046475,0.72549,0.20147500000000002,0.7254874509803921,0.20147467475263778
0.445,0.047962,0.73547,0.20263,0.735468431372549,0.20262988093541406
0.45,0.049331,0.74545,0.20288499999999998,0.7454494117647059,0.2028850043085965
0.455,0.050519,0.75543,0.20264,0.7554303921568628,0.20263998290755536
0.46,0.051537,0.76541,0.20203,0.7654113725490197,0.20202989657795295
0.465,0.052603,0.77539,0.201145,0.7753923529411766,0.20114475429935644
0.47,0.053483,0.78537,0.20002,0.7853733333333334,0.20001962939402515
0.475,0.054418,0.79536,0.19883499999999998,0.7953543137254901,0.19883582369716704
0.48,0.055342,0.80534,0.19727,0.805335294117647,0.19727063835710595
0.485,0.05667,0.81532,0.196085,0.8153162745098039,0.19608551876627692
0.49,0.057944,0.8253,0.19455,0.8252972549019608,0.19455034300602356
0.495,0.059619,0.83528,0.19375,0.8352782352941177,0.19375011100585993
0.5,0.061116,0.84526,0.19285,0.8452592156862746,0.1928501054622554
0.505,0.062935,0.85524,0.191245,0.8552401960784315,0.19124497015230402
0.51,0.064673,0.86522,0.190205,0.8652211764705883,0.19020493915546596
0.515,0.066464,0.8752,0.19022,0.875202156862745,0.19022011003458097
0.52,0.068355,0.88518,0.19048500000000002,0.8851831372549019,0.1904847860909781
0.525,0.070459,0.89517,0.18895,0.8951641176470588,0.1889509391716521
0.53,0.072792,0.90515,0.187945,0.9051450980392157,0.18794527652417373
0.535,0.075526,0.91513,0.18785000000000002,0.9151260784313726,0.1878497862431462
0.54,0.078462,0.92511,0.18886,0.9251070588235295,0.18885966678412824
0.545,0.082057,0.93509,0.189695,0.9350880392156864,0.18969490797874855
0.55,0.086121,0.94507,0.18989499999999998,0.9450690196078432,0.1898949900530385
0.555,0.090981,0.95505,0.190135,0.95505,0.190135
0.56,0.096333,0.96503,0.19072,0.9650309803921568,0.19072005767097555
0.565,0.10277,0.97501,0.19124000000000002,0.9750119607843137,0.1912401021703275
0.57,0.1095,0.98499,0.19178,0.9849929411764706,0.19178015113877178
0.575,0.11677,0.99497,0.192295,0.9949739215686275,0.19229523324440512
0.58,0.12364,1.00496,0.193005,1.0049549019607844,0.19300459862573963
0.585,0.13073,1.01494,0.19379000000000002,1.0149358823529413,0.19378969204612692
0.59,0.13718,1.02492,0.19440000000000002,1.0249168627450982,0.19439986989428734
0.595,0.14324,1.0349,0.19469999999999998,1.0348978431372549,0.19469992902792
0.6,0.14851,1.04488,0.19500499999999998,1.0448788235294117,0.19500498968267208
0.605,0.15315,1.05486,0.19495,1.0548598039215686,0.19494999859193698
0.61,0.15749,1.06484,0.19523000000000001,1.0648407843137255,0.1952300236403832
0.615,0.16136,1.07482,0.19552,1.0748217647058824,0.19552007693219586
0.62,0.16446,1.0848,0.19599499999999997,1.0848027450980393,0.19599506985043602
0.625,0.16759,1.09478,0.19583,1.0947837254901962,0.19582980534549915
0.63,0.17009,1.10477,0.1953,1.104764705882353,0.19530013375075186
0.635,0.17268,1.11475,0.19542,1.1147456862745098,0.19541986996357294
