Wavelength (µm) raw,Icelandic pillow lava JB602F raw,Wavelength (µm) bin avg,Icelandic pillow lava JB602F bin avg,Wavelength (µm) cubic spline of bin avg,Icelandic pillow lava JB602F cubic spline of bin avg
0.32,0.04087,0.44602,0.07749500000000001,0.44602,0.07749500000000001
0.325,0.04287,0.456,0.07945,0.45600098039215686,0.07945018759523118
0.33,0.0438,0.46598,0.08135,0.46598196078431375,0.08135037490881564
0.335,0.04416,0.47596,0.083365,0.47596294117647064,0.08336564912439014
0.34,0.04476,0.48595,0.085895,0.4859439215686275,0.08589322851959727
0.345,0.04594,0.49593,0.089065,0.4959249019607843,0.08906333719995314
0.35,0.04683,0.50591,0.09235499999999999,0.5059058823529412,0.09235357624838672
0.355,0.04799,0.51589,0.09595000000000001,0.5158868627450981,0.09594886944835168
0.36,0.04943,0.52587,0.0994,0.525867843137255,0.09939928710681234
0.365,0.05073,0.53585,0.102545,0.5358488235294118,0.10254464702527077
0.37,0.05182,0.54583,0.10543,0.5458298039215687,0.10542994470619534
0.375,0.05356,0.55581,0.10818,0.5558107843137255,0.10818020852284285
0.38,0.05521,0.56579,0.110695,0.5657917647058823,0.11069541857702034
0.385,0.05678,0.57577,0.1129,0.5757727450980392,0.1129005604929298
0.39,0.05868,0.58576,0.114785,0.5857537254901961,0.11478390206859666
0.395,0.06072,0.59574,0.11643,0.595734705882353,0.11642917167708569
0.4,0.06233,0.60572,0.117875,0.6057156862745099,0.11787444757637242
0.405,0.06398,0.6157,0.11898500000000001,0.6156966666666667,0.1189846687626325
0.41,0.0653,0.62568,0.119855,0.6256776470588236,0.1198548360760104
0.415,0.06691,0.63566,0.12040999999999999,0.6356586274509805,0.12040993090853842
0.42,0.06865,0.64564,0.120925,0.6456396078431372,0.12092498014630894
0.425,0.07049,0.65562,0.1214,0.6556205882352941,0.12140002632314333
0.43,0.07241,0.6656,0.12181,0.665601568627451,0.12181005710805265
0.435,0.07402,0.67558,0.122135,0.6755825490196079,0.12213507790628651
0.44,0.07575,0.68556,0.122445,0.6855635294117648,0.12244511372479137
0.445,0.077,0.69555,0.122835,0.6955445098039216,0.1228347208584866
0.45,0.07799,0.70553,0.12342,0.7055254901960785,0.12341974132919853
0.455,0.07902,0.71551,0.123905,0.7155064705882352,0.12390485394845974
0.46,0.07988,0.72549,0.124275,0.7254874509803921,0.12427491296476227
0.465,0.08096,0.73547,0.124645,0.735468431372549,0.12464493021651041
0.47,0.08174,0.74545,0.12512,0.7454494117647059,0.12511997534747404
0.475,0.08281,0.75543,0.12549500000000002,0.7554303921568628,0.12549501701531046
0.48,0.08392,0.76541,0.12595499999999998,0.7654113725490197,0.12595504877576824
0.485,0.08518,0.77539,0.126115,0.7753923529411766,0.1261150019344445
0.49,0.08661,0.78537,0.126205,0.7853733333333334,0.12620512109016585
0.495,0.08827,0.79536,0.126695,0.7953543137254901,0.12669484013077037
0.5,0.08986,0.80534,0.12662,0.805335294117647,0.12662011341494378
0.505,0.09145,0.81532,0.126415,0.8153162745098039,0.1264150590721137
0.51,0.09326,0.8253,0.126165,0.8252972549019608,0.1261651351881558
0.515,0.09506,0.83528,0.12547999999999998,0.8352782352941177,0.12548012031779388
0.52,0.09684,0.84526,0.124815,0.8452592156862746,0.12481506576072106
0.525,0.09846,0.85524,0.12386,0.8552401960784315,0.12385998364593069
0.53,0.10034,0.86522,0.122925,0.8652211764705883,0.1229248227354459
0.535,0.10175,0.8752,0.121,0.875202156862745,0.12099962547171011
0.54,0.10334,0.88518,0.11955,0.8851831372549019,0.11954946904815711
0.545,0.1047,0.89517,0.117485,0.8951641176470588,0.11748620828805068
0.55,0.10616,0.90515,0.1156,0.9051450980392157,0.11560096048927755
0.555,0.10749,0.91513,0.11352000000000001,0.9151260784313726,0.1135207948562759
0.56,0.10887,0.92511,0.111545,0.9251070588235295,0.11154562428629901
0.565,0.11011,0.93509,0.109365,0.9350880392156864,0.10936538678373293
0.57,0.11128,0.94507,0.10764499999999999,0.9450690196078432,0.10764516772019761
0.575,0.11236,0.95505,0.10589499999999999,0.95505,0.10589499999999999
0.58,0.11344,0.96503,0.104475,0.9650309803921568,0.10447486694669175
0.585,0.11434,0.97501,0.10325999999999999,0.9750119607843137,0.10325982805955466
0.59,0.11523,0.98499,0.10268,0.9849929411764706,0.102679843911501
0.595,0.11609,0.99497,0.10203999999999999,0.9949739215686275,0.1020397381429689
0.6,0.11677,1.00496,0.1015,1.0049549019607844,0.1015001753659225
0.605,0.11757,1.01494,0.101415,1.0149358823529413,0.10141493156639791
0.61,0.11818,1.02492,0.101685,1.0249168627450982,0.10168492632722001
0.615,0.11875,1.0349,0.101855,1.0348978431372549,0.10185495315133451
0.62,0.11922,1.04488,0.10225000000000001,1.0448788235294117,0.10224993004380661
0.625,0.11965,1.05486,0.10307,1.0548598039215686,0.1030699792854063
0.63,0.12006,1.06484,0.10426,1.0648407843137255,0.10426009581399363
0.635,0.12025,1.07482,0.10525999999999999,1.0748217647058824,0.10526011295708693
0.64,0.12057,1.0848,0.105895,1.0848027450980393,0.10589531095155479
0.645,0.12085,1.09478,0.10744999999999999,1.0947837254901962,0.10745052634008372
0.65,0.121,1.10477,0.10855000000000001,1.104764705882353,0.10854936823760213
0.655,0.12133,1.11475,0.10994999999999999,1.1147456862745098,0.1099494284607754
0.66,0.12147,1.12473,0.111145,1.1247266666666667,0.11114456406779528
0.665,0.12178,1.13471,0.11247499999999999,1.1347076470588235,0.11247475672910996
0.67,0.12184,1.14469,0.11324999999999999,1.1446886274509804,0.11324987857619426
0.675,0.12201,1.15467,0.11431,1.1546696078431373,0.11430996300404922
0.68,0.12226,1.16465,0.11508,1.1646505882352942,0.11508004957496945
0.685,0.12235,1.17463,0.115985,1.174631568627451,0.11598511303486861
0.69,0.12254,1.18461,0.11655,1.184612549019608,0.11655017678030345
0.695,0.12265,1.19459,0.117365,1.1945935294117647,0.1173652307526251
0.7,0.12302,1.20458,0.11787500000000001,1.2045745098039216,0.11787463085305117
0.705,0.12332,1.21456,0.11873500000000001,1.2145554901960784,0.11873465145924082
0.71,0.12352,1.22454,0.11918000000000001,1.2245364705882353,0.11917994368490976
0.715,0.12377,1.23452,0.11926,1.2345174509803922,0.11925995729973968
0.72,0.12404,1.2445,0.11956,1.2444984313725491,0.11955995097974954
0.725,0.12412,1.25448,0.119915,1.254479411764706,0.11991496756539223
0.73,0.12443,1.26446,0.120525,1.264460392156863,0.12052501500623339
0.735,0.12454,1.27444,0.12071,1.2744413725490196,0.12071004223531316
0.74,0.12475,1.28442,0.12124,1.2844223529411765,0.12124012610691126
0.745,0.12499,1.2944,0.12173500000000001,1.2944033333333334,0.12173520986412281
0.75,0.12525,1.30438,0.12248,1.3043843137254902,0.12248029047642113
0.755,0.12551,1.31437,0.12304000000000001,1.3143652941176471,0.12303971864344909
0.76,0.12548,1.32435,0.12375,1.324346274509804,0.12374972029913776
0.765,0.12592,1.33433,0.124365,1.334327254901961,0.12436489512775344
0.77,0.12599,1.34431,0.1246,1.3443082352941178,0.1245999511995622
0.775,0.12604,1.35429,0.12492615384615384,1.3542892156862745,0.12492613826877408
0.78,0.12619,1.36427,0.1250557142857143,1.3642701960784314,0.12505572014776145
0.785,0.12616,1.37425,0.1256081481481481,1.3742511764705883,0.12560822528509116
0.79,0.12625,1.38423,0.1262522222222222,1.3842321568627451,0.12625236783118812
0.795,0.12654,1.39421,0.12698814814814813,1.394213137254902,0.12698839671831139
0.8,0.12685,1.40419,0.12780269230769228,1.404194117647059,0.1278030284852306
0.805,0.12665,1.41418,0.1286180769230769,1.4141750980392158,0.12861766561564442
0.81,0.12659,1.42416,0.12950800000000004,1.4241560784313727,0.12950762708143337
0.815,0.12658,1.43414,0.13048500000000002,1.4341370588235294,0.1304847149868792
0.82,0.12625,1.44412,0.13142666666666666,1.4441180392156863,0.13142648226647258
0.825,0.12624,1.4541,0.13235919999999998,1.4540990196078432,0.1323591114643436
