Wavelength (µm) raw,SynOl_Fo50 raw,Wavelength (µm) bin avg,SynOl_Fo50 bin avg,Wavelength (µm) cubic spline of bin avg,SynOl_Fo50 cubic spline of bin avg
0.3,0.06,0.44602,0.42491999999999996,0.44602,0.42491999999999996
0.305,0.06064,0.456,0.425455,0.45600098039215686,0.42545594865092745
0.31,0.05967,0.46598,0.44201,0.46598196078431375,0.4420143899010652
0.315,0.06236,0.47596,0.46519,0.47596294117647064,0.46519594591667973
0.32,0.06763,0.48595,0.47779499999999997,0.4859439215686275,0.4777923957083141
0.325,0.07154,0.49593,0.48324999999999996,0.4959249019607843,0.4832413860900656
0.33,0.07781,0.50591,0.51056,0.5059058823529412,0.5105490521644973
0.335,0.0854,0.51589,0.527485,0.5158868627450981,0.5274819461039124
0.34,0.09618,0.52587,0.53607,0.525867843137255,0.536067591157963
0.345,0.10901,0.53585,0.5513049999999999,0.5358488235294118,0.5513029774149084
0.35,0.12656,0.54583,0.56622,0.5458298039215687,0.5662197903140139
0.355,0.14759,0.55581,0.572945,0.5558107843137255,0.5729453986475734
0.36,0.17141,0.56579,0.57741,0.5657917647058823,0.5774104609478289
0.365,0.199,0.57577,0.578255,0.5757727450980392,0.5782551177978154
0.37,0.22733,0.58576,0.57934,0.5857537254901961,0.5793390780924143
0.375,0.25567,0.59574,0.58002,0.595734705882353,0.5800205307221608
0.38,0.28224,0.60572,0.577895,0.6057156862745099,0.5778957757975678
0.385,0.30699,0.6157,0.5772649999999999,0.6156966666666667,0.5772650290081148
0.39,0.3306,0.62568,0.578075,0.6256776470588236,0.5780743679345663
0.395,0.34941,0.63566,0.58316,0.6356586274509805,0.5831590310517245
0.4,0.35307,0.64564,0.5904050000000001,0.6456396078431372,0.5904047592738836
0.405,0.36675,0.65562,0.5947,0.6556205882352941,0.5947001809395697
0.41,0.39155,0.6656,0.596585,0.665601568627451,0.5965850210717647
0.415,0.40388,0.67558,0.5946750000000001,0.6755825490196079,0.5946740593269496
0.42,0.41123,0.68556,0.590115,0.6855635294117648,0.5901132975283827
0.425,0.41622,0.69555,0.5845899999999999,0.6955445098039216,0.5845940147912618
0.43,0.42026,0.70553,0.575825,0.7055254901960785,0.5758289966030861
0.435,0.42529,0.71551,0.567105,0.7155064705882352,0.5671084585883629
0.44,0.43012,0.72549,0.556,0.7254874509803921,0.5560029396220516
0.445,0.42862,0.73547,0.544625,0.735468431372549,0.5446268268229839
0.45,0.42122,0.74545,0.532635,0.7454494117647059,0.532635712874475
0.455,0.42134,0.75543,0.5201899999999999,0.7554303921568628,0.5201894772378456
0.46,0.42957,0.76541,0.50617,0.7654113725490197,0.5061680628328504
0.465,0.43931,0.77539,0.49219,0.7753923529411766,0.49218661570607164
0.47,0.44471,0.78537,0.4778,0.7853733333333334,0.4777954552971583
0.475,0.45806,0.79536,0.46457000000000004,0.7953543137254901,0.46457799778299846
0.48,0.47232,0.80534,0.449775,0.805335294117647,0.4497817327131557
0.485,0.47687,0.81532,0.43665,0.8153162745098039,0.4366547078669936
0.49,0.47872,0.8253,0.424125,0.8252972549019608,0.42412836284604083
0.495,0.47796,0.83528,0.412725,0.8352782352941177,0.4127268143356582
0.5,0.48854,0.84526,0.40293,0.8452592156862746,0.4029308108366815
0.505,0.50448,0.85524,0.39239500000000005,0.8552401960784315,0.3923948141558164
0.51,0.51664,0.86522,0.38437,0.8652211764705883,0.384369112829648
0.515,0.52515,0.8752,0.37678999999999996,0.875202156862745,0.37678843261258443
0.52,0.52982,0.88518,0.37,0.8851831372549019,0.3699979334966146
0.525,0.53368,0.89517,0.36414,0.8951641176470588,0.36414258510951625
0.53,0.53846,0.90515,0.360405,0.9051450980392157,0.36040728486542745
0.535,0.54706,0.91513,0.35441999999999996,0.9151260784313726,0.354422421980402
0.54,0.55555,0.92511,0.34848999999999997,0.9251070588235295,0.34849189742671594
0.545,0.56321,0.93509,0.3416,0.9350880392156864,0.3416012853241992
0.55,0.56923,0.94507,0.33493,0.9450690196078432,0.33493079313030394
0.555,0.57107,0.95505,0.32577999999999996,0.95505,0.32577999999999996
0.56,0.57482,0.96503,0.318215,0.9650309803921568,0.31821425512149765
0.565,0.57653,0.97501,0.3104,0.9750119607843137,0.3103985878140925
0.57,0.57829,0.98499,0.30437,0.9849929411764706,0.3043684674493188
0.575,0.57795,0.99497,0.29878499999999997,0.9949739215686275,0.2987823058993122
0.58,0.57856,1.00496,0.29081500000000005,1.0049549019607844,0.2908190955625657
0.585,0.57931,1.01494,0.28376,1.0149358823529413,0.28376252792007944
0.59,0.57937,1.02492,0.278315,1.0249168627450982,0.27831656444810987
0.595,0.58013,1.0349,0.27357,1.0348978431372549,0.27357098051974993
0.6,0.57991,1.04488,0.26941499999999996,1.0448788235294117,0.26941542152661135
0.605,0.5778,1.05486,0.26674,1.0548598039215686,0.26674003242236743
0.61,0.57799,1.06484,0.26578999999999997,1.0648407843137255,0.2657899451096361
0.615,0.57765,1.07482,0.26544999999999996,1.0748217647058824,0.2654501015357862
0.62,0.57688,1.0848,0.26712,1.0848027450980393,0.26712065813517566
0.625,0.57691,1.09478,0.26990000000000003,1.0947837254901962,0.2699011967143167
0.63,0.57924,1.10477,0.273685,1.104764705882353,0.27368263005881827
0.635,0.58147,1.11475,0.27849,1.1147456862745098,0.2784879762888448
0.64,0.58485,1.12473,0.283385,1.1247266666666667,0.28338302785943875
0.645,0.58857,1.13471,0.28995499999999996,1.1347076470588235,0.2899535634994797
0.65,0.59224,1.14469,0.295105,1.1446886274509804,0.2951043282197063
0.655,0.59403,1.15467,0.300295,1.1546696078431373,0.3002947882512959
0.66,0.59537,1.16465,0.30566,1.1646505882352942,0.3056603079766722
0.665,0.59662,1.17463,0.31052,1.174631568627451,0.3105206893037305
