Wavelength (µm) raw,Sanidine gds19.19863 raw,Wavelength (µm) bin avg,Sanidine gds19.19863 bin avg,Wavelength (µm) cubic spline of bin avg,Sanidine gds19.19863 cubic spline of bin avg
0.2971,0.450776,0.44602,0.6946526666666667,0.44602,0.6946526666666667
0.3011,0.477869,0.456,0.7002876,0.45607988142292494,0.7003401637371818
0.3051,0.49551,0.46598,0.706048,0.46613976284584985,0.7061127499727811
0.3091,0.507645,0.47596,0.7086116,0.4761996442687747,0.7086614703349564
0.3131,0.521427,0.48595,0.7109578,0.4862595256916996,0.7110313700957958
0.3171,0.533378,0.49593,0.7128374,0.4963194071146245,0.7128783437275599
0.3211,0.538592,0.50591,0.7136697999999999,0.5063792885375494,0.7137384086402895
0.3251,0.548815,0.51589,0.7153615999999999,0.5164391699604743,0.7154054016401792
0.3291,0.550999,0.52587,0.7152088000000001,0.5264990513833993,0.7151880948172878
0.3331,0.56147,0.53585,0.7155874000000001,0.5365589328063242,0.7156810386528034
0.3371,0.565428,0.54583,0.7167916,0.5466188142292491,0.7167872389199196
0.3411,0.569648,0.55581,0.7159676000000001,0.556678695652174,0.715931686703497
0.3531,0.601682,0.56579,0.7164204,0.5667385770750988,0.7165096274919427
0.3571,0.606264,0.57577,0.717802,0.5767984584980237,0.7180519112009809
0.3606,0.609456,0.58576,0.7202923999999999,0.5868583399209486,0.7204307861430557
0.3636,0.61453,0.59574,0.7203282,0.5969182213438735,0.7202482635092328
0.3666,0.616139,0.60572,0.7199972857142857,0.6069781027667984,0.7200579373836957
0.3696,0.617692,0.6157,0.7208781666666667,0.6170379841897233,0.7209907520552701
0.3726,0.620553,0.62568,0.7218688333333333,0.6270978656126482,0.7221299974019257
0.3756,0.619774,0.63566,0.7239978,0.6371577470355732,0.7242382976701922
0.3786,0.620645,0.64564,0.7251264000000001,0.6472176284584981,0.7253003381580058
0.3811,0.625069,0.65562,0.7266313999999999,0.657277509881423,0.7269795779328289
0.3831,0.630206,0.6656,0.7288834000000001,0.6673373913043479,0.7292510785544208
