Wavelength (µm) raw,SynOl_Fo90 raw,Wavelength (µm) bin avg,SynOl_Fo90 bin avg,Wavelength (µm) cubic spline of bin avg,SynOl_Fo90 cubic spline of bin avg
0.3,0.23606,0.44602,0.490245,0.44602,0.490245
0.305,0.24717,0.456,0.49681,0.45600098039215686,0.49681068262829353
0.31,0.25633,0.46598,0.504275,0.46598196078431375,0.5042765810935333
0.315,0.2681,0.47596,0.51292,0.47596294117647064,0.5129227089524866
0.32,0.2791,0.48595,0.5225150000000001,0.4859439215686275,0.5225089850529048
0.325,0.29213,0.49593,0.530965,0.4959249019607843,0.5309622347203143
0.33,0.3076,0.50591,0.535,0.5059058823529412,0.5349975520746666
0.335,0.32251,0.51589,0.543795,0.5158868627450981,0.543792064324057
0.34,0.33505,0.52587,0.55209,0.525867843137255,0.5520882749585638
0.345,0.34852,0.53585,0.56108,0.5358488235294118,0.5610787517986228
0.35,0.36009,0.54583,0.5723199999999999,0.5458298039215687,0.572319796592549
0.355,0.37242,0.55581,0.581375,0.5558107843137255,0.5813756982109803
0.36,0.38255,0.56579,0.5898000000000001,0.5657917647058823,0.5898011580557847
0.365,0.39292,0.57577,0.5939049999999999,0.5757727450980392,0.5939056894071834
0.37,0.40186,0.58576,0.59561,0.5857537254901961,0.5956094655699996
0.375,0.40975,0.59574,0.5952999999999999,0.595734705882353,0.5953009148744562
0.38,0.41685,0.60572,0.5931150000000001,0.6057156862745099,0.5931156194901941
0.385,0.42438,0.6157,0.59272,0.6156966666666667,0.592720095097386
0.39,0.43144,0.62568,0.59167,0.6256776470588236,0.5916704155361845
0.395,0.43822,0.63566,0.589735,0.6356586274509805,0.5897352227306556
0.4,0.44414,0.64564,0.588075,0.6456396078431372,0.5880750999919845
0.405,0.45007,0.65562,0.5844149999999999,0.6556205882352941,0.5844147547128556
0.41,0.45435,0.6656,0.58032,0.665601568627451,0.5803193596531522
0.415,0.45914,0.67558,0.57603,0.6755825490196079,0.5760288002155082
0.42,0.46532,0.68556,0.5709500000000001,0.6855635294117648,0.5709481444705863
0.425,0.47118,0.69555,0.565755,0.6955445098039216,0.5657578192895448
0.43,0.47584,0.70553,0.5606,0.7055254901960785,0.5606023896027167
0.435,0.48074,0.71551,0.555185,0.7155064705882352,0.5551869211719175
0.44,0.48557,0.72549,0.549805,0.7254874509803921,0.5498063708500884
0.445,0.48899,0.73547,0.54434,0.735468431372549,0.5443408854974083
0.45,0.4915,0.74545,0.53871,0.7454494117647059,0.5387103172611903
0.455,0.49477,0.75543,0.533385,0.7554303921568628,0.5333847759935344
0.46,0.49885,0.76541,0.52728,0.7654113725490197,0.5272791604504317
0.465,0.50261,0.77539,0.52137,0.7753923529411766,0.5213686028097547
0.47,0.50594,0.78537,0.515385,0.7853733333333334,0.5153830374578866
0.475,0.5107,0.79536,0.50957,0.7953543137254901,0.5095733916577702
0.48,0.51514,0.80534,0.5036400000000001,0.805335294117647,0.5036426078827652
0.485,0.5203,0.81532,0.49823,0.8153162745098039,0.4982322194059133
0.49,0.52473,0.8253,0.491865,0.8252972549019608,0.4918666535163803
0.495,0.52836,0.83528,0.486795,0.8352782352941177,0.48679576291696347
0.5,0.53357,0.84526,0.48258500000000004,0.8452592156862746,0.4825853592260767
0.505,0.53354,0.85524,0.477955,0.8552401960784315,0.4779549229562382
0.51,0.53646,0.86522,0.474655,0.8652211764705883,0.4746545834632156
0.515,0.54138,0.8752,0.47078,0.875202156862745,0.47077925008266486
0.52,0.54621,0.88518,0.468115,0.8851831372549019,0.46811430657446707
0.525,0.54989,0.89517,0.46577999999999997,0.8951641176470588,0.4657815907842261
0.53,0.55429,0.90515,0.46297,0.9051450980392157,0.4629711915949615
0.535,0.55855,0.91513,0.461115,0.9151260784313726,0.4611156261383372
0.54,0.56361,0.92511,0.45935000000000004,0.9251070588235295,0.45935060721559795
0.545,0.56945,0.93509,0.457265,0.9350880392156864,0.45726533686234294
0.55,0.57519,0.94507,0.45525000000000004,0.9450690196078432,0.4552503321925458
0.555,0.57902,0.95505,0.45111999999999997,0.95505,0.45111999999999997
0.56,0.58373,0.96503,0.44928500000000005,0.9650309803921568,0.44928482905471995
0.565,0.58774,0.97501,0.44699,0.9750119607843137,0.44698956060644646
0.57,0.59186,0.98499,0.44511,0.9849929411764706,0.4451094580891889
0.575,0.59327,0.99497,0.44306500000000004,0.9949739215686275,0.4430641419912486
0.58,0.59454,1.00496,0.440695,1.0049549019607844,0.4406963612463739
0.585,0.59573,1.01494,0.438255,1.0149358823529413,0.4382556520433233
0.59,0.59549,1.02492,0.43724,1.0249168627450982,0.43724043399328305
0.595,0.59518,1.0349,0.43578,1.0348978431372549,0.43578006954298515
0.6,0.59542,1.04488,0.43659499999999996,1.0448788235294117,0.43659491379958415
0.605,0.59279,1.05486,0.43696500000000005,1.0548598039215686,0.43696498129779393
0.61,0.59344,1.06484,0.43891,1.0648407843137255,0.43891018909746143
0.615,0.59269,1.07482,0.44154499999999997,1.0748217647058824,0.4415455593846634
0.62,0.59275,1.0848,0.44543,1.0848027450980393,0.44543123791335926
0.625,0.59206,1.09478,0.45019,1.0947837254901962,0.45019178062777626
0.63,0.59128,1.10477,0.455065,1.104764705882353,0.45506218352675454
0.635,0.58997,1.11475,0.460345,1.1147456862745098,0.46034307973068617
0.64,0.5895,1.12473,0.46429,1.1247266666666667,0.46428846461426426
0.645,0.58904,1.13471,0.469765,1.1347076470588235,0.46976372023491364
0.65,0.58711,1.14469,0.474175,1.1446886274509804,0.47417453982093133
