Wavelength (µm) raw,Augite ws592 spliced raw,Wavelength (µm) bin avg,Augite ws592 spliced bin avg,Wavelength (µm) global,Augite ws592 global
0.3011,0.045344,0.44602,0.207174,0.461,0.218
0.3051,0.047974,0.456,0.214279,0.5009,0.2587
0.3091,0.049266,0.46598,0.2209724,0.5408,0.3048
0.3131,0.054325,0.47596,0.2297658,0.5808,0.3172
0.3171,0.058099,0.48595,0.2399166,0.6207,0.3073
0.3211,0.062474,0.49593,0.2523988,0.6606,0.3084
0.3251,0.068898,0.50591,0.2638479999999999,0.7005,0.3239
0.3291,0.072329,0.51589,0.2784976,0.7305,0.3411
0.3331,0.076753,0.52587,0.2926406,0.7504,0.3514
0.3371,0.081827,0.53585,0.3017778,0.7704,0.3599
0.3411,0.085483,0.54583,0.3093956,0.7904,0.3676
0.3451,0.090081,0.55581,0.315273,0.8103,0.3744
0.3491,0.095055,0.56579,0.3184844,0.8303,0.3787
0.3531,0.100909,0.57577,0.3183223999999999,0.8527,0.3751
0.3571,0.106824,0.58576,0.3171812,0.8777,0.359
0.3606,0.110864,0.59574,0.3147643999999999,0.9002,0.3368
0.3636,0.117003,0.60572,0.3115077142857143,0.9201,0.3159
0.3666,0.121547,0.6157,0.307939,0.9401,0.292
0.3696,0.124597,0.62568,0.3056621666666666,0.96,0.2689
0.3726,0.129644,0.63566,0.3040872,0.98,0.2546
0.3756,0.132322,0.64564,0.3059944,1.0,0.2453
0.3786,0.138221,0.65562,0.3056734,1.0199,0.2406
0.3811,0.140512,0.6656,0.3088164,1.0399,0.2443
0.3831,0.143531,0.67558,0.313078,1.0598,0.2553
0.3851,0.145015,0.68556,0.317451,1.0798,0.2714
0.3871,0.149176,0.69555,0.3201365,1.0998,0.292
0.3891,0.151659,0.70553,0.325685,1.1197,0.3155
0.3911,0.153158,0.71551,0.3324384,1.1397,0.3376
0.3931,0.157966,0.72549,0.3383911999999999,1.1597,0.3578
0.3951,0.159176,0.73547,0.3439582,1.1796,0.3752
0.3971,0.162667,0.74545,0.3495345,1.1996,0.3893
0.3991,0.163785,0.75543,0.3539795,1.2196,0.4019
0.4011,0.166948,0.76541,0.3581086666666667,1.2395,0.4131
0.4031,0.168349,0.77539,0.3613183333333333,1.2595,0.4235
0.4051,0.168709,0.78537,0.3662423333333333,1.2794,0.4333
0.4071,0.17254,0.79536,0.369413,1.2994,0.4437
0.4091,0.173716,0.80534,0.373375,1.3194,0.4528
0.4111,0.176884,0.81532,0.375637,1.3393,0.4606
0.4128,0.177089,0.8253,0.3793645,1.3593,0.4693
0.4158,0.180226,0.83528,0.379617,1.3792,0.4765
0.4188,0.184615,0.84526,0.380363,1.3992,0.4823
0.4218,0.183561,0.85524,0.3738315,1.4192,0.4907
0.4248,0.190318,0.8752,0.366689,1.4391,0.5004
0.4278,0.191427,0.88518,0.353368,1.4591,0.5092
0.4308,0.193831,0.89517,0.342254,1.479,0.5181
0.4338,0.197276,0.90515,0.328396,1.499,0.5252
0.4368,0.200065,0.91513,0.323247,1.519,0.5306
0.4398,0.202034,0.92511,0.309228,1.5389,0.5377
0.4428,0.202825,0.93509,0.302725,1.5589,0.5438
0.4458,0.20891,0.94507,0.284239,1.5888,0.549
0.4488,0.209787,0.95505,0.271928,1.6288,0.554
0.4513,0.21196,0.96503,0.262652,1.6687,0.5552
0.4533,0.211872,0.97501,0.256649,1.7086,0.5546
0.4553,0.214427,0.98499,0.251014,1.7485,0.5485
0.4573,0.216344,0.99497,0.248187,1.7885,0.5392
0.4593,0.216792,1.00496,0.2422455,1.8284,0.5266
0.4613,0.21506,1.01494,0.2396055,1.8683,0.5153
0.4633,0.220289,1.02492,0.2384264999999999,1.9082,0.496
0.4653,0.222859,1.0349,0.2419345,1.9482,0.4864
0.4673,0.223882,1.04488,0.2457105,1.9881,0.474
0.4693,0.222772,1.05486,0.2510405,2.028,0.4622
0.4713,0.227273,1.06484,0.2587565,2.0679,0.4492
0.4733,0.228328,1.07482,0.265669,2.1078,0.4353
0.4753,0.231038,1.0848,0.276437,2.1478,0.421
0.4773,0.22972,1.09478,0.2849245,2.1877,0.4084
0.4793,0.23247,1.10477,0.2969549999999999,2.2276,0.3968
0.4813,0.235417,1.11475,0.3095179999999999,2.2676,0.386
0.4833,0.239724,1.12473,0.3222589999999999,2.3075,0.3773
0.4853,0.240843,1.13471,0.3333615,2.3474,0.3763
0.4873,0.24178,1.14469,0.3412225,2.3873,0.3773
0.4893,0.241819,1.15467,0.3536979999999999,2.4272,0.3809
0.4913,0.247792,1.16465,0.3636155,2.4672,0.387
0.4933,0.249115,1.17463,0.372776,2.5071,0.3943
0.4953,0.252438,1.18461,0.38001,2.547,0.4026
0.4973,0.25581,1.19459,0.384298,2.5869,0.4099
0.4993,0.256839,1.20458,0.392636,2.6269,0.4171
0.5013,0.25705,1.21456,0.4002015,2.6668,0.4051
0.5033,0.261311,1.22454,0.4040745,2.7067,0.2401
0.5053,0.26444,1.23452,0.410659,2.7466,0.1747
0.5073,0.267013,1.2445,0.415057,2.7866,0.1731
0.5093,0.269426,1.25448,0.4224765,2.8265,0.1813
0.5113,0.27114,1.26446,0.4251224999999999,2.8664,0.1885
0.5133,0.276358,1.27444,0.4315155,2.9063,0.1914
0.5153,0.278234,1.28442,0.4363915,2.9463,0.1972
0.5173,0.284011,1.2944,0.440273,,
0.5193,0.282745,1.30438,0.4454585,,
