Wavelength (µm),Pigeonite hs199.17843,Wavelength (µm) target,Pigeonite hs199.17843 target
0.2211,0.041317,0.44602,0.14990233333333333
0.2291,0.046274,0.456,0.1522364
0.2361,0.044557,0.46598,0.1562572
0.2421,0.043805,0.47596,0.15669080000000002
0.2481,0.045288,0.48595,0.159505
0.2536,0.045556,0.49593,0.16185139999999998
0.2586,0.046391,0.50591,0.16224120000000003
0.2636,0.046498,0.51589,0.165111
0.2686,0.047785,0.52587,0.16772460000000003
0.2731,0.04864,0.53585,0.16945359999999998
0.2771,0.052394,0.54583,0.1708204
0.2811,0.052813,0.55581,0.17160060000000002
0.2851,0.054641,0.56579,0.1729056
0.2891,0.055748,0.57577,0.1746436
0.2931,0.059602,0.58576,0.1752934
0.2971,0.061993,0.59574,0.17621060000000002
0.3011,0.066997,0.60572,0.1762021428571429
0.3051,0.071523,0.6157,0.17718933333333334
0.3091,0.077046,0.62568,0.17714266666666667
0.3131,0.079934,0.63566,0.1784338
0.3171,0.087208,0.64564,0.17771280000000003
0.3211,0.089264,0.65562,0.1783078
0.3251,0.094608,0.6656,0.17873300000000003
0.3291,0.097637,0.67558,0.179639
0.3331,0.101027,0.68556,0.18025066666666667
0.3371,0.103581,0.69555,0.18148775
0.3411,0.107473,0.70553,0.18228740000000002
0.3451,0.107436,0.71551,0.1831142
0.3491,0.109603,0.72549,0.1835912
0.3531,0.113135,0.73547,0.1844878
0.3571,0.115178,0.74545,0.18525025
0.3606,0.117811,0.75543,0.18525925
0.3636,0.118292,0.76541,0.18550966666666666
0.3666,0.120078,0.77539,0.185273
0.3696,0.120881,0.78537,0.18499033333333334
0.3726,0.12359,0.79536,0.18499549999999998
0.3756,0.125011,0.80534,0.18382199999999999
0.3786,0.124909,0.81532,0.18308750000000001
0.3811,0.127752,0.8253,0.180406
0.3831,0.12756,0.83528,0.176178
0.3851,0.128903,0.85524,0.173024
0.3871,0.130385,0.8752,0.17331
0.3891,0.132452,0.88518,0.167971
0.3911,0.133661,0.89517,0.165944
0.3931,0.133791,0.90515,0.163066
0.3951,0.134751,0.91513,0.160929
0.3971,0.133492,0.92511,0.162061
0.3991,0.135575,0.93509,0.156285
0.4011,0.137636,0.94507,0.1570205
0.4031,0.136558,0.95505,0.154798
0.4051,0.140101,0.96503,0.156474
0.4071,0.13846,0.97501,0.154377
0.4091,0.139194,0.98499,0.154974
0.4111,0.139974,0.99497,0.154103
0.4128,0.140324,1.005,0.153618
0.4158,0.142064,1.0149,0.15292650000000002
0.4188,0.141129,1.0249,0.1557355
0.4218,0.144358,1.0349,0.1553335
0.4248,0.143867,1.0449,0.1574995
0.4278,0.143594,1.0549,0.157275
0.4308,0.145448,1.0648,0.15846949999999999
0.4338,0.146181,1.0748,0.1592865
0.4368,0.1473,1.0848,0.1592005
0.4398,0.148405,1.0948,0.16267700000000002
0.4428,0.150081,1.1048,0.16435650000000002
0.4458,0.148846,1.1148,0.16669699999999998
0.4488,0.15078,1.1247,0.1670645
0.4513,0.150082,1.1347,0.16865449999999998
0.4533,0.150321,1.1447,0.16892600000000002
