Wavelength (µm),Microcline hs108.13761,Wavelength (µm) target,Microcline hs108.13761 target
1.829271,0.738311,1.8334,0.7388186666666666
1.829917,0.73841,1.8434,0.7410800666666668
1.830563,0.738113,1.8533,0.7434930666666665
1.83121,0.738212,1.8633,0.7448312666666667
1.831857,0.738509,1.8733,0.744979142857143
1.832504,0.738608,1.8833,0.7443368666666665
1.833152,0.739003,1.8933,0.7415284000000001
1.833801,0.739498,1.9032,0.7378733571428571
1.83445,0.739399,1.9132,0.7359802142857144
1.835099,0.739102,1.9232,0.7358177857142858
1.835749,0.739003,1.9332,0.7372587857142857
1.836399,0.739003,1.9432,0.7393354285714285
1.83705,0.738904,1.9532,0.7416658461538462
1.837701,0.738707,1.9631,0.7435902307692307
1.838353,0.739498,1.9731,0.7453321428571428
1.839005,0.739992,1.9831,0.7468080000000001
1.839658,0.739893,1.9931,0.7485804615384615
1.840311,0.740289,2.0031,0.750406076923077
1.840964,0.740487,2.013,0.752444769230769
1.841618,0.74019,2.023,0.75458675
1.842272,0.740783,2.033,0.7568871538461539
1.842927,0.741673,2.043,0.7590451666666667
1.843583,0.741476,2.053,0.7605203333333331
1.844238,0.741575,2.0629,0.7614890769230769
1.844895,0.74197,2.0729,0.76218475
1.845551,0.74197,2.0829,0.7622094166666668
1.846209,0.741377,2.0929,0.7620628181818181
1.846867,0.740981,2.1029,0.7620857500000001
1.847525,0.741476,2.1128,0.76226725
1.848184,0.742069,2.1228,0.7629706363636365
1.848843,0.742761,2.1328,0.76384125
1.849502,0.743355,2.1428,0.7649484545454545
1.850162,0.743453,2.1528,0.7658295454545455
1.850823,0.743355,2.1628,0.7667105454545454
1.851484,0.743355,2.1727,0.7670403636363637
1.852145,0.743651,2.1827,0.766243
1.852807,0.743355,2.1927,0.7653217272727274
1.853469,0.743058,2.2027,0.7651367000000001
1.854132,0.743157,2.2127,0.7655577272727274
1.854796,0.743453,2.2226,0.7652289999999999
1.855459,0.743849,2.2326,0.7652684545454546
1.856124,0.743849,2.2426,0.7650196
1.856789,0.743355,2.2526,0.7643997999999999
1.857454,0.743948,2.2626,0.7643499000000001
1.85812,0.744442,2.2725,0.7642493
1.858786,0.744245,2.2825,0.7631187000000001
1.859453,0.74375,2.2925,0.7625071
1.86012,0.743849,2.3025,0.7623228
1.860788,0.744541,2.3125,0.7619796000000001
1.861456,0.745233,2.3224,0.7619144444444443
1.862124,0.745135,2.3324,0.7613015000000002
1.862794,0.744937,2.3424,0.7606213333333334
1.863463,0.745036,2.3524,0.7603328888888888
1.864133,0.744838,2.3624,0.7600201
1.864804,0.745431,2.3724,0.7588811111111111
1.865475,0.745629,2.3823,0.7587323333333332
1.866146,0.745332,2.3923,0.757867
1.866818,0.744739,2.4023,0.7573737777777778
1.867491,0.744541,2.4123,0.7566946666666667
1.868164,0.745233,2.4223,0.7554288888888889
1.868837,0.74553,2.4322,0.75393
1.869511,0.745233,2.4422,0.7529074444444445
1.870185,0.74464,2.4522,0.7517071111111111
1.87086,0.744245,2.4622,0.7508104999999999
1.871536,0.744838,2.4722,0.7503766666666666
1.872212,0.744838,2.4821,0.7496798749999999
1.872888,0.744245,2.4921,0.748968
