Wavelength (µm),Microcline hs108.13749,Wavelength (µm) target,Microcline hs108.13749 target
0.2211,0.195955,0.44602,0.4986973333333333
0.2291,0.187665,0.456,0.5065926000000001
0.2361,0.178616,0.46598,0.5138469999999999
0.2421,0.17749,0.47596,0.5219194
0.2481,0.184264,0.48595,0.5287919999999999
0.2536,0.197903,0.49593,0.5355155999999999
0.2586,0.215067,0.50591,0.5412386
0.2636,0.240047,0.51589,0.5490160000000001
0.2686,0.265625,0.52587,0.5547175999999999
0.2731,0.291515,0.53585,0.5665598
0.2771,0.314117,0.54583,0.5813694
0.2811,0.3387,0.55581,0.6041321999999999
0.2851,0.360196,0.56579,0.6349623999999999
0.2891,0.375613,0.57577,0.668219
0.2931,0.389767,0.58576,0.6966287999999999
0.2971,0.397667,0.59574,0.7195525999999999
0.3011,0.405406,0.60572,0.7291882857142856
0.3051,0.414932,0.6157,0.7367233333333333
0.3091,0.416259,0.62568,0.7381321666666668
0.3131,0.419996,0.63566,0.7409316
0.3171,0.427737,0.64564,0.7436122000000001
0.3211,0.429822,0.65562,0.7472416
0.3251,0.431076,0.6656,0.75153
0.3291,0.434675,0.67558,0.7541926666666666
0.3331,0.437229,0.68556,0.7570933333333333
0.3371,0.438814,0.69555,0.76173575
0.3411,0.438399,0.70553,0.7635888
0.3451,0.443988,0.71551,0.7665794
0.3491,0.442683,0.72549,0.7706676
0.3531,0.446568,0.73547,0.7727164
0.3571,0.445349,0.74545,0.77519925
0.3606,0.45046,0.75543,0.7757027499999999
0.3636,0.448907,0.76541,0.7758240000000001
0.3666,0.448934,0.77539,0.7768853333333333
0.3696,0.45152,0.78537,0.7791573333333334
0.3726,0.453079,0.79536,0.7818285
0.3756,0.45195,0.80534,0.779785
0.3786,0.452586,0.81532,0.7782169999999999
0.3811,0.452655,0.8253,0.7773479999999999
0.3831,0.453803,0.83528,0.778715
0.3851,0.452619,0.85524,0.77932
0.3871,0.457634,0.8752,0.779802
0.3891,0.458451,0.88518,0.777078
0.3911,0.457841,0.89517,0.780799
0.3931,0.461611,0.90515,0.776453
0.3951,0.461936,0.91513,0.775866
0.3971,0.460164,0.92511,0.781379
0.3991,0.464542,0.93509,0.77542
0.4011,0.466187,0.94507,0.7812425000000001
0.4031,0.469327,0.95505,0.779674
0.4051,0.468462,0.96503,0.7808105
0.4071,0.465355,0.97501,0.78324
0.4091,0.46907,0.98499,0.781706
0.4111,0.470675,0.99497,0.778689
0.4128,0.473206,1.005,0.7820185
0.4158,0.473499,1.0149,0.780218
0.4188,0.476727,1.0249,0.7813115
0.4218,0.47737,1.0349,0.7780295
0.4248,0.479724,1.0449,0.7803475
0.4278,0.482271,1.0549,0.779759
0.4308,0.485698,1.0648,0.780524
0.4338,0.488085,1.0748,0.779869
0.4368,0.489452,1.0848,0.778761
0.4398,0.494819,1.0948,0.7764765
0.4428,0.496533,1.1048,0.7793795
0.4458,0.497119,1.1148,0.778678
0.4488,0.50244,1.1247,0.7775805
0.4513,0.502836,1.1347,0.776859
0.4533,0.506541,1.1447,0.7771669999999999
0.4553,0.506384,1.1547,0.7778255000000001
0.4573,0.509059,1.1647,0.7756685
0.4593,0.508143,1.1746,0.7778745
0.4613,0.508736,1.1846,0.777629
0.4633,0.512207,1.1946,0.7769355
0.4653,0.513481,1.2046,0.7768035
0.4673,0.515602,1.2146,0.77715
0.4693,0.519209,1.2245,0.7776905000000001
0.4713,0.51818,1.2345,0.7777685
0.4733,0.520903,1.2445,0.7829055
0.4753,0.51952,1.2545,0.7795995
0.4773,0.524517,1.2645,0.7796535
0.4793,0.526477,1.2744,0.780857
0.4813,0.527044,1.2844,0.7784359999999999
0.4833,0.528481,1.2944,0.7797855
0.4853,0.528288,1.3044,0.7815719999999999
0.4873,0.527524,1.3144,0.780843
0.4893,0.532623,1.3244,0.7831155000000001
0.4913,0.534338,1.3343,0.7792645
0.4933,0.531408,1.3443,0.7821965
0.4953,0.535273,1.3543,0.7799795
0.4973,0.539369,1.3643,0.778967
0.4993,0.53719,1.3743,0.7842720000000001
0.5013,0.539527,1.3842,0.7795650000000001
0.5033,0.537797,1.3942,0.7775935
0.5053,0.541932,1.4042,0.7732064999999999
