Wavelength (µm),Orthoclase nmnh142137.17360,Wavelength (µm) target,Orthoclase nmnh142137.17360 target
1.606991,0.735015,1.6038,0.7354624999999999
1.60749,0.735262,1.6138,0.7380921999999999
1.607988,0.735509,1.6238,0.7424976499999998
1.608487,0.736064,1.6338,0.7464007894736844
1.608986,0.736249,1.6437,0.7497250526315787
1.609486,0.736249,1.6537,0.7524026842105264
1.609986,0.736311,1.6637,0.7557301052631582
1.610486,0.736558,1.6737,0.7591070555555555
1.610986,0.736805,1.6837,0.7625507368421053
1.611487,0.73699,1.6936,0.7657611764705884
1.611988,0.737237,1.7036,0.7682651111111112
1.61249,0.737731,1.7136,0.7706832777777778
1.612991,0.737669,1.7236,0.7730501176470589
1.613493,0.737916,1.7336,0.7751729999999999
1.613996,0.73804,1.7436,0.7777352352941177
1.614498,0.73841,1.7535,0.7802969375
1.615001,0.738904,1.7635,0.7829213529411765
1.615505,0.739089,1.7735,0.7854635294117646
1.616008,0.738966,1.7835,0.7873816250000001
1.616512,0.739213,1.7935,0.78857025
1.617016,0.739707,1.8034,0.7899014375000001
1.617521,0.739892,1.8134,0.7909973749999998
1.618026,0.739707,1.8234,0.7924657333333333
1.618531,0.740201,1.8334,0.7938053846153846
1.619036,0.74051,2.0031,0.8093312000000001
1.619542,0.740571,2.013,0.8100573076923077
1.620048,0.740633,2.023,0.81126875
1.620554,0.741127,2.033,0.8123415384615383
1.621061,0.741312,2.043,0.8131775
1.621568,0.741497,2.053,0.8138360833333335
1.622076,0.741744,2.0629,0.8141653846153846
1.622583,0.74193,2.0729,0.8140521666666669
1.623091,0.742177,2.0829,0.8137949166666668
1.6236,0.742177,2.0929,0.8135592727272729
1.624108,0.742609,2.1029,0.8133420833333335
1.624617,0.743041,2.1128,0.81368675
1.625127,0.743535,2.1228,0.8141204545454546
1.625636,0.743658,2.1328,0.8148600000000003
1.626146,0.743535,2.1428,0.8156416363636363
1.626656,0.74372,2.1528,0.8161804545454546
1.627167,0.743658,2.1628,0.8166069999999999
1.627678,0.74372,2.1727,0.8166012727272727
1.628189,0.744276,2.1827,0.8160569999999999
1.628701,0.744523,2.1927,0.8153944545454546
1.629212,0.74477,2.2027,0.8145358000000001
1.629725,0.745017,2.2127,0.8139014545454544
1.630237,0.745017,2.2226,0.8135602000000001
1.63075,0.745325,2.2326,0.8133962727272729
1.631263,0.74551,2.2426,0.8135603000000001
1.631777,0.745757,2.2526,0.8140232999999999
1.63229,0.745943,2.2626,0.8145914000000001
1.632804,0.745819,2.2725,0.8149740000000001
1.633319,0.746004,2.2825,0.8152889000000002
1.633834,0.746251,2.2925,0.8150729999999999
1.634349,0.746498,2.3025,0.8143937000000001
1.634864,0.746807,2.3125,0.8142889000000002
1.63538,0.746869,2.3224,0.8139595555555555
1.635896,0.747301,2.3324,0.8133133000000001
1.636412,0.747424,2.3424,0.8125533333333332
1.636929,0.747671,2.3524,0.8120526666666668
1.637446,0.74798,2.3624,0.8121585999999998
1.637964,0.747857,2.3724,0.8121895555555554
1.638481,0.747795,2.3823,0.8128345555555556
1.638999,0.748289,2.3923,0.813342
1.639518,0.748474,2.4023,0.8139940000000001
1.640036,0.748351,2.4123,0.8144944444444444
1.640555,0.748474,2.4223,0.814467
1.641075,0.748906,2.4322,0.8140572500000001
1.641594,0.749338,2.4422,0.8136301111111112
1.642114,0.7494,2.4522,0.8127523333333334
1.642634,0.749277,2.4622,0.8117653749999999
1.643155,0.749215,2.4722,0.8106805555555555
1.643676,0.749647,2.4821,0.8098281249999999
1.644197,0.749894,2.4921,0.808955875
1.644719,0.749956,2.5021,0.8084304444444445
1.645241,0.750264,2.5121,0.8081841250000001
1.645763,0.750573,2.5221,0.8084003750000001
1.646286,0.750758,2.532,0.8086549999999999
1.646809,0.750758,2.542,0.8094882499999999
1.647332,0.751191,2.552,0.809974875
1.647856,0.751129,2.562,0.808878875
1.64838,0.750882,2.572,0.8090872500000001
1.648904,0.75082,2.5819,0.8087090000000001
1.649429,0.751129,2.5919,0.8053895714285714
1.649953,0.751191,2.6019,0.807644125
1.650479,0.751561,2.6119,0.8078414285714286
1.651004,0.751684,2.6219,0.8058458749999999
1.651531,0.752055,2.6319,0.8054521250000001
1.652057,0.752117,2.6418,0.8062624285714287
1.652583,0.752055,2.6518,0.8042077142857144
1.65311,0.751993,2.6618,0.799286
1.653638,0.752302,2.6718,0.7955815714285714
1.654165,0.752611,2.6818,0.7958902857142858
1.654693,0.752487,2.6917,0.7883757142857143
1.655222,0.752858,2.7017,0.7746164285714284
1.65575,0.753043,2.7117,0.7663432857142857
1.656279,0.75329,2.7217,0.7562177142857143
1.656809,0.753475,2.7317,0.7489325714285714
1.657338,0.753537,2.7416,0.7323421428571428
1.657868,0.753598,2.7516,0.7190855714285715
1.658399,0.753845,2.7616,0.7053088571428573
1.658929,0.754031,2.7716,0.6999361666666667
1.65946,0.753907,2.7816,0.6940192857142857
1.659992,0.754339,2.7916,0.6881627142857143
1.660523,0.754648,2.8015,0.6823401666666666
1.661055,0.754771,2.8115,0.6782578571428572
1.661588,0.754895,2.8215,0.6735111666666667
1.662121,0.755204,2.8315,0.6693144285714286
1.662654,0.755327,2.8414,0.6656806666666667
1.663187,0.755327,2.8514,0.6622849999999999
1.663721,0.755821,2.8614,0.6596815
1.664255,0.75613,2.8714,0.6576338333333333
1.664789,0.75613,2.8814,0.6562856666666667
1.665324,0.756377,2.8914,0.6550171428571429
1.665859,0.756562,2.9013,0.6543101666666667
1.666395,0.756685,2.9113,0.6540015
1.666931,0.756871,2.9213,0.6537031666666667
1.667467,0.757118,2.9313,0.6537958333333334
1.668003,0.757241,2.9413,0.6539398333333333
1.66854,0.757488,2.9513,0.6543
1.669077,0.757426,2.9612,0.6547321666666667
1.669615,0.757735,2.9712,0.6554525000000001
1.670153,0.758044,2.9812,0.6560366
1.670691,0.758291,2.9912,0.6567696666666666
1.671229,0.758291,,
1.671769,0.758414,,
1.672308,0.758723,,
1.672847,0.75897,,
1.673387,0.759032,,
1.673928,0.759464,,
1.674468,0.759402,,
1.675009,0.759525,,
1.675551,0.759587,,
1.676093,0.759587,,
1.676635,0.760081,,
1.677177,0.760328,,
1.67772,0.76039,,
1.678263,0.760637,,
1.678806,0.761069,,
1.67935,0.761192,,
1.679894,0.761131,,
1.680439,0.761563,,
1.680984,0.761563,,
1.681529,0.761933,,
1.682074,0.762057,,
1.682621,0.762242,,
1.683167,0.762366,,
1.683714,0.762489,,
1.68426,0.762736,,
1.684808,0.763168,,
1.685356,0.763292,,
1.685904,0.763415,,
1.686452,0.763353,,
1.687001,0.763477,,
1.68755,0.763477,,
1.6881,0.763847,,
1.68865,0.764094,,
1.6892,0.764526,,
1.689751,0.764526,,
1.690302,0.76465,,
1.690853,0.76465,,
1.691405,0.765082,,
1.691957,0.765452,,
1.692509,0.765699,,
1.693061,0.765885,,
1.693615,0.766008,,
1.694168,0.765885,,
1.694722,0.76607,,
1.695276,0.766132,,
1.695831,0.766317,,
1.696385,0.766687,,
1.696941,0.766811,,
1.697497,0.766749,,
1.698053,0.766811,,
1.698609,0.766811,,
1.699166,0.767119,,
1.699723,0.76749,,
1.70028,0.767613,,
1.700838,0.767799,,
1.701396,0.767922,,
1.701955,0.767922,,
1.702514,0.768169,,
1.703073,0.768231,,
1.703633,0.768293,,
1.704193,0.768354,,
1.704753,0.768478,,
1.705314,0.768601,,
1.705875,0.768848,,
1.706436,0.768972,,
1.706998,0.769095,,
1.707561,0.769342,,
1.708123,0.769713,,
1.708686,0.769713,,
1.70925,0.769651,,
1.709813,0.769713,,
1.710377,0.770206,,
1.710942,0.77033,,
1.711507,0.77033,,
1.712072,0.770268,,
1.712638,0.770515,,
1.713204,0.7707,,
1.71377,0.770886,,
1.714337,0.770577,,
1.714904,0.7707,,
1.715471,0.771133,,
1.716039,0.771318,,
1.716607,0.771503,,
1.717176,0.771688,,
1.717745,0.771503,,
1.718314,0.771565,,
1.718884,0.771997,,
1.719454,0.772429,,
1.720024,0.772614,,
1.720595,0.772614,,
1.721167,0.772429,,
1.721738,0.772306,,
1.72231,0.772429,,
1.722883,0.772738,,
1.723455,0.773047,,
1.724029,0.773355,,
1.724602,0.773355,,
1.725176,0.77317,,
1.72575,0.773293,,
1.726325,0.774034,,
1.7269,0.773911,,
1.727476,0.774158,,
1.728051,0.773973,,
1.728628,0.773849,,
1.729204,0.774158,,
1.729781,0.77459,,
1.730358,0.774281,,
1.730936,0.774158,,
1.731514,0.774652,,
1.732093,0.775146,,
1.732672,0.775207,,
1.733251,0.775269,,
1.733831,0.775207,,
1.734411,0.775331,,
1.734991,0.775454,,
1.735572,0.775701,,
1.736153,0.775701,,
1.736735,0.775825,,
1.737317,0.77601,,
1.7379,0.776133,,
1.738482,0.776442,,
1.739066,0.776813,,
1.739649,0.776813,,
1.740233,0.776751,,
1.740817,0.776751,,
1.741402,0.77706,,
1.741987,0.777307,,
1.742573,0.777492,,
1.743159,0.77743,,
1.743745,0.777677,,
1.744332,0.7778,,
1.744919,0.777986,,
1.745506,0.778171,,
1.746094,0.778356,,
1.746683,0.778233,,
1.747271,0.778665,,
1.74786,0.778912,,
1.74845,0.779282,,
1.74904,0.779282,,
1.74963,0.779467,,
1.750221,0.779467,,
1.750812,0.779529,,
1.751403,0.779591,,
1.751995,0.779961,,
1.752588,0.779838,,
1.75318,0.780023,,
1.753773,0.780332,,
1.754367,0.780579,,
1.754961,0.780887,,
1.755555,0.781134,,
1.75615,0.781011,,
1.756745,0.780949,,
1.75734,0.781258,,
1.757936,0.781443,,
1.758533,0.781628,,
1.759129,0.782061,,
1.759726,0.781875,,
1.760324,0.781814,,
1.760922,0.782122,,
