Wavelength (µm),Sanidine gds19.19876,Wavelength (µm) target,Sanidine gds19.19876 target
1.503525,0.772231,1.504,0.7725616153846153
1.503961,0.772554,1.514,0.773610304347826
1.504398,0.7725,1.524,0.7747658636363636
1.504834,0.772178,1.534,0.7772832727272726
1.505271,0.772231,1.5439,0.7814421363636364
1.505709,0.772124,1.5539,0.7853997142857142
1.506146,0.772339,1.5639,0.7891433809523809
1.506584,0.7725,1.5739,0.7923070476190477
1.507022,0.772714,1.5839,0.7950235238095238
1.50746,0.772875,1.5938,0.7982371500000002
1.507898,0.773036,1.6038,0.8025839999999999
1.508337,0.772983,1.6138,0.8070651
1.508776,0.773036,1.6238,0.8110227999999999
1.509215,0.773197,1.6338,0.8141575263157895
1.509655,0.773305,1.6437,0.8166403684210525
1.510094,0.772929,1.6537,0.8188971052631581
1.510534,0.772983,1.6637,0.8217185789473683
1.510975,0.773251,1.6737,0.8252191666666667
1.511415,0.773573,1.6837,0.8284969999999999
1.511856,0.773788,1.6936,0.8313980588235295
1.512297,0.773627,1.7036,0.8332122777777777
1.512738,0.773358,1.7136,0.8344347222222223
1.51318,0.773519,1.7236,0.8356661176470588
1.513622,0.77368,1.7336,0.8370191666666665
1.514064,0.773734,1.7436,0.8395203529411763
1.514506,0.773734,1.7535,0.8417805624999999
1.514948,0.773734,1.7635,0.8439620000000003
1.515391,0.773358,1.7735,0.8455559411764708
1.515834,0.773573,1.7835,0.8460568749999999
1.516278,0.77368,1.7935,0.8460435624999999
1.516721,0.773895,1.8034,0.846033375
1.517165,0.773895,1.8134,0.8464728749999999
1.517609,0.773841,1.8234,0.8478661333333333
1.518054,0.773949,1.8334,0.849478125
1.518499,0.774163,1.8434,0.8507676666666667
1.518944,0.774271,1.8533,0.8520949333333333
1.519389,0.774324,1.8633,0.8519983333333335
1.519834,0.774271,1.8733,0.85062
1.52028,0.774324,1.8833,0.8504278666666667
1.520726,0.774378,1.8933,0.8495047333333332
1.521172,0.774217,1.9032,0.8483813571428571
1.521619,0.774217,1.9132,0.8492705714285714
1.522065,0.774378,1.9232,0.8506351428571428
1.522512,0.77411,1.9332,0.8523257142857144
1.52296,0.774002,1.9432,0.853284142857143
1.523407,0.774271,1.9532,0.8531863846153847
1.523855,0.7747,1.9631,0.8522864615384615
1.524303,0.774807,1.9731,0.8509802857142856
1.524751,0.774754,1.9831,0.8501564615384616
1.5252,0.774861,1.9931,0.8497353846153847
1.525649,0.77529,2.0031,0.8500656153846153
1.526098,0.775237,2.013,0.851399076923077
1.526547,0.774968,2.023,0.8523749166666668
1.526997,0.775505,2.033,0.8533185384615385
1.527447,0.775773,2.043,0.8534435833333335
1.527897,0.775559,2.053,0.8528355000000002
1.528347,0.775398,2.0629,0.8514938461538463
1.528798,0.775505,2.0729,0.8494412499999998
1.529249,0.775773,2.0829,0.8476703333333332
1.5297,0.775988,2.0929,0.8465617272727273
1.530152,0.775773,2.1029,0.8460780833333333
1.530604,0.775827,2.1128,0.84636875
1.531055,0.776203,2.1228,0.8473324545454546
1.531508,0.776525,2.1328,0.84814875
1.53196,0.776686,2.1428,0.8487326363636364
1.532413,0.776578,2.1528,0.8485643636363637
1.532866,0.776578,2.1628,0.8477615454545454
1.53332,0.7769,2.1727,0.8473855454545455
1.533773,0.777061,2.1827,0.8465165454545454
1.534227,0.777169,2.1927,0.845688181818182
1.534682,0.777383,2.2027,0.8453759999999999
1.535136,0.777652,2.2127,0.8447632727272726
1.535591,0.777598,2.2226,0.8443699
1.536046,0.77792,2.2326,0.8443565454545453
1.536501,0.778296,2.2426,0.8444203
1.536956,0.778671,2.2526,0.8440847
1.537412,0.778725,2.2626,0.8437829000000001
1.537868,0.778671,2.2725,0.8433356999999999
1.538324,0.778832,2.2825,0.8431121000000001
1.538781,0.779423,2.2925,0.8422455
1.539238,0.779369,2.3025,0.8417985000000001
1.539695,0.779637,2.3125,0.8412617000000001
1.540153,0.779798,2.3224,0.8411438888888889
1.54061,0.779798,2.3324,0.8410549999999999
1.541068,0.780227,2.3424,0.8400318888888889
1.541527,0.780388,2.3524,0.840242888888889
1.541985,0.780603,2.3624,0.8404175
1.542444,0.780603,2.3724,0.8400320000000001
1.542903,0.780818,2.3823,0.8401312222222221
1.543363,0.781462,2.3923,0.8399015555555556
1.543822,0.781569,2.4023,0.8393422222222221
1.544282,0.78173,2.4123,0.838355
1.544742,0.782159,2.4223,0.8374354444444445
1.545203,0.781945,2.4322,0.8360138749999999
1.545663,0.781945,2.4422,0.834857888888889
1.546124,0.782374,2.4522,0.8337150000000001
1.546586,0.782481,2.4622,0.832659875
1.547047,0.782481,2.4722,0.8314727777777777
1.547509,0.782803,2.4821,0.8307523750000001
1.547971,0.783018,2.4921,0.830165
1.548433,0.783179,2.5021,0.8297647777777778
1.548896,0.78334,2.5121,0.8297248749999999
1.549359,0.783662,2.5221,0.82967625
1.549822,0.783555,2.532,0.8301861249999999
1.550285,0.783984,2.542,0.830465875
1.550749,0.784091,2.552,0.8309270000000001
1.551213,0.784574,2.562,0.8330653749999999
1.551677,0.784682,2.572,0.8327157500000001
1.552142,0.784789,2.5819,0.832569
1.552607,0.785272,2.5919,0.8361585714285714
1.553072,0.785326,2.6019,0.8307243750000001
1.553537,0.784896,2.6119,0.8280609999999999
1.554003,0.784896,2.6219,0.8288306249999999
1.554469,0.785218,2.6319,0.82671325
1.554935,0.785862,2.6418,0.821816
1.555402,0.786131,2.6518,0.8216164285714286
1.555868,0.786238,2.6618,0.8250082499999999
1.556336,0.786399,2.6718,0.8236687142857143
1.556803,0.786721,2.6818,0.8117135714285714
1.557271,0.786667,2.6917,0.8045344285714287
1.557738,0.786721,2.7017,0.7926195714285714
1.558207,0.786828,2.7117,0.7878918571428571
1.558675,0.786882,2.7217,0.7821738571428571
1.559144,0.787311,2.7317,0.7604122857142857
1.559613,0.787687,2.7416,0.7446240000000001
1.560082,0.787794,2.7516,0.7251464285714285
1.560552,0.788009,2.7616,0.704902
1.561022,0.788116,2.7716,0.6978650000000001
1.561492,0.78817,2.7816,0.6888899999999999
1.561963,0.788385,2.7916,0.6813911428571429
1.562433,0.788331,2.8015,0.6752621666666666
1.562905,0.788653,2.8115,0.6672802857142858
1.563376,0.789243,2.8215,0.6621531666666666
1.563848,0.78935,2.8315,0.6564671428571428
1.564319,0.78935,2.8414,0.6509821666666668
1.564792,0.789404,2.8514,0.6458141428571428
1.565264,0.789887,2.8614,0.6401281666666666
1.565737,0.789994,2.8714,0.6360661666666666
1.56621,0.790209,2.8814,0.6324041666666665
1.566683,0.79037,2.8914,0.6290675714285714
1.567156,0.79037,2.9013,0.6266746666666666
1.56763,0.79037,2.9113,0.6246623333333333
1.568105,0.790477,2.9213,0.6234788333333333
1.568579,0.790531,2.9313,0.6220906666666667
1.569054,0.790907,2.9413,0.6213638333333334
1.569529,0.790799,2.9513,0.6208793333333333
1.570004,0.791282,2.9612,0.6205623333333333
1.57048,0.791658,2.9712,0.6205161666666665
1.570956,0.791765,2.9812,0.6209203999999999
1.571432,0.791765,2.9912,0.6213730000000001
1.571908,0.791551,,
1.572385,0.791658,,
1.572862,0.79198,,
1.57334,0.792195,,
1.573817,0.792356,,
1.574295,0.792248,,
1.574773,0.792463,,
1.575252,0.792892,,
1.575731,0.793053,,
1.57621,0.793,,
1.576689,0.793,,
1.577169,0.793053,,
1.577649,0.793429,,
1.578129,0.793697,,
1.57861,0.793697,,
1.57909,0.793429,,
1.579572,0.793536,,
1.580053,0.794073,,
1.580535,0.793966,,
1.581017,0.794073,,
1.581499,0.794288,,
1.581982,0.794556,,
1.582465,0.794824,,
1.582948,0.794878,,
1.583431,0.795039,,
1.583915,0.795146,,
1.584399,0.795361,,
1.584884,0.795415,,
1.585368,0.7952,,
1.585853,0.795307,,
1.586339,0.795522,,
1.586824,0.795897,,
1.58731,0.79638,,
1.587796,0.796058,,
1.588283,0.796112,,
1.588769,0.796434,,
1.589256,0.796595,,
1.589744,0.796702,,
1.590231,0.796863,,
1.590719,0.797078,,
1.591208,0.797454,,
1.591696,0.797722,,
1.592185,0.797722,,
1.592674,0.797561,,
1.593163,0.797668,,
1.593653,0.797829,,
1.594143,0.798098,,
1.594634,0.798366,,
1.595124,0.798849,,
1.595615,0.798956,,
1.596107,0.799117,,
1.596598,0.799117,,
1.59709,0.799547,,
1.597582,0.799922,,
1.598075,0.799869,,
1.598568,0.799708,,
1.599061,0.800137,,
1.599554,0.800405,,
1.600048,0.800727,,
1.600542,0.800888,,
1.601036,0.801371,,
1.60153,0.801479,,
1.602025,0.801801,,
1.602521,0.802069,,
1.603016,0.802176,,
1.603512,0.802176,,
1.604008,0.802498,,
1.604505,0.802874,,
1.605001,0.803142,,
1.605498,0.803411,,
1.605996,0.803733,,
1.606493,0.804054,,
1.606991,0.804376,,
1.60749,0.804806,,
1.607988,0.804859,,
1.608487,0.804698,,
1.608986,0.805074,,
1.609486,0.80545,,
1.609986,0.805557,,
1.610486,0.805825,,
1.610986,0.805718,,
1.611487,0.805879,,
1.611988,0.806255,,
1.61249,0.806577,,
1.612991,0.806899,,
