Wavelength (µm),Sanidine gds19.19863,Wavelength (µm) target,Sanidine gds19.19863 target
0.2586,0.118477,0.44602,0.6946526666666667
0.2636,0.136973,0.456,0.7002876
0.2686,0.171162,0.46598,0.706048
0.2731,0.202837,0.47596,0.7086116
0.2771,0.247255,0.48595,0.7109578
0.2811,0.287344,0.49593,0.7128374
0.2851,0.333398,0.50591,0.7136697999999999
0.2891,0.381518,0.51589,0.7153615999999999
0.2931,0.422253,0.52587,0.7152088000000001
0.2971,0.450776,0.53585,0.7155874000000001
0.3011,0.477869,0.54583,0.7167916
0.3051,0.49551,0.55581,0.7159676000000001
0.3091,0.507645,0.56579,0.7164204
0.3131,0.521427,0.57577,0.717802
0.3171,0.533378,0.58576,0.7202923999999999
0.3211,0.538592,0.59574,0.7203282
0.3251,0.548815,0.60572,0.7199972857142857
0.3291,0.550999,0.6157,0.7208781666666667
0.3331,0.56147,0.62568,0.7218688333333333
0.3371,0.565428,0.63566,0.7239978
0.3411,0.569648,0.64564,0.7251264000000001
0.3531,0.601682,0.65562,0.7266313999999999
0.3571,0.606264,0.6656,0.7288834000000001
0.3606,0.609456,0.67558,0.7305023333333333
0.3636,0.61453,0.68556,0.7310949999999999
0.3666,0.616139,0.69555,0.73287225
0.3696,0.617692,0.70553,0.7347252
0.3726,0.620553,0.71551,0.7348888
0.3756,0.619774,0.72549,0.736574
0.3786,0.620645,0.73547,0.7381004000000001
0.3811,0.625069,0.74545,0.7396652499999999
0.3831,0.630206,0.75543,0.7409172500000001
0.3851,0.63518,0.76541,0.7425069999999999
0.3871,0.637018,0.77539,0.7443956666666667
0.3891,0.641803,0.78537,0.7456626666666667
0.3911,0.64518,0.79536,0.7467010000000001
0.3931,0.648527,0.80534,0.748472
0.3951,0.651469,0.81532,0.7495115
0.3971,0.652598,0.8253,0.749233
0.3991,0.653933,0.83528,0.747569
0.4011,0.655671,0.84526,0.748854
0.4031,0.658234,0.85524,0.756212
0.4051,0.659422,0.8752,0.75766
0.4071,0.661896,0.88518,0.762542
0.4091,0.663131,0.89517,0.762363
0.4111,0.665346,0.90515,0.763199
0.4128,0.669311,0.91513,0.763871
0.4158,0.670047,0.92511,0.769538
0.4188,0.671836,0.93509,0.765942
0.4218,0.674848,0.94507,0.7698065000000001
0.4248,0.678332,0.95505,0.773268
0.4278,0.67939,0.96503,0.774259
0.4308,0.684424,0.97501,0.773595
0.4338,0.686671,0.98499,0.777531
0.4368,0.688485,0.99497,0.777315
0.4398,0.688942,1.005,0.7811874999999999
0.4428,0.692617,1.0149,0.7817045
0.4458,0.6944,1.0249,0.7836135
0.4488,0.696941,1.0349,0.786489
0.4513,0.697401,1.0449,0.7879075
0.4533,0.697882,1.0549,0.7885835
0.4553,0.701111,1.0648,0.7892710000000001
0.4573,0.702517,1.0748,0.790559
0.4593,0.702527,1.0848,0.792025
0.4613,0.704519,1.0948,0.792731
0.4633,0.705009,1.1048,0.7954684999999999
0.4653,0.706146,1.1148,0.7949900000000001
0.4673,0.706658,1.1247,0.7966755
0.4693,0.707908,1.1347,0.7980395
0.4713,0.705627,1.1447,0.7986854999999999
0.4733,0.708304,1.1547,0.7985605
0.4753,0.708136,1.1647,0.7995025
0.4773,0.71053,1.1746,0.8006905
0.4793,0.710461,1.1846,0.8023685
0.4813,0.710466,1.1946,0.802551
0.4833,0.710567,1.2046,0.8035019999999999
0.4853,0.710838,1.2146,0.8050474999999999
0.4873,0.710755,1.2245,0.806207
0.4893,0.712163,1.2345,0.8066975000000001
0.4913,0.712695,1.2445,0.8068040000000001
0.4933,0.712561,1.2545,0.806689
0.4953,0.713745,1.2645,0.8079160000000001
0.4973,0.712919,1.2744,0.8071360000000001
0.4993,0.712267,1.2844,0.8087975000000001
0.5013,0.714186,1.2944,0.808196
0.5033,0.711952,1.3044,0.8097175
0.5053,0.713374,1.3144,0.8109884999999999
0.5073,0.71318,1.3244,0.809821
0.5093,0.715657,1.3343,0.8101165
0.5113,0.715624,1.3443,0.811275
0.5133,0.716121,1.3543,0.8115555000000001
0.5153,0.714744,1.3643,0.811032
0.5173,0.714549,1.3743,0.81179
0.5193,0.71577,1.3842,0.8116289999999999
0.5213,0.715613,1.3942,0.8133135
0.5233,0.714176,1.4042,0.8129485
0.5253,0.714709,1.4142,0.8125475
0.5273,0.716556,1.4242,0.8145355
0.5293,0.71499,1.4341,0.8166545000000001
0.5313,0.714966,1.4441,0.8168835
0.5333,0.714264,1.4541,0.8161160000000001
0.5353,0.716677,1.4641,0.8170455000000001
0.5373,0.71529,1.4741,0.8161339999999999
0.5393,0.71674,1.484,0.817665
0.5413,0.716546,1.494,0.8181645
0.5433,0.717687,1.504,0.817287
0.5453,0.716986,1.514,0.819242
0.5473,0.716958,1.524,0.818898
0.5493,0.715781,1.534,0.820719
0.5513,0.716926,1.5439,0.8205165000000001
0.5533,0.715262,1.5539,0.8214205
0.5553,0.716458,1.5639,0.822796
0.5573,0.715951,1.5739,0.8221515
0.5593,0.715241,1.5839,0.821853
0.5613,0.716811,1.5938,0.8222985
0.5633,0.716162,1.6038,0.821761
0.5653,0.715394,1.6138,0.822501
0.5673,0.716852,1.6238,0.8217715
0.5693,0.716883,1.6338,0.821353
0.5713,0.717349,1.6437,0.8225485
0.5733,0.717138,1.6537,0.823026
0.5753,0.717166,1.6637,0.823762
0.5773,0.718165,1.6737,0.823502
0.5793,0.719192,1.6837,0.822557
0.5813,0.719714,1.6936,0.825669
0.5833,0.719511,1.7036,0.828287
0.5853,0.720221,1.7136,0.823694
0.5873,0.720757,1.7236,0.824455
0.5893,0.721259,1.7336,0.820617
0.5913,0.720772,1.7436,0.824139
0.5933,0.719539,1.7535,0.826078
0.5953,0.720429,1.7635,0.826067
0.5973,0.720437,1.7735,0.823693
0.5993,0.720464,1.7835,0.828124
0.6011,0.719747,1.7935,0.829175
0.6027,0.719741,1.8034,0.826087
0.6043,0.721342,1.8134,0.826947
0.6059,0.720139,1.8234,0.824762
0.6075,0.720234,1.8334,0.82539
0.6091,0.718946,1.8434,0.828799
0.6107,0.719832,1.8533,0.825947
0.6123,0.720002,1.8633,0.825653
0.6139,0.720707,1.8733,0.826147
0.6155,0.72091,1.8833,0.822694
0.6171,0.720917,1.8933,0.82355
0.6187,0.721117,1.9032,0.823145
0.6203,0.721616,1.9132,0.818266
0.6219,0.722565,1.9232,0.820498
0.6235,0.720425,1.9332,0.82333
0.6251,0.721103,1.9432,0.822477
0.6267,0.722998,1.9532,0.823275
0.6283,0.722514,1.9631,0.825512
0.6299,0.721608,1.9731,0.827582
0.6317,0.724379,1.9831,0.828957
0.6337,0.723689,1.9931,0.831195
0.6357,0.723875,2.0031,0.830904
0.6377,0.725067,2.013,0.825094
0.6397,0.722979,2.023,0.831737
0.6417,0.723681,2.033,0.83059
0.6437,0.724889,2.043,0.833427
0.6457,0.72557,2.053,0.831096
0.6477,0.725394,2.0629,0.831186
0.6497,0.726098,2.0729,0.828706
0.6517,0.725922,2.0829,0.83334
0.6537,0.726597,2.0929,0.838147
0.6557,0.725913,2.1029,0.836369
0.6577,0.727109,2.1128,0.838745
0.6597,0.727616,2.1228,0.841353
0.6617,0.728862,2.1328,0.841922
0.6637,0.72814,2.1428,0.837873
0.6657,0.730081,2.1528,0.836584
0.6677,0.729349,2.1628,0.836215
0.6702,0.727985,2.1727,0.832405
0.6732,0.72988,2.1827,0.831486
0.6762,0.730904,2.1927,0.832159
0.6792,0.730723,2.2027,0.827313
0.6822,0.729834,2.2127,0.833465
0.6852,0.73156,2.2226,0.831547
0.6882,0.731891,2.2326,0.830854
0.6912,0.731532,2.2426,0.828049
0.6942,0.731856,2.2526,0.824434
0.6972,0.733971,2.2626,0.832178
0.7002,0.73413,2.2725,0.831883
0.702,0.733766,2.2825,0.831221
0.704,0.73413,2.2925,0.839149
0.706,0.735883,2.3025,0.827434
0.708,0.734301,2.3125,0.83178
0.71,0.735546,2.3224,0.838777
0.712,0.735358,2.3324,0.83705
0.714,0.735666,2.3424,0.83761
0.716,0.73425,2.3524,0.836748
