Wavelength (µm),BKR1KW003D anorthite Kierra <45µm,Wavelength (µm) target,BKR1KW003D anorthite Kierra <45µm target
0.3,0.345948,0.44602,0.8345195
0.305,0.411173,0.456,0.840657
0.31,0.476685,0.46598,0.847901
0.315,0.541165,0.47596,0.8535475
0.32,0.591556,0.48595,0.857499
0.325,0.635111,0.49593,0.862133
0.33,0.667408,0.50591,0.866355
0.335,0.693042,0.51589,0.8695955
0.34,0.711093,0.52587,0.8731535
0.345,0.724509,0.53585,0.8763529999999999
0.35,0.732651,0.54583,0.879353
0.355,0.747291,0.55581,0.881948
0.36,0.751818,0.56579,0.884355
0.365,0.766007,0.57577,0.8869180000000001
0.37,0.76925,0.58576,0.8895029999999999
0.375,0.775172,0.59574,0.8919905
0.38,0.769768,0.60572,0.894073
0.385,0.770222,0.6157,0.895759
0.39,0.780114,0.62568,0.897376
0.395,0.794442,0.63566,0.898733
0.4,0.802557,0.64564,0.900291
0.405,0.810106,0.65562,0.9019775000000001
0.41,0.811639,0.6656,0.9039065
0.415,0.815963,0.67558,0.9063095000000001
0.42,0.81413,0.68556,0.908092
0.425,0.822061,0.69555,0.9087965
0.43,0.824488,0.70553,0.9095314999999999
0.435,0.830841,0.71551,0.9100824999999999
0.44,0.83039,0.72549,0.910354
0.445,0.83414,0.73547,0.9117505
0.45,0.834899,0.74545,0.9113929999999999
0.455,0.840023,0.75543,0.9113279999999999
0.46,0.841291,0.76541,0.9123135
0.465,0.847361,0.77539,0.9130695
0.47,0.848441,0.78537,0.9128099999999999
0.475,0.853121,0.79536,0.9124615
0.48,0.853974,0.80534,0.9123049999999999
0.485,0.857066,0.81532,0.9124019999999999
0.49,0.857932,0.8253,0.9115685
0.495,0.861894,0.83528,0.9116945000000001
0.5,0.862372,0.84526,0.9127460000000001
0.505,0.865928,0.85524,0.9120225
0.51,0.866782,0.86522,0.9129769999999999
0.515,0.869224,0.8752,0.9131905
0.52,0.869967,0.88518,0.91247
0.525,0.872916,0.89517,0.9125595
0.53,0.873391,0.90515,0.910675
0.535,0.875726,0.91513,0.9097405000000001
0.54,0.87698,0.92511,0.908487
0.545,0.878999,0.93509,0.9074935
0.55,0.879707,0.94507,0.90661
0.555,0.881617,0.95505,0.9055325
0.56,0.882279,0.96503,0.9040435
0.565,0.884101,0.97501,0.902942
0.57,0.884609,0.98499,0.902253
0.575,0.886507,0.99497,0.901205
0.58,0.887329,1.005,0.9003669999999999
0.585,0.88917,1.0149,0.898832
