Wavelength (µm),BKR1KW003E anorthite Kierra <45µm heated 650 °C under vacuum,Wavelength (µm) target,BKR1KW003E anorthite Kierra <45µm heated 650 °C under vacuum target
0.3,0.334436,0.44602,0.729873
0.305,0.393323,0.456,0.736358
0.31,0.454611,0.46598,0.7431425
0.315,0.507841,0.47596,0.7491735
0.32,0.553444,0.48595,0.7543815
0.325,0.582792,0.49593,0.7601825
0.33,0.609282,0.50591,0.7651680000000001
0.335,0.625392,0.51589,0.7698849999999999
0.34,0.638229,0.52587,0.7755160000000001
0.345,0.64687,0.53585,0.781207
0.35,0.654768,0.54583,0.786968
0.355,0.659558,0.55581,0.793085
0.36,0.667504,0.56579,0.7998845
0.365,0.670507,0.57577,0.805891
0.37,0.676361,0.58576,0.8116639999999999
0.375,0.676826,0.59574,0.8164125
0.38,0.676857,0.60572,0.8206205
0.385,0.677041,0.6157,0.823655
0.39,0.684624,0.62568,0.8270065
0.395,0.692138,0.63566,0.8299145
0.4,0.699912,0.64564,0.8330124999999999
0.405,0.702106,0.65562,0.836412
0.41,0.707863,0.6656,0.839925
0.415,0.708749,0.67558,0.843259
0.42,0.712357,0.68556,0.8462805
0.425,0.71444,0.69555,0.8487180000000001
0.43,0.719872,0.70553,0.8510880000000001
0.435,0.722026,0.71551,0.8537535
0.44,0.725804,0.72549,0.8560559999999999
0.445,0.727883,0.73547,0.8589085000000001
0.45,0.731863,0.74545,0.8618545
0.455,0.733995,0.75543,0.8639479999999999
0.46,0.738721,0.76541,0.8656079999999999
0.465,0.741468,0.77539,0.867182
0.47,0.744817,0.78537,0.868471
0.475,0.747496,0.79536,0.8698735
0.48,0.750851,0.80534,0.8714295000000001
0.485,0.752767,0.81532,0.8725045
0.49,0.755996,0.8253,0.8740095
0.495,0.75811,0.83528,0.8739775000000001
0.5,0.762255,0.84526,0.8763885
0.505,0.763359,0.85524,0.877401
0.51,0.766977,0.86522,0.8778969999999999
0.515,0.768331,0.8752,0.878575
0.52,0.771439,0.88518,0.8778265000000001
0.525,0.77402,0.89517,0.878154
0.53,0.777012,0.90515,0.878555
0.535,0.779422,0.91513,0.8790005000000001
0.54,0.782992,0.92511,0.8789530000000001
0.545,0.785404,0.93509,0.879218
0.55,0.788532,0.94507,0.8793055000000001
0.555,0.791383,0.95505,0.879448
0.56,0.794787,0.96503,0.8798265000000001
0.565,0.798098,0.97501,0.8798125
0.57,0.801671,0.98499,0.87928
0.575,0.804119,0.99497,0.879644
0.58,0.807663,1.005,0.8793835000000001
0.585,0.810237,1.0149,0.87966
0.59,0.813091,1.0249,0.8794565
0.595,0.815185,1.0349,0.879471
0.6,0.81764,1.0449,0.8792305
0.605,0.819997,1.0549,0.8792335
0.61,0.821244,1.0648,0.879394
0.615,0.823183,1.0748,0.8792215
0.62,0.824127,1.0848,0.8794455
0.625,0.826431,1.0948,0.8802395000000001
0.63,0.827582,1.1048,0.8808085
0.635,0.829395,1.1148,0.880961
0.64,0.830434,1.1247,0.88123
0.645,0.8325,1.1347,0.8811709999999999
0.65,0.833525,1.1447,0.8813745
0.655,0.835644,1.1547,0.8814235
0.66,0.83718,1.1647,0.881685
0.665,0.839012,1.1746,0.882082
0.67,0.840838,1.1846,0.8820045
0.675,0.842743,1.1946,0.88201
0.68,0.843775,1.2046,0.8821335
0.685,0.845737,1.2146,0.881887
0.69,0.846824,1.2245,0.8822675
0.695,0.84777,1.2345,0.8824725
0.7,0.849666,1.2445,0.882846
0.705,0.850827,1.2545,0.8830965
0.71,0.851349,1.2645,0.8828320000000001
0.715,0.853883,1.2744,0.8837250000000001
0.72,0.853624,1.2844,0.884
0.725,0.856022,1.2944,0.8846195
0.73,0.85609,1.3044,0.8850245
0.735,0.858589,1.3144,0.885518
0.74,0.859228,1.3244,0.8865055
0.745,0.860862,1.3343,0.886826
