Wavelength (µm) raw,Microcline hs108.13749 raw,Wavelength (µm) bin avg,Microcline hs108.13749 bin avg,Wavelength (µm) cubic spline of bin avg,Microcline hs108.13749 cubic spline of bin avg
0.2971,0.397667,0.44602,0.4986973333333333,0.44602,0.4986973333333333
0.3011,0.405406,0.456,0.5065926000000001,0.45607988142292494,0.5066496255148651
0.3051,0.414932,0.46598,0.5138469999999999,0.46613976284584985,0.5139725971507441
0.3091,0.416259,0.47596,0.5219194,0.4761996442687747,0.522099584830457
0.3131,0.419996,0.48595,0.5287919999999999,0.4862595256916996,0.5290049030710212
0.3171,0.427737,0.49593,0.5355155999999999,0.4963194071146245,0.5357414839872373
0.3211,0.429822,0.50591,0.5412386,0.5063792885375494,0.5415782508610488
0.3251,0.431076,0.51589,0.5490160000000001,0.5164391699604743,0.5493508629065553
0.3291,0.434675,0.52587,0.5547175999999999,0.5264990513833993,0.5552581822184858
0.3331,0.437229,0.53585,0.5665598,0.5365589328063242,0.56751265961058
0.3371,0.438814,0.54583,0.5813694,0.5466188142292491,0.582821962084011
0.3411,0.438399,0.55581,0.6041321999999999,0.556678695652174,0.606544554327111
0.3451,0.443988,0.56579,0.6349623999999999,0.5667385770750988,0.638154050142362
0.3491,0.442683,0.57577,0.668219,0.5767984584980237,0.6713920430878867
0.3531,0.446568,0.58576,0.6966287999999999,0.5868583399209486,0.6995610722819342
0.3571,0.445349,0.59574,0.7195525999999999,0.5969182213438735,0.7212765438012364
0.3606,0.45046,0.60572,0.7291882857142856,0.6069781027667984,0.7302092466367187
0.3636,0.448907,0.6157,0.7367233333333333,0.6170379841897233,0.7372180316169814
0.3666,0.448934,0.62568,0.7381321666666668,0.6270978656126482,0.7383664703203194
0.3696,0.45152,0.63566,0.7409316,0.6371577470355732,0.741372034328362
0.3726,0.453079,0.64564,0.7436122000000001,0.6472176284584981,0.744087922909437
0.3756,0.45195,0.65562,0.7472416,0.657277509881423,0.7479740458317959
