Wavelength (µm),Orthoclase nmn h142137.17349 spliced,Wavelength (µm) target,Orthoclase nmn h142137.17349 spliced target
0.29710000000000003,0.29242,0.44602,0.69124
0.30110000000000003,0.32803,0.456,0.701796
0.30510000000000004,0.3614,0.46598,0.709464
0.30910000000000004,0.39275,0.47596,0.7149880000000001
0.31310000000000004,0.41984,0.48595,0.7194740000000001
0.31710000000000005,0.44468,0.49593,0.7237920000000001
0.3211,0.46604,0.50591,0.728296
0.3251,0.48475,0.51589,0.7324780000000001
0.3291,0.50053,0.52587,0.736722
0.3331,0.51396,0.53585,0.740996
0.3371,0.52526,0.54583,0.7441340000000001
0.3411,0.53459,0.55581,0.7461180000000001
0.3451,0.55108,0.56579,0.748812
0.3491,0.56609,0.57577,0.7514540000000001
0.3531,0.58115,0.58576,0.753694
0.35710000000000003,0.59493,0.59574,0.75517
0.36060000000000003,0.60866,0.60572,0.7568957142857142
0.36360000000000003,0.61262,0.6157,0.7588783333333334
0.36660000000000004,0.61506,0.62568,0.7607366666666667
0.36960000000000004,0.61453,0.63566,0.7622920000000001
0.37260000000000004,0.613,0.64564,0.76372
0.37560000000000004,0.61219,0.65562,0.7653
0.37860000000000005,0.6123,0.6656,0.767402
0.38110000000000005,0.61449,0.67558,0.7682466666666666
0.3831,0.62043,0.68556,0.7698200000000001
0.3851,0.62749,0.69555,0.7716475
0.3871,0.63464,0.70553,0.77288
0.3891,0.6414,0.71551,0.773884
0.3911,0.64722,0.72549,0.774858
0.3931,0.65138,0.73547,0.776178
0.3951,0.65529,0.74545,0.7771549999999999
0.3971,0.65816,0.75543,0.778445
0.3991,0.66032,0.76541,0.7790266666666666
0.4011,0.66214,0.77539,0.7803366666666666
0.4031,0.66382,0.78537,0.7815
0.4051,0.66499,0.79536,0.782505
0.4071,0.66615,0.80534,0.783515
0.4091,0.667,0.81532,0.78424
0.4111,0.66758,0.8253,0.78458
0.4128,0.66834,0.83528,0.78512
0.4158,0.66923,0.84526,0.78597
0.4188,0.67058,0.85524,0.786605
0.4218,0.67274,0.8752,0.78794
0.4248,0.67532,0.88518,0.78804
0.4278,0.67842,0.89517,0.78802
0.4308,0.68101,0.90515,0.78794
0.4338,0.68327,0.91513,0.78757
0.4368,0.68536,0.92511,0.78672
0.4398,0.68708,0.93509,0.78611
0.4428,0.68873,0.94507,0.7855300000000001
0.44580000000000003,0.69119,0.95505,0.78605
0.44880000000000003,0.6938,0.96503,0.7863249999999999
0.45130000000000003,0.69673,0.97501,0.78668
0.45330000000000004,0.69972,0.98499,0.7849550000000001
0.45530000000000004,0.70207,0.99497,0.78369
0.4573,0.70431,1.005,0.7826500000000001
0.4593,0.70615,1.0149,0.782385
0.4613,0.70716,1.0249,0.7826850000000001
0.4633,0.7084,1.0349,0.78242
0.4653,0.70976,1.0449,0.78206
0.4673,0.71067,1.0549,0.7813950000000001
0.4693,0.71133,1.0648,0.78069
0.4713,0.71283,1.0748,0.779065
0.4733,0.71389,1.0848,0.7784
0.4753,0.71509,1.0948,0.7775449999999999
0.4773,0.71592,1.1048,0.77691
0.4793,0.71721,1.1148,0.7761899999999999
0.4813,0.71789,1.1247,0.77497
0.4833,0.71863,1.1347,0.77371
0.4853,0.71911,1.1447,0.7733
0.4873,0.72039,1.1547,0.7722249999999999
0.4893,0.72135,1.1647,0.771425
0.4913,0.72208,1.1746,0.77083
0.4933,0.72307,1.1846,0.77092
0.4953,0.72393,1.1946,0.770065
0.4973,0.72465,1.2046,0.76911
0.4993,0.72523,1.2146,0.7685649999999999
0.5013,0.72641,1.2245,0.7680400000000001
0.5033,0.72716,1.2345,0.767705
0.5053,0.72855,1.2445,0.76783
0.5073,0.72912,1.2545,0.76793
0.5093,0.73024,1.2645,0.768285
0.5113,0.73066,1.2744,0.76814
0.5133,0.73164,1.2844,0.768375
0.5153,0.73223,1.2944,0.768635
0.5173,0.73349,1.3044,0.768805
0.5193,0.73437,1.3144,0.76902
0.5213,0.73507,1.3244,0.7694300000000001
0.5233,0.7359,1.3343,0.76952
0.5253,0.73673,1.3443,0.7693749999999999
0.5273,0.73773,1.3543,0.769725
0.5293,0.73818,1.3643,0.77086
0.5313,0.73956,1.3743,0.771755
0.5333,0.74044,1.3842,0.7726599999999999
0.5353,0.74107,1.3942,0.7730950000000001
0.5373,0.7414,1.4042,0.7737700000000001
0.5393,0.74251,1.4142,0.775
0.5413,0.74314,1.4242,0.77652
0.5433,0.74376,1.4341,0.777605
0.5453,0.74428,1.4441,0.77871
0.5473,0.74464,1.4541,0.77989
0.5492999999999999,0.74485,1.4641,0.78077
0.5512999999999999,0.74516,1.4741,0.7821750000000001
0.5532999999999999,0.74551,1.484,0.78293
0.5552999999999999,0.74609,1.494,0.7832
0.5572999999999999,0.74662,1.504,0.7841199999999999
0.5592999999999999,0.74721,1.514,0.785235
0.5612999999999999,0.74741,1.524,0.78667
0.5632999999999999,0.74829,1.534,0.78737
0.5652999999999999,0.74889,1.5439,0.7878149999999999
0.5672999999999999,0.74956,1.5539,0.78908
0.5692999999999999,0.74991,1.5639,0.78994
0.5712999999999999,0.75055,1.5739,0.790905
0.5732999999999999,0.75097,1.5839,0.79074
0.5752999999999999,0.75132,1.5938,0.79166
0.5772999999999999,0.75182,1.6038,0.792
0.5792999999999999,0.75261,1.6138,0.79184
0.5812999999999999,0.75311,1.6238,0.792535
0.5832999999999999,0.75309,1.6338,0.79323
0.5852999999999999,0.7538,1.6437,0.793635
0.5872999999999999,0.7543,1.6537,0.79453
0.5892999999999999,0.75417,1.6637,0.794035
0.5912999999999999,0.75448,1.6737,0.79389
0.5932999999999999,0.75497,1.6837,0.79483
0.5952999999999999,0.75508,1.6936,0.79591
0.5972999999999999,0.75529,1.7036,0.79756
0.5992999999999999,0.75603,1.7136,0.79906
0.6011,0.75635,1.7236,0.79804
0.6027,0.7567,1.7336,0.79833
0.6043,0.75678,1.7436,0.798225
0.6059,0.75688,1.7535,0.79868
0.6075,0.75688,1.7635,0.79935
0.6091,0.75715,1.7735,0.79937
0.6107,0.75753,1.7835,0.799745
0.6123,0.75793,1.7935,0.79977
0.6139,0.75817,1.8034,0.79946
0.6155,0.75869,1.8134,0.7994
0.6171,0.75929,1.8234,0.79989
0.6187,0.75951,1.8334,0.80043
0.6203,0.75968,1.8434,0.80044
0.6219,0.76027,1.8533,0.80074
0.6235,0.76052,1.8633,0.8004
0.6251,0.76041,1.8733,0.7993
0.6267,0.76079,1.8833,0.79872
0.6283,0.76102,1.8933,0.79836
0.6299,0.76141,1.9032,0.79809
0.6317,0.76158,1.9132,0.79822
0.6337,0.7621,1.9232,0.79802
0.6357,0.76223,1.9332,0.79804
0.6377,0.76265,1.9432,0.79883
0.6397,0.7629,1.9532,0.79935
0.6417,0.76325,1.9631,0.80033
0.6437,0.76346,1.9731,0.80212
0.6457,0.76368,1.9831,0.80351
0.6477,0.76414,1.9931,0.80376
0.6497,0.76407,2.0031,0.8047563636363637
0.6517000000000001,0.76443,2.013,0.8055200000000001
0.6537000000000001,0.76479,2.023,0.8067258333333335
0.6557000000000001,0.76525,2.033,0.8077938461538461
0.6577000000000001,0.76571,2.043,0.8086224999999999
0.6597000000000001,0.76632,2.053,0.8092992307692307
0.6617000000000001,0.76689,2.0629,0.8096141666666666
0.6637000000000001,0.76736,2.0729,0.8094941666666667
0.6657000000000001,0.76744,2.0829,0.8092366666666667
0.6677000000000001,0.76751,2.0929,0.8090018181818182
0.6702,0.76781,2.1029,0.8087891666666667
0.6732,0.76796,2.1128,0.8091291666666667
0.6762,0.76808,2.1228,0.8095618181818179
0.6792,0.7687,2.1328,0.8102966666666666
0.6822,0.76914,2.1428,0.8110745454545455
0.6852,0.76974,2.1528,0.8116090909090908
0.6882,0.77058,2.1628,0.8120336363636365
0.6912,0.77103,2.1727,0.8120281818181819
0.6942,0.77145,2.1827,0.8114872727272726
0.6972,0.77185,2.1927,0.8108281818181818
0.7002,0.77226,2.2027,0.809973
0.702,0.77224,2.2127,0.8093454545454545
0.704,0.77262,2.2226,0.8090029999999999
0.706,0.77292,2.2326,0.8088418181818181
0.708,0.77328,2.2426,0.8090050000000002
0.71,0.77334,2.2526,0.809464
0.712,0.77347,2.2626,0.8100289999999999
0.714,0.77371,2.2725,0.8104090000000002
0.716,0.77397,2.2825,0.8107230000000001
0.718,0.77394,2.2925,0.8105070000000001
0.72,0.77433,2.3025,0.8098349999999999
0.722,0.77453,2.3125,0.8097300000000001
0.724,0.77462,2.3224,0.8094011111111112
0.726,0.77483,2.3324,0.8087579999999999
0.728,0.77518,2.3424,0.8080033333333332
0.73,0.77513,2.3524,0.8075055555555557
0.732,0.77551,2.3624,0.8076099999999998
0.734,0.77619,2.3724,0.8076422222222223
0.736,0.77639,2.3823,0.8082855555555555
0.738,0.77635,2.3923,0.8087866666666667
0.74,0.77645,2.4023,0.8094366666666666
0.742,0.77684,2.4123,0.8099322222222223
0.744,0.77682,2.4223,0.8099077777777777
0.746,0.7771,2.4322,0.80949875
0.748,0.77786,2.4422,0.8090744444444444
0.7505,0.77836,2.4522,0.8082011111111111
0.7535,0.77843,2.4622,0.80722
0.7565,0.77835,2.4722,0.80614
0.7595,0.77864,2.4821,0.8052937499999999
0.7625,0.77871,2.4921,0.804425
0.7655,0.77904,2.5021,0.8039033333333333
0.7685,0.77933,2.5121,0.80365875
0.7715,0.7799,2.5221,0.8038737499999999
0.7745,0.78035,2.532,0.80412625
0.7775,0.78076,2.542,0.8049550000000001
0.781,0.78118,2.552,0.80544
0.785,0.78134,2.562,0.8043475
0.789,0.78198,2.572,0.80455625
0.793,0.78219,2.5819,0.80417875
0.797,0.78282,2.5919,0.8008799999999999
0.8015,0.78311,2.6019,0.80312
0.8065,0.78392,2.6119,0.8027987499999999
0.8115,0.78397,2.6219,0.80164
0.8165,0.78451,2.6319,0.8009400000000001
