Wavelength (µm) raw,Pigeonite hs199 spliced raw,Wavelength (µm) bin avg,Pigeonite hs199 spliced bin avg,Wavelength (µm) cubic spline of bin avg,Pigeonite hs199 spliced cubic spline of bin avg
0.3011,0.066997,0.44602,0.14990233333333333,0.44602,0.14990233333333333
0.3051,0.071523,0.456,0.1522364,0.4566247916666667,0.15253114647400948
0.3091,0.077046,0.46598,0.1562572,0.46722958333333336,0.15644235243423868
0.3131,0.079934,0.47596,0.15669080000000002,0.47783437500000003,0.15699234934304293
0.3171,0.087208,0.48595,0.159505,0.4884391666666667,0.16030467713901753
0.3211,0.089264,0.49593,0.16185139999999998,0.49904395833333337,0.16197237034599374
0.3251,0.094608,0.50591,0.16224120000000003,0.50964875,0.16307121751853365
0.3291,0.097637,0.51589,0.165111,0.5202535416666667,0.16640079246582104
0.3331,0.101027,0.52587,0.16772460000000003,0.5308583333333333,0.16865137390849053
0.3371,0.103581,0.53585,0.16945359999999998,0.541463125,0.17029298361814535
0.3411,0.107473,0.54583,0.1708204,0.5520679166666667,0.17131484667941937
0.3451,0.107436,0.55581,0.17160060000000002,0.5626727083333334,0.17239867136723527
0.3491,0.109603,0.56579,0.1729056,0.5732775,0.17429479403156836
0.3531,0.113135,0.57577,0.1746436,0.5838822916666667,0.1751664054481319
0.3571,0.115178,0.58576,0.1752934,0.5944870833333333,0.17614907506059937
0.3606,0.117811,0.59574,0.17621060000000002,0.6050918750000001,0.1761728857539153
0.3636,0.118292,0.60572,0.1762021428571429,0.6156966666666667,0.1771892070778871
0.3666,0.120078,0.6157,0.17718933333333334,0.6263014583333334,0.17719736390411536
0.3696,0.120881,0.62568,0.17714266666666667,0.63690625,0.17843876819281376
0.3726,0.12359,0.63566,0.1784338,0.6475110416666667,0.17770470493696086
0.3756,0.125011,0.64564,0.17771280000000003,0.6581158333333333,0.17844178573079264
0.3786,0.124909,0.65562,0.1783078,0.6687206250000001,0.17898738504022862
0.3811,0.127752,0.6656,0.17873300000000003,0.6793254166666667,0.17986099985907503
0.3831,0.12756,0.67558,0.179639,0.6899302083333334,0.18076344479009857
0.3851,0.128903,0.68556,0.18025066666666667,0.700535,0.18192588287813938
0.3871,0.130385,0.69555,0.18148775,0.7111397916666666,0.18277590556014792
0.3891,0.132452,0.70553,0.18228740000000002,0.7217445833333334,0.18340426271348664
0.3911,0.133661,0.71551,0.1831142,0.7323493750000001,0.18417154899747512
0.3931,0.133791,0.72549,0.1835912,0.7429541666666667,0.18513624737294776
0.3951,0.134751,0.73547,0.1844878,0.7535589583333333,0.18525515230849932
0.3971,0.133492,0.74545,0.18525025,0.76416375,0.1854912854201413
0.3991,0.135575,0.75543,0.18525925,0.7747685416666668,0.18529946860247742
0.4011,0.137636,0.76541,0.18550966666666666,0.7853733333333334,0.18499035488168114
0.4031,0.136558,0.77539,0.185273,0.795978125,0.18494983276762142
0.4051,0.140101,0.78537,0.18499033333333334,0.8065829166666667,0.18372087582180927
0.4071,0.13846,0.79536,0.18499549999999998,0.8171877083333334,0.18278263261595418
0.4091,0.139194,0.80534,0.18382199999999999,0.8277925,0.17938369273302668
0.4111,0.139974,0.81532,0.18308750000000001,0.8383972916666667,0.17507139429523363
0.4128,0.140324,0.8253,0.180406,0.8490020833333334,0.17296604488419587
