Wavelength (µm),split 92 <125 µm,Wavelength (µm) target,split 92 <125 µm target
0.3,0.069058,0.44602,0.2112
0.305,0.069252,0.456,0.21753
0.31,0.070823,0.46598,0.22352
0.315,0.074713,0.47596,0.228945
0.32,0.079134,0.48595,0.23524499999999998
0.325,0.083104,0.49593,0.24179499999999998
0.33,0.087733,0.50591,0.24506499999999998
0.335,0.093737,0.51589,0.25546
0.34,0.099702,0.52587,0.26200999999999997
0.345,0.10602,0.53585,0.26593500000000003
0.35,0.11262,0.54583,0.268015
0.355,0.11999,0.55581,0.273295
0.36,0.12746,0.56579,0.27764
0.365,0.13484,0.57577,0.28098
0.37,0.14202,0.58576,0.28386
0.375,0.14882,0.59574,0.28628
0.38,0.15526,0.60572,0.28796
0.385,0.16231,0.6157,0.290075
0.39,0.1674,0.62568,0.29149
0.395,0.17275,0.63566,0.293205
0.4,0.17808,0.64564,0.29438
0.405,0.18402,0.65562,0.295535
0.41,0.18815,0.6656,0.29621
0.415,0.1926,0.67558,0.297255
0.42,0.1962,0.68556,0.29796999999999996
0.425,0.19883,0.69555,0.297985
0.43,0.20147,0.70553,0.29769
0.435,0.20463,0.71551,0.29722000000000004
0.44,0.2074,0.72549,0.29586
0.445,0.20989,0.73547,0.293245
0.45,0.21251,0.74545,0.288665
0.455,0.2155,0.75543,0.28215500000000004
0.46,0.21956,0.76541,0.27462
0.465,0.22242,0.77539,0.26502000000000003
0.47,0.22462,0.78537,0.25394
0.475,0.22744,0.79536,0.24104
0.48,0.23045,0.80534,0.22691
0.485,0.23384,0.81532,0.211995
0.49,0.23665,0.8253,0.197395
0.495,0.24028,0.83528,0.183545
0.5,0.24331,0.84526,0.170715
0.505,0.24208,0.85524,0.16139
0.51,0.24805,0.86522,0.151925
0.515,0.25356,0.8752,0.14357
0.52,0.25736,0.88518,0.136695
0.525,0.26032,0.89517,0.13155
0.53,0.2637,0.90515,0.12783
0.535,0.26539,0.91513,0.125645
0.54,0.26648,0.92511,0.124755
0.545,0.26723,0.93509,0.12538
0.55,0.2688,0.94507,0.12771500000000002
0.555,0.272,0.95505,0.13134
0.56,0.27459,0.96503,0.13666
0.565,0.27686,0.97501,0.1439
0.57,0.27842,0.98499,0.1502
0.575,0.28009,0.99497,0.15731499999999998
0.58,0.28187,1.005,0.16799
0.585,0.28317,1.0149,0.17945
