Wavelength (µm),ALH-271 spot f,Wavelength (µm) target,ALH-271 spot f target
0.3,0.057685,0.44602,0.15241
0.305,0.060534,0.456,0.155415
0.31,0.062072,0.46598,0.15853499999999998
0.315,0.064111,0.47596,0.16142
0.32,0.06848,0.48595,0.16443000000000002
0.325,0.071183,0.49593,0.167925
0.33,0.074777,0.50591,0.169385
0.335,0.078965,0.51589,0.17598999999999998
0.34,0.082435,0.52587,0.17989
0.345,0.086173,0.53585,0.181745
0.35,0.090999,0.54583,0.182115
0.355,0.094995,0.55581,0.184595
0.36,0.099534,0.56579,0.187135
0.365,0.10473,0.57577,0.18843500000000002
0.37,0.10834,0.58576,0.18976500000000002
0.375,0.11285,0.59574,0.190345
0.38,0.11743,0.60572,0.19095499999999999
0.385,0.1209,0.6157,0.19178499999999998
0.39,0.12473,0.62568,0.191965
0.395,0.12808,0.63566,0.19227
0.4,0.13209,0.64564,0.19221
0.405,0.1359,0.65562,0.19174
0.41,0.13773,0.6656,0.19135999999999997
0.415,0.14179,0.67558,0.19161499999999998
0.42,0.14447,0.68556,0.19097
0.425,0.14588,0.69555,0.189865
0.43,0.14743,0.70553,0.18925
0.435,0.1492,0.71551,0.18825
0.44,0.15044,0.72549,0.18642999999999998
0.445,0.15162,0.73547,0.18351
0.45,0.1532,0.74545,0.1805
0.455,0.15445,0.75543,0.17496
0.46,0.15638,0.76541,0.168015
0.465,0.15772,0.77539,0.160935
0.47,0.15935,0.78537,0.15266000000000002
0.475,0.1607,0.79536,0.143365
0.48,0.16214,0.80534,0.13374999999999998
0.485,0.16366,0.81532,0.12498999999999999
0.49,0.1652,0.8253,0.116525
0.495,0.1672,0.83528,0.10899
0.5,0.16865,0.84526,0.10228999999999999
0.505,0.16756,0.85524,0.0965045
0.51,0.17121,0.86522,0.0918205
0.515,0.17481,0.8752,0.08738950000000001
0.52,0.17717,0.88518,0.08383550000000001
0.525,0.17934,0.89517,0.08077200000000001
0.53,0.18044,0.90515,0.07888
0.535,0.18155,0.91513,0.077665
0.54,0.18194,0.92511,0.076881
0.545,0.18169,0.93509,0.07707449999999999
0.55,0.18254,0.94507,0.077769
0.555,0.18381,0.95505,0.07923050000000001
0.56,0.18538,0.96503,0.0812345
0.565,0.18682,0.97501,0.0840225
0.57,0.18745,0.98499,0.086661
0.575,0.18798,0.99497,0.0895745
0.58,0.18889,1.005,0.0939735
0.585,0.18952,1.0149,0.0988555
0.59,0.19001,1.0249,0.10436
0.595,0.19022,1.0349,0.110025
0.6,0.19047,1.0449,0.11542
0.605,0.19097,1.0549,0.12116
0.61,0.19094,1.0648,0.126
0.615,0.19169,1.0748,0.130345
0.62,0.19188,1.0848,0.13405
0.625,0.1918,1.0948,0.13733
0.63,0.19213,1.1048,0.14004
0.635,0.19201,1.1148,0.142175
0.64,0.19253,1.1247,0.144055
0.645,0.19217,1.1347,0.1452
0.65,0.19225,1.1447,0.14632499999999998
0.655,0.19177,1.1547,0.14735
0.66,0.19171,1.1647,0.147965
0.665,0.19132,1.1746,0.14856000000000003
0.67,0.1914,1.1846,0.14941500000000002
0.675,0.19115,1.1946,0.15012
0.68,0.19208,1.2046,0.15102500000000002
0.685,0.19122,1.2146,0.151935
0.69,0.19072,1.2245,0.15262
0.695,0.18999,1.2345,0.15285500000000002
0.7,0.18974,1.2445,0.1535
0.705,0.1892,1.2545,0.154005
0.71,0.1893,1.2645,0.15439
0.715,0.18837,1.2744,0.15487499999999998
0.72,0.18813,1.2844,0.15540500000000002
0.725,0.18722,1.2944,0.15613
0.73,0.18564,1.3044,0.15671000000000002
0.735,0.18414,1.3144,0.15731
0.74,0.18288,1.3244,0.158055
0.745,0.18143,1.3343,0.15845
0.75,0.17957,1.3443,0.15885500000000002
0.755,0.17739,1.3543,0.158765
0.76,0.17253,1.3643,0.158905
0.765,0.16979,1.3743,0.159285
0.77,0.16624,1.3842,0.15936499999999998
0.775,0.16308,1.3942,0.1591
0.78,0.15879,1.4042,0.158165
0.785,0.15483,1.4142,0.15828
0.79,0.15049,1.4242,0.15772
0.795,0.14595,1.4341,0.15733000000000003
0.8,0.14078,1.4441,0.156215
0.805,0.13604,1.4541,0.15533
0.81,0.13146,1.4641,0.154175
0.815,0.12724,1.4741,0.152845
0.82,0.12274,1.484,0.151395
0.825,0.11866,1.494,0.14997500000000002
0.83,0.11439,1.504,0.14838
0.835,0.11083,1.514,0.14666
0.84,0.10715,1.524,0.144845
0.845,0.10359,1.534,0.14271499999999998
0.85,0.10099,1.5439,0.14083
0.855,0.097655,1.5539,0.138655
0.86,0.095354,1.5639,0.136515
0.865,0.092999,1.5739,0.13383499999999998
0.87,0.090642,1.5839,0.13182
0.875,0.088341,1.5938,0.12944
0.88,0.086438,1.6038,0.12747
0.885,0.084687,1.6138,0.12531
0.89,0.082984,1.6238,0.12329499999999999
0.895,0.081472,1.6338,0.12075
0.9,0.080072,1.6437,0.118925
0.905,0.079474,1.6537,0.1164
0.91,0.078286,1.6637,0.11518
0.915,0.077869,1.6737,0.113115
0.92,0.077461,1.6837,0.11099500000000001
0.925,0.077081,1.6936,0.109315
0.93,0.076681,1.7036,0.10772
0.935,0.076998,1.7136,0.10575000000000001
0.94,0.077151,1.7236,0.10386000000000001
0.945,0.077508,1.7336,0.1021
0.95,0.07803,1.7436,0.10063
0.955,0.078737,1.7535,0.0990455
0.96,0.079724,1.7635,0.0976455
0.965,0.080457,1.7735,0.09627
0.97,0.082012,1.7835,0.094833
0.975,0.083375,1.7935,0.0936375
0.98,0.08467,1.8034,0.0923325
0.985,0.086661,1.8134,0.0912505
0.99,0.088489,1.8234,0.090286
0.995,0.09066,1.8334,0.0892185
1.0,0.092736,1.8434,0.0884405
1.005,0.095211,1.8533,0.0877415
1.01,0.097521,1.8633,0.08710899999999999
1.015,0.10019,1.8733,0.08597250000000001
1.02,0.103,1.8833,0.0860745
1.025,0.10572,1.8933,0.085239
1.03,0.10851,1.9032,0.0845285
1.035,0.11154,1.9132,0.084348
1.04,0.11407,1.9232,0.0840785
1.045,0.11677,1.9332,0.0838395
1.05,0.11998,1.9432,0.08349200000000001
1.055,0.12234,1.9532,0.083087
1.06,0.12485,1.9631,0.0829125
1.065,0.12715,1.9731,0.0831185
1.07,0.12933,1.9831,0.0830635
1.075,0.13136,1.9931,0.083071
1.08,0.13319,2.0031,0.08325199999999999
1.085,0.13491,2.013,0.08359549999999999
1.09,0.13645,2.023,0.083758
1.095,0.13821,2.033,0.084207
1.1,0.13943,2.043,0.084593
1.105,0.14065,2.053,0.08496300000000001
1.11,0.14165,2.0629,0.0855095
1.115,0.1427,2.0729,0.086007
1.12,0.14383,2.0829,0.0865055
1.125,0.14428,2.0929,0.0872735
1.13,0.14502,2.1029,0.0879365
1.135,0.14538,2.1128,0.088814
1.14,0.14615,2.1228,0.08936150000000001
1.145,0.1465,2.1328,0.09024
1.15,0.14699,2.1428,0.09114649999999999
1.155,0.14771,2.1528,0.09216949999999999
1.16,0.1478,2.1628,0.0929955
1.165,0.14813,2.1727,0.094041
1.17,0.14827,2.1827,0.09544150000000001
1.175,0.14885,2.1927,0.096604
1.18,0.14954,2.2027,0.0977435
1.185,0.14929,2.2127,0.09924
1.19,0.14985,2.2226,0.100485
1.195,0.15039,2.2326,0.10174
1.2,0.15071,2.2426,0.10313
1.205,0.15134,2.2526,0.10457
1.21,0.1516,2.2626,0.10591
1.215,0.15227,2.2725,0.1075
1.22,0.15254,2.2825,0.10883000000000001
1.225,0.1527,2.2925,0.110305
1.23,0.1527,2.3025,0.1117
1.235,0.15301,2.3125,0.11333
1.24,0.15347,2.3224,0.11458
1.245,0.15353,2.3324,0.116085
1.25,0.15371,2.3424,0.117575
1.255,0.1543,2.3524,0.11896
1.26,0.15404,2.3624,0.120465
1.265,0.15474,2.3724,0.12265000000000001
1.27,0.15488,2.3823,0.12437000000000001
1.275,0.15487,2.3923,0.125885
1.28,0.15519,2.4023,0.127375
1.285,0.15562,2.4123,0.12897
1.29,0.15592,2.4223,0.13070500000000002
1.295,0.15634,2.4322,0.13200499999999998
1.3,0.15669,2.4422,0.13328
1.305,0.15673,2.4522,0.134375
1.31,0.15713,2.4622,0.13566
1.315,0.15749,2.4722,0.137065
1.32,0.15778,2.4821,0.13818
1.325,0.15833,2.4921,0.139215
1.33,0.1582,2.5021,0.14026833333333333
1.335,0.1587,2.5121,0.14151624999999998
1.34,0.15884,2.5221,0.14179375
1.345,0.15887,2.532,0.14234875000000002
1.35,0.15875,2.542,0.14266500000000001
1.355,0.15878,2.552,0.14251
1.36,0.15857,2.562,0.143465
1.365,0.15924,2.572,0.14389749999999998
1.37,0.15911,2.5819,0.14371375
1.375,0.15946,2.5919,0.14418714285714287
1.38,0.15888,2.6019,0.1455675
1.385,0.15985,2.6119,0.145315
1.39,0.15946,2.6219,0.14538285714285717
1.395,0.15874,2.6319,0.14578624999999998
1.4,0.1583,2.6418,0.14344571428571426
1.405,0.15803,2.6518,0.1433485714285714
1.41,0.15847,2.6618,0.1432075
1.415,0.15809,2.6718,0.14332714285714285
1.42,0.15778,2.6818,0.1398257142857143
1.425,0.15766,2.6917,0.13651
1.43,0.15762,2.7017,0.13393857142857143
1.435,0.15704,2.7117,0.12920142857142858
1.44,0.15648,2.7217,0.12269428571428571
1.445,0.15595,2.7317,0.11893428571428573
1.45,0.15547,2.7416,0.11755142857142856
1.455,0.15519,2.7516,0.11273285714285715
1.46,0.15439,2.7616,0.1109257142857143
1.465,0.15396,2.7716,0.10896
1.47,0.15306,2.7816,0.10656428571428571
1.475,0.15263,2.7916,0.10539285714285716
1.48,0.15184,2.8015,0.103755
1.485,0.15095,2.8115,0.10286714285714285
1.49,0.15049,2.8215,0.10148833333333333
1.495,0.14946,2.8315,0.10082871428571429
1.5,0.14881,2.8414,0.10023616666666668
